Case ID,Closeness Centrality,Eigenvector Centrality,Betweenness Centrality
97189,3.01E-05,4.79E-48,0
97190,0.195463133,0.000162083,6.09E-05
97191,0.210826355,0.000320173,6.30E-05
97192,0.212997556,0.001301005,0.000191228
97193,0.194385135,0.000353363,2.47E-06
97194,0.186971543,0.00011971,6.99E-06
97195,0.166671472,4.11E-06,9.69E-06
97196,0.195292918,6.98E-05,4.97E-05
97197,0.183600956,0.00010425,4.99E-05
97198,0.166478603,3.03E-06,4.03E-06
97199,0.171307268,1.62E-05,0
97200,0.218630559,0.000760302,5.00E-05
97201,0.189782375,3.59E-05,8.64E-05
97202,0.200401769,0.000203315,6.50E-06
97203,0.18778196,5.09E-05,6.07E-05
97204,0.204181517,0.000498292,6.25E-06
97205,0.172041663,7.72E-06,4.16E-05
97206,0.177605182,1.10E-05,8.82E-06
97207,0,0,0
97208,0,0,0
97209,0.170347921,4.39E-06,1.88E-07
97210,0.175818264,2.49E-05,5.33E-06
97211,0,0,0
97212,0.194827182,0.000141138,7.15E-06
97213,0.184412085,5.91E-05,1.05E-06
97214,0.176276216,3.50E-05,6.71E-07
97215,0.166023076,9.23E-06,0
97216,0,0,0
97217,0,0,0
97218,0.198449335,0.000145588,1.97E-05
97219,0.164564712,1.07E-05,1.88E-06
97220,0.19143256,5.10E-05,2.34E-05
97221,0.209057554,0.001811171,1.04E-05
97222,0.231078174,0.00470616,0.000193674
97223,0.219796482,0.002990406,3.96E-05
97224,0,0,0
97225,0.202776951,0.000677554,9.61E-06
97226,0.161491743,3.86E-06,0
97227,0.211731825,0.000659514,0.000102781
97228,0.174314995,6.88E-06,5.04E-06
97229,0.214453283,0.000999224,1.70E-05
97230,0.207870191,0.000512076,3.14E-05
97231,0.175415132,1.25E-05,8.89E-07
97232,0.19416239,9.58E-05,7.96E-05
97233,0.197863984,0.000123216,4.53E-06
97234,0.198858206,6.57E-05,0.000125096
97235,0.209988337,0.000387863,0.000118455
97236,0.230905562,0.001479271,0.000439222
97237,0.194634885,0.000511014,0
97238,0.180833066,1.17E-05,3.88E-05
97239,0.141196372,3.93E-08,0
97240,0.20348586,0.000383213,6.60E-05
97241,0.155876084,1.58E-06,0
97242,0.244570293,0.016946459,0.00109373
97243,0.19985374,0.000328604,2.37E-06
97244,0.213305416,0.000880362,0.000159687
97245,0.221696642,0.002440961,1.23E-05
97246,0.201235667,0.000336609,2.13E-05
97247,0.191944983,0.000105384,6.28E-05
97248,0.165058697,4.06E-06,4.48E-07
97249,0.19878217,0.00073527,4.57E-07
97250,0.200834602,0.000303339,8.24E-06
97251,0,0,0
97252,0.16785661,4.62E-06,4.99E-05
97253,0.182372831,2.03E-05,1.34E-05
97254,0.190574519,4.62E-05,1.65E-05
97255,0.217530711,0.000840633,0.000107033
97256,0.224461622,0.002600965,0.000121956
97257,0.1868631,0.000119319,4.96E-07
97258,0.210028826,0.000462798,0.000110555
97259,0.135579247,3.48E-08,0
97260,0.217997155,0.002599612,2.32E-05
97261,0.190306571,5.67E-05,5.26E-06
97262,0.173266622,1.20E-05,0
97263,0,0,0
97264,3.01E-05,4.79E-48,0
97265,0.145625192,1.46E-07,0
97266,0.149227655,2.82E-07,0
97268,0,0,0
97269,0,0,0
97270,0,0,0
97271,0,0,0
97272,0.192342021,0.00010757,7.51E-07
97273,0.191283685,5.47E-05,7.06E-06
97274,0.220012114,0.001757568,0.00012107
97275,0.218618022,0.001547314,1.64E-05
97276,0.191095123,0.000318694,1.24E-07
97277,0.159512004,6.46E-07,3.38E-06
97278,0.209547823,0.000509633,2.27E-05
97279,0,0,0
97280,0.194509103,7.74E-05,6.78E-06
97281,0.194223388,0.000410707,4.90E-06
97282,0.167460921,1.80E-06,3.34E-06
97283,0.225150934,0.002702918,6.58E-05
97284,0.187458795,0.00011874,0
97285,0.204847085,0.001460387,3.49E-06
97286,0.209591983,0.002240021,1.21E-05
97287,0.2002246,0.000392782,4.90E-05
97288,0.229658338,0.002072424,0.000336958
97289,0.182095539,2.71E-05,1.79E-06
97290,0.22381374,0.007766785,0.000165461
97291,0.166226969,2.18E-05,1.71E-06
97292,0.211534068,0.00056765,3.44E-05
97293,0.202773356,0.000133628,3.28E-05
97294,0.197506925,0.000639709,0
97295,0.203108241,0.000233273,0.000110337
97296,0.183039741,1.51E-05,4.23E-05
97297,0.170572756,5.66E-06,5.73E-06
97298,0.191722972,9.53E-05,4.23E-05
97299,0.200986359,8.20E-05,0.00014238
97300,0.212177643,0.000737165,1.09E-05
97301,0.208195606,0.000750083,4.82E-06
97302,0.18797485,2.79E-05,3.96E-06
97303,0.19113025,5.61E-05,2.83E-06
97304,0,0,0
97305,0.177014196,1.19E-05,4.08E-06
97306,0.186039392,9.40E-05,4.70E-06
97307,0.193831692,0.000164832,2.59E-06
97308,0.21366405,0.001051936,2.93E-05
97310,0.194300927,0.000161903,6.63E-06
97311,0.196662994,0.00020902,1.33E-05
97312,0.216450067,0.002061139,9.92E-05
97313,0.201233896,0.000183082,0.000112687
97314,0.183198061,6.83E-05,1.22E-06
97315,0.212441695,0.001404456,0.000105368
97316,0.203607212,0.000252133,0.000141527
97317,0.180523383,7.94E-06,1.96E-05
97318,0.198606129,0.000214774,8.56E-05
97319,0.19834265,0.000219583,2.35E-05
97320,0.196676521,0.000191252,4.82E-06
97321,0.204493648,0.001012943,1.76E-05
97322,0.181634292,4.78E-05,2.22E-06
97323,0.206789668,0.000438653,2.29E-05
97324,0.212688605,0.001234065,6.89E-05
97325,0.171361167,1.23E-05,0
97326,0.221263464,0.002166544,8.82E-05
97327,0.185698069,3.89E-05,2.14E-05
97328,0.183902074,8.84E-05,0
97329,0.206349428,0.001014245,1.80E-05
97330,0.153487211,5.69E-07,2.48E-08
97331,0.175995472,9.57E-06,6.55E-06
97332,0.232584235,0.005106863,0.000153055
97333,0.187256232,3.06E-05,5.65E-06
97334,0.193874405,0.000298638,3.51E-06
97335,0.19998828,0.000291022,4.07E-06
97336,0.195262911,6.88E-05,1.94E-05
97337,0.228014668,0.005643043,0.000146734
97338,0.201553056,0.000700621,2.26E-06
