,mod,wt,km_10,km_100,gmm_10,gmm_100
104662,1,2,1,58,0,17
104665,67,1349,5,20,2,68
104664,1,2,5,52,2,33
104666,2,1,5,20,2,68
105392,1,9,5,20,2,68
105393,2,68,5,20,2,15
105390,1,2,5,20,2,50
105391,1,2,5,52,2,15
105396,2,5,5,80,2,99
105397,1,1,5,20,4,50
105394,2,1,5,20,2,50
105395,2,68,5,20,2,68
105398,3,567,5,20,2,68
105399,1,1,5,79,2,68
97261,0,131,5,20,2,15
97260,0,12,5,20,2,15
106288,1,1,5,20,2,15
106281,1,5,5,33,2,78
106280,1,1350,5,20,2,68
106283,1,2,5,20,2,68
106282,1,5,5,20,2,68
106285,1,2,3,53,0,42
106284,1,2,3,67,0,42
106287,1,5,3,45,8,45
106286,0,82,1,87,0,79
105536,1,5,3,13,0,29
105537,1,5,4,44,7,8
105534,126,2264,1,62,0,16
105535,17,5,6,50,8,63
105532,1,5,1,85,0,51
105533,1,5,4,35,7,16
105530,2,44,4,14,7,54
105531,1,2,3,83,8,0
99089,0,12,3,69,8,10
105538,3,1,1,62,0,16
105539,1,1,4,26,7,54
106133,2,8,4,51,7,56
106132,97,1352,4,35,7,42
106131,1,5,9,99,9,76
106130,1,2,3,69,8,10
106137,2,67,1,62,0,16
106136,0,12,5,20,2,68
106135,2,664,5,20,2,50
106134,1,1,1,97,0,22
106139,1,2,5,20,2,68
106138,1,5,0,29,3,69
102623,0,52,3,23,3,18
102622,0,1,7,59,6,9
102621,0,21,9,11,9,3
102620,0,22,1,6,0,40
102627,0,131,1,97,0,22
102626,126,2264,1,6,0,88
102625,0,3,6,34,0,11
102624,2,44,3,47,8,32
102629,2,17,3,78,8,30
102628,2,30,1,62,0,16
99081,0,1353,1,51,0,56
112138,1,5,7,48,2,71
112139,1,1,9,87,9,76
112132,1,5,4,51,0,56
112133,1,5,1,87,0,79
112130,0,1,1,28,0,41
112131,2,1,7,73,0,40
112136,1,2,1,51,0,56
112137,1,1,6,16,8,73
112134,1,5,1,97,0,22
112135,0,1,1,30,0,20
93046,126,2264,1,33,0,78
107660,0,22,3,53,8,35
107661,2,424,3,46,3,91
107662,1,5,3,83,0,98
107663,1,5,9,10,9,3
107664,1,5,6,2,7,27
107668,1,2,3,78,3,30
107669,1,5,3,32,8,42
108481,0,346,1,97,0,22
108480,1,2,1,62,7,16
108483,126,2264,1,6,0,47
108482,1,5,1,72,0,89
108485,1,5,1,62,0,16
108484,1,5,1,51,0,56
108487,0,21,8,8,5,12
108486,1,1,4,26,4,54
108489,1,5,0,29,0,19
108488,1,2,6,9,0,47
88368,2,128,7,7,2,60
88369,2,8,3,27,8,76
88361,0,21,7,60,2,58
88362,126,2264,6,43,8,5
88363,2,204,1,51,0,56
88364,2,8,1,97,0,22
88365,2,13,1,97,0,22
88366,2,336,0,66,3,69
88367,2,1355,6,2,8,42
100571,2,68,6,38,7,67
100570,1,3,4,13,4,54
100573,3,1356,3,78,8,30
100572,126,2264,3,32,8,98
100575,126,2264,1,6,0,22
100574,0,12,0,3,3,69
100577,0,3,6,6,0,51
100576,1,1,1,97,0,22
100579,2,90,1,62,0,16
100578,1,2,1,97,0,22
1695095,126,2264,1,73,0,40
108224,107,1358,1,67,0,0
108227,1,59,1,62,0,16
108226,2,68,7,37,6,71
108221,1,5,9,99,9,34
108220,1,2,9,41,9,93
108223,1,2,3,47,8,32
108222,2,68,4,51,0,56
108229,0,36,1,28,0,41
108228,1,5,1,28,0,41
86359,126,2264,6,46,7,91
86358,3,253,1,97,0,22
86357,126,2264,0,54,8,36
86356,126,2264,6,50,1,31
86355,2,9,6,50,3,31
86354,126,2264,3,46,3,91
86353,0,1,7,59,8,9
86352,0,1359,3,68,8,24
86351,0,3,0,22,3,14
86350,2,237,3,78,8,30
91515,2,1360,3,55,2,21
91514,126,2264,1,87,0,79
91517,126,2264,1,87,0,79
91516,2,40,1,87,0,79
91511,3,678,1,28,0,41
91510,7,5,1,87,0,79
91513,0,35,3,74,8,45
91512,0,35,1,87,0,79
91519,2,13,8,91,4,55
91518,126,2264,1,81,0,73
100395,0,1,1,6,0,51
100394,0,3,3,82,8,35
100397,0,3,1,51,0,56
100396,2,14,1,28,0,41
100391,2,13,1,28,0,41
100390,2,1,1,51,0,56
100393,0,36,1,73,0,40
100392,3,9,3,32,8,42
100399,0,36,3,78,8,30
100398,0,36,9,41,9,93
92697,2,1412,3,45,8,45
92696,2,7,7,60,2,58
92695,2,243,7,7,2,59
92694,0,12,8,70,2,80
101628,0,1,8,92,5,61
101629,2,14,8,90,4,61
101626,0,3,7,70,2,21
101627,126,2264,7,37,2,75
101624,0,203,7,59,2,33
101625,0,3,1,37,2,75
101622,0,203,3,24,9,39
101623,0,203,1,80,0,99
101620,0,82,8,94,2,59
101621,0,21,1,85,0,16
85194,2,1,1,97,0,22
85195,19,1177,1,97,0,22
85196,126,2264,1,85,0,51
85197,2,13,3,65,8,49
85190,126,2264,6,2,8,27
85191,2,918,1,28,0,41
85192,4,461,3,50,8,31
85193,126,2264,4,38,7,67
85198,126,2264,7,48,6,71
85199,2,408,0,3,3,19
2649290,2,1,1,85,0,78
2680440,2,2,1,28,0,41
94822,0,3,7,21,1,25
94823,2,112,4,51,7,56
94820,1,2,3,30,8,20
94821,2,30,4,44,7,8
94826,0,22,3,88,7,57
94827,126,2264,4,35,7,67
94824,0,892,1,87,0,79
94825,3,519,1,62,0,16
94828,1,3,1,9,0,47
94829,3,1120,1,62,0,16
2351808,3,678,4,51,0,56
620666,1,2,4,9,0,47
87606,2,1363,1,87,0,79
87607,2,234,1,87,0,79
87604,126,2264,1,87,0,79
87605,2,139,3,69,8,10
87602,2,14,3,78,8,30
87603,126,2264,1,62,0,16
87600,126,2264,3,77,8,63
87601,3,614,7,7,2,59
87608,2,234,3,19,8,94
87609,2,1364,1,51,0,56
89550,2,290,1,28,0,41
89551,0,1365,0,3,3,19
89552,126,2264,7,33,2,78
89553,126,2264,9,99,9,34
89554,126,2264,6,69,8,10
89555,3,355,6,34,7,77
89556,0,12,1,32,0,22
89557,3,420,1,80,0,99
89558,0,15,1,51,0,56
89559,0,3,6,9,0,47
91921,0,36,1,51,0,56
110152,1,2,4,26,7,54
110153,0,1366,4,14,7,29
110156,1,3,1,87,0,79
110157,2,44,1,63,0,64
110154,1,1,1,28,0,41
110155,2,1,1,63,0,64
110158,1,83,1,63,0,64
110159,2,1,1,63,0,64
96538,2,7,1,28,0,41
96539,3,102,9,24,9,39
96532,0,3,8,91,4,55
96533,2,1367,1,87,0,79
96530,0,3,4,13,4,29
96531,0,3,1,85,1,64
96536,0,3,7,37,5,12
96537,2,1,1,62,0,16
96534,126,2264,1,33,0,78
96535,0,3,3,68,8,78
88603,126,2264,1,62,0,16
88602,0,1369,0,3,0,19
88601,126,2264,1,51,0,56
88600,0,1370,1,62,0,16
88607,126,2264,3,32,8,42
88605,0,12,3,63,8,64
88604,2,13,3,46,8,91
88609,2,1371,1,80,5,82
97664,0,10,3,63,8,64
97667,3,2,4,51,0,56
97661,0,10,9,11,9,93
97660,2,25,7,7,2,60
97663,0,10,1,87,0,79
97662,0,10,0,12,7,54
97669,0,3,1,81,0,73
97668,1,2,1,90,0,61
94000,126,2264,7,37,2,12
94001,3,2118,4,51,0,29
94002,2,22,3,78,8,30
94003,2,662,4,5,7,29
94004,44,1806,7,37,5,12
94006,2,1807,3,73,8,40
94007,2,1808,4,26,7,54
94008,62,1373,3,21,8,25
102429,2,13,7,21,6,25
102428,0,52,4,21,3,25
102399,2,14,3,78,8,30
102398,2,14,3,32,8,98
102393,0,3,7,48,2,71
102392,2,8,6,34,0,11
102391,0,12,5,87,2,79
102390,126,2264,7,7,2,59
102397,0,1,7,52,5,33
102396,2,1,7,25,2,24
102395,2,52,8,90,4,61
102394,3,2,4,32,7,42
99407,0,13,5,20,2,50
99406,0,1,5,90,2,61
99405,2,259,5,20,2,15
99404,0,1,5,20,2,15
99403,0,12,5,20,2,43
99402,2,13,5,21,2,15
99401,0,168,5,20,2,15
99400,0,22,5,20,4,50
99409,126,2264,5,20,2,13
99408,1,1,5,20,2,15
95753,2,9,5,33,2,15
95752,0,52,5,20,2,15
95751,2,2128,5,20,2,15
95750,126,2264,5,20,2,68
95757,0,50,5,20,2,68
95756,0,3,8,31,4,50
95755,2,475,5,5,2,50
95754,3,729,5,92,2,15
95759,74,1374,5,20,2,50
95758,0,36,5,20,2,68
96590,40,3,5,20,4,50
96591,1,1,0,3,6,69
96592,0,12,5,20,2,15
96593,0,36,5,20,2,50
109518,31,1,5,20,2,15
109519,1,5,5,20,8,15
109514,1,3,9,11,9,76
109515,1,5,3,18,8,66
109516,1,2,5,20,2,68
109517,1,5,5,20,2,15
109510,1,5,5,20,2,68
109511,1,5,5,20,2,50
109512,2,1,5,20,2,50
109513,1,1,5,20,2,68
96596,3,743,5,20,2,15
89355,2,90,5,20,2,15
87492,126,2264,5,20,2,68
112443,1,5,5,20,2,68
112440,2,1,5,20,2,15
112441,1,2,5,20,2,50
112446,0,1,5,20,2,68
112447,1,5,6,46,8,91
112444,1,1,5,20,2,68
112445,2,0,5,70,2,50
112448,1,83,5,20,2,68
112449,2,1,8,31,4,55
105435,0,12,5,20,2,15
105434,1,1,5,20,2,15
103529,0,1,5,78,2,68
105433,0,10,5,20,2,15
103528,0,12,5,68,8,13
105432,2,1375,5,20,2,68
92402,2,30,5,20,8,65
92403,2,240,5,80,2,99
92400,0,1829,5,20,2,15
92401,2,20,5,20,2,68
92406,2,348,5,20,2,15
92407,2,1830,5,20,2,15
92404,0,12,5,20,2,68
92405,2,636,1,58,0,70
92408,3,1066,5,20,2,15
92409,2,1,5,20,2,60
103525,2,664,5,20,2,68
103524,0,12,5,20,2,68
111368,2,44,5,20,2,15
111369,0,3,5,20,2,68
111362,0,36,5,20,2,15
111363,0,12,5,20,2,50
111360,1,1,5,20,2,68
111361,2,68,5,20,2,68
111366,2,1,5,20,2,68
111367,2,7,5,20,2,68
111364,1,2,5,20,2,68
111819,2,1,1,28,0,41
107271,126,2264,5,91,4,50
107270,126,2264,5,21,2,25
107275,1,2,5,20,2,68
94585,0,215,5,66,0,6
106895,1,59,7,37,5,12
94587,0,12,0,29,3,69
94586,1,2,1,80,5,82
106890,1,5,1,58,5,82
94580,2,9,1,58,0,17
94583,0,3,8,8,5,85
94582,2,13,9,39,9,53
94589,0,131,1,28,0,41
94588,0,1,8,31,4,4
93759,3,752,3,39,8,53
93758,3,284,7,94,2,59
93755,2,154,3,32,8,42
93754,2,9,7,59,6,9
93757,2,2,5,20,2,68
93756,2,735,5,92,2,61
93751,2,242,5,20,2,68
93750,2,1378,5,20,2,50
93753,2,206,5,20,2,15
93752,2,13,5,20,2,68
100809,2,13,5,80,2,81
100808,2,7,8,91,4,55
100805,3,903,5,20,2,15
100804,0,131,5,79,2,70
100807,3,670,5,45,6,1
100806,3,2,5,20,2,68
100801,0,10,1,6,0,51
100800,0,69,5,20,2,68
100803,0,10,5,20,2,28
100802,0,35,5,20,2,68
1289184,2,391,5,20,2,68
98729,3,296,5,20,2,68
98728,2,69,5,78,2,68
98725,126,2264,5,5,2,50
98724,3,469,5,21,2,25
98727,2,259,5,20,2,68
98726,2,44,5,20,2,50
98721,2,1,5,20,2,50
98720,0,724,5,20,2,15
98723,126,2264,5,20,2,50
98722,0,35,5,60,2,58
99898,2,2,5,20,2,68
99899,0,131,5,21,2,25
99894,0,1,5,20,2,15
99895,0,1,5,20,2,15
99896,3,12,8,92,5,61
99897,0,12,5,20,2,15
99890,2,30,5,50,8,99
99891,0,22,5,20,2,68
99892,126,2264,5,20,2,15
99893,2,44,5,70,2,21
101864,1,1,5,20,2,15
101865,0,3,5,20,2,50
101866,1,3,5,20,2,50
101867,2,412,5,20,2,68
101863,0,1,5,20,2,68
101868,0,3,5,21,2,25
101869,0,69,5,46,8,91
97174,2,337,5,20,2,68
97172,2,204,5,97,2,22
86539,2,18,5,20,2,68
86538,2,7,5,20,2,68
86537,2,13,5,78,2,30
86536,126,2264,5,48,2,68
86535,126,2264,5,20,2,68
86534,15,138,5,5,2,50
86533,3,715,5,20,2,15
86532,2,1685,5,20,2,68
86531,0,508,5,20,2,68
86530,0,1686,5,20,2,68
106074,3,2,5,20,2,50
106075,1,5,5,50,2,31
106072,0,21,5,20,4,50
106073,2,1,5,20,2,50
106070,0,10,5,20,2,68
106071,0,21,5,20,2,68
106078,1,5,5,20,2,68
106079,0,67,5,20,2,15
102986,0,12,5,20,2,50
102987,1,2,5,20,2,15
102984,0,229,5,5,4,50
102985,0,229,5,20,2,68
102982,2,13,5,20,2,50
102983,0,229,5,74,2,68
102980,2,1,5,20,2,68
102981,3,249,5,60,2,58
102988,2,13,5,20,2,68
102989,0,1,5,20,2,68
1158161,126,2264,5,20,2,68
1087876,126,2264,5,20,8,15
1087877,2,1381,5,67,2,15
1087874,2,1382,5,20,2,68
89712,2,13,5,91,4,50
89713,2,19,5,20,6,66
89710,2,37,5,96,2,28
89711,2,529,5,91,4,50
89716,0,1383,1,58,0,17
89717,2,13,5,20,2,15
89714,3,112,5,91,4,55
89715,3,2,5,20,2,15
89718,0,52,5,20,2,15
89719,126,2264,5,20,0,15
103167,0,190,5,20,2,68
103166,0,52,5,60,2,68
103165,0,1,5,20,2,68
103164,0,13,5,20,2,68
103163,0,21,5,20,4,50
103162,1,2,2,36,1,87
103161,0,12,5,20,2,15
103160,2,68,1,39,0,53
85846,2,3,5,20,2,68
85847,1,1384,9,11,9,93
85844,126,2264,5,20,2,50
85845,2,127,9,11,6,93
85842,3,2,1,58,0,17
85843,126,2264,1,58,0,17
85840,2,5,5,20,2,68
85841,2,1868,5,71,2,81
1115043,2,259,5,20,2,15
109895,1,2,5,20,2,68
109894,1,2,5,20,2,68
109897,2,1,5,20,2,15
87722,126,2264,5,20,2,68
109891,1,2,5,20,4,50
103294,2,1,5,20,2,68
87727,2,775,5,20,2,68
109892,1,2,5,20,2,68
103299,2,1,5,20,2,68
87728,4,1874,5,52,2,15
109899,0,12,1,87,0,79
109898,2,1,5,20,2,15
2620746,126,2264,3,57,4,81
2620747,0,12,1,80,0,99
2620745,126,2264,5,20,2,68
2620749,2,20,5,20,2,68
88449,126,2264,5,20,2,15
88448,0,35,5,31,4,50
88445,3,1385,5,20,2,15
88444,3,706,5,20,2,15
88447,126,2264,5,20,4,50
88446,126,2264,5,91,4,50
88441,2,44,5,20,2,15
88440,0,1,5,20,2,15
88443,126,2264,5,1,2,48
88442,1,1,5,20,2,15
103835,1,1,5,67,0,50
103834,2,1,5,20,2,68
103837,0,35,8,91,4,55
103836,1,1,5,20,2,15
103831,1,5,5,20,2,68
103833,1,5,5,20,2,15
103832,1,5,5,20,2,15
103839,1,1,5,20,2,15
103838,1,1,5,45,6,45
84827,126,2264,5,70,2,21
84826,126,2264,5,20,2,68
88199,126,2264,5,20,2,15
88198,0,1474,5,83,2,0
84823,126,2264,5,20,2,75
84822,126,2264,1,58,0,17
84821,126,2264,5,20,2,50
84820,126,2264,5,20,2,68
88193,2,1,1,58,0,17
88192,126,2264,5,20,2,50
88191,2,90,5,20,2,68
88190,3,35,5,20,2,50
88197,0,156,5,20,2,68
88196,0,12,9,24,9,39
84829,126,2264,0,22,3,14
84828,2,1,0,40,3,38
86090,3,2,5,20,2,50
86091,1,5,5,20,2,50
86092,0,21,5,20,2,15
86093,2,1387,5,20,2,15
86094,126,2264,5,31,2,50
86095,2,30,5,20,2,15
86096,1,2,5,20,2,15
86097,2,9,5,20,2,15
86098,2,8,5,20,2,68
86099,126,2264,5,5,4,50
90268,2,714,5,20,4,50
90269,0,12,5,20,2,68
90260,2,9,5,20,2,68
90261,126,2264,5,20,2,15
90262,0,3,5,57,2,81
90263,8,96,5,20,2,68
90264,0,12,5,60,2,58
90265,2,13,5,57,2,68
90266,3,693,3,70,2,21
90267,2,102,5,20,2,68
101479,0,5,5,20,2,15
101478,2,3,5,20,2,50
101477,2,76,5,20,2,50
101476,0,12,5,20,2,68
101475,0,12,5,52,2,15
101474,0,12,5,20,2,68
101473,1,1,5,70,2,21
101472,2,1388,5,20,2,68
101471,0,10,5,71,4,81
101470,2,9,5,21,2,1
85019,126,2264,5,53,2,68
85018,126,2264,5,71,4,81
85011,126,2264,5,20,2,68
85010,126,2264,5,31,4,50
85013,126,2264,5,20,2,15
85012,126,2264,5,20,2,15
85015,126,2264,5,71,4,81
85014,126,2264,5,20,2,15
85017,126,2264,5,20,2,68
85016,126,2264,5,20,2,68
111168,1,1,5,20,2,68
111169,1,2,5,91,4,55
111160,1,5,1,58,0,17
111161,1,5,5,20,2,68
111162,0,1,5,0,2,83
111163,2,2,5,20,2,15
111164,1,5,8,31,4,4
111165,7,1390,5,80,2,15
111166,1,5,5,20,2,68
111167,1,30,5,48,2,71
95348,0,13,5,20,2,68
95349,42,728,5,20,2,68
95340,126,2264,5,83,2,0
95342,2,348,5,20,2,68
95343,95,50,9,11,9,74
95344,0,50,5,20,4,50
95345,2,427,5,20,2,50
95346,0,35,5,20,2,68
95347,2,1,5,94,2,15
2490030,36,940,5,20,4,50
109896,1,12,5,52,2,33
89455,0,35,5,52,2,15
89454,15,329,5,20,2,15
89457,0,35,5,71,2,81
89456,3,28,5,68,2,13
89451,0,3,5,20,2,68
89450,0,3,5,20,2,68
89453,2,51,5,20,2,68
89452,2,53,5,80,2,82
110691,1,5,5,33,2,78
110690,1,1,5,45,2,45
110693,1,2,5,71,2,81
110692,1,2,5,80,2,99
110695,1,1,5,20,2,68
89458,0,12,5,20,2,68
110697,1,5,5,80,2,50
110696,2,68,5,20,2,68
110341,126,2264,5,0,2,83
110340,1,1,5,20,2,68
118198,1,5,5,20,2,68
118199,1,1,5,20,2,68
118196,1,2,5,20,2,68
118197,2,1,8,91,4,55
118194,1,1,5,83,2,0
118195,2,1,5,20,2,43
118192,1,1,5,20,4,50
118193,0,12,5,20,2,15
118190,1,1,5,27,2,14
118191,1,2,5,20,2,50
96705,126,2264,5,20,2,15
96704,0,1,3,45,6,45
96707,2,95,9,11,9,62
93954,65,1394,5,95,6,23
96701,2,9,5,20,4,50
96700,0,3,5,20,2,68
96703,2,13,5,5,2,50
93950,0,12,5,20,2,68
96709,0,3,5,20,2,68
96708,0,1,5,28,2,41
93958,126,2264,5,20,2,68
97250,2,1,1,58,0,17
105740,2,68,5,52,2,33
105743,1,5,5,20,2,68
97253,2,19,5,20,2,15
97254,2,1,5,20,2,15
97255,2,1,5,20,2,15
97256,0,3,5,20,2,68
105746,1,5,5,52,2,75
105749,1,83,5,20,2,15
105748,1,83,5,20,2,15
107453,1,1,5,20,2,15
107452,1,1,5,20,2,50
107451,1,1,5,20,2,68
107450,1,1,5,20,2,15
107456,1,2,5,20,2,50
107455,97,1198,5,20,2,15
107454,2,1,5,20,0,15
98967,126,2264,5,70,2,50
98966,0,2,5,52,2,33
98965,2,13,5,20,4,50
98964,2,919,5,20,2,68
98963,2,7,5,51,4,29
98962,2,13,5,52,2,33
98961,2,13,5,20,2,15
98960,0,48,5,20,2,68
98969,0,5,5,20,2,15
98968,0,3,5,20,2,15
94633,2,37,1,97,0,22
94632,2,7,3,78,8,30
94631,1,3,3,78,9,30
94630,2,3,3,32,8,42
94637,2,139,1,67,0,51
94636,2,139,3,69,8,10
94635,0,12,3,78,8,30
94634,2,104,6,9,7,47
94639,2,1,1,85,0,51
94638,0,49,6,35,7,77
101286,1,2,4,51,0,56
90703,1,2,1,51,0,56
90702,2,9,4,14,7,11
90701,3,1395,4,14,7,11
90700,2,19,3,7,2,30
90707,3,1943,3,78,8,30
90706,2,204,4,63,7,64
102218,0,1,1,1,0,78
102219,0,12,9,10,9,62
102216,2,13,1,97,0,88
101280,1,5,1,33,7,78
102214,1,172,6,1,0,48
90708,2,13,6,34,7,77
102212,0,1,3,61,8,86
102213,2,90,3,32,8,10
102210,0,3,9,41,9,62
101281,1,3,6,69,8,10
86783,126,2264,1,62,0,16
108078,1,5,3,55,8,21
101282,2,42,4,38,7,67
108076,1,59,4,14,7,11
101283,1,2,1,62,0,16
108071,126,2264,3,47,7,32
108073,1,1396,4,32,7,42
104908,2,14,3,32,8,42
104909,0,9,1,88,7,57
104900,0,1,6,9,0,47
104901,126,2264,4,38,7,67
104902,126,2264,1,6,0,51
104903,2,68,6,95,7,34
104904,0,1,1,62,0,16
104905,1,5,4,43,7,5
104906,1,5,0,54,7,36
104907,1,30,4,55,8,37
101288,0,3,1,62,0,88
93578,3,2,3,45,7,45
99616,0,10,3,30,8,20
99617,0,12,6,9,8,47
99614,0,3,4,51,7,56
99615,2,2,0,54,3,36
99612,0,35,3,32,8,42
99613,0,12,4,26,7,54
99610,0,1,3,74,8,91
99611,2,25,4,32,8,42
91364,2,143,6,77,7,63
99618,0,35,4,88,7,57
99619,3,2,9,11,9,76
109694,1,2,3,68,8,13
91362,126,2264,4,44,7,8
91363,126,2264,6,34,0,11
103495,0,1,3,61,8,86
103494,0,1,6,9,0,47
815320,2,44,0,54,3,36
109309,1,2,3,33,8,78
109308,1,5,9,10,9,76
109305,0,21,6,2,7,27
109304,1,2,4,35,7,42
109307,0,1,9,11,9,76
109306,0,30,4,99,7,34
109301,1,5,3,78,9,30
109300,1,2,4,44,7,8
109303,1,5,6,9,7,47
109302,1,2,4,38,7,67
109699,1,2,4,32,7,54
109698,1,2,4,38,7,67
91946,0,3,3,32,8,42
91947,0,13,6,34,7,11
91944,2,13,4,44,7,8
91945,2,9,1,62,0,16
91942,2,154,6,77,8,63
91943,0,22,6,19,7,66
91940,126,2264,6,1,0,77
91941,2,79,1,66,0,6
91948,2,204,9,10,9,93
91949,2,7,4,43,7,5
92819,2,127,4,26,7,88
92818,0,1,4,26,7,8
100108,0,3,3,32,8,42
100109,0,69,4,38,7,67
107338,1,59,3,88,7,57
107336,1,2,3,66,8,6
107337,1,2,3,55,2,21
100106,0,52,6,2,7,27
100107,126,2264,4,54,7,36
100100,0,69,3,30,8,20
107333,0,22,4,44,7,8
100102,0,1957,1,81,0,73
100103,0,131,3,38,8,13
145828,1,2,6,32,8,42
145829,0,1,4,44,7,8
145821,2,68,1,62,7,16
145822,2,1,3,32,8,42
145823,1,2,6,32,8,65
145824,1,5,3,30,8,20
145825,0,1398,6,95,7,27
145826,0,21,4,44,7,8
180037,1,1,1,38,0,67
95848,0,3,3,77,8,63
801975,1,2,4,35,7,8
90905,0,313,4,26,7,54
801976,1,1,9,10,7,3
89631,126,2264,3,85,7,30
89630,3,407,9,10,9,3
90901,2,263,6,14,7,11
89633,2,1397,4,44,7,8
90900,2,61,4,99,7,34
89632,0,1061,6,14,8,11
102412,2,9,3,55,8,72
89635,3,2,9,13,9,76
90902,126,2264,9,10,7,3
89634,2,2251,6,6,7,3
104100,0,21,1,62,0,16
89637,3,1400,3,32,8,42
104101,0,36,6,9,7,37
89636,2,139,3,32,8,42
104103,0,21,1,46,7,91
93548,0,3,4,13,7,54
101278,0,7,4,26,7,8
93544,2,42,4,97,7,29
93545,0,1,4,98,7,37
93546,3,232,3,69,8,10
101271,0,3,3,33,8,78
93541,2,1972,4,26,7,54
101273,0,1277,6,19,7,65
93543,0,1973,4,51,7,16
98578,3,352,4,19,7,65
85286,19,449,9,11,9,76
98574,0,33,1,62,7,16
98575,2,20,6,77,7,94
98576,0,3,6,19,7,66
104107,0,21,3,30,7,20
98570,0,3,4,99,9,34
98571,0,201,3,54,8,36
98572,0,1,3,78,9,30
98573,0,3,3,78,8,30
93140,91,1076,4,26,7,34
85259,126,2264,4,99,9,34
104202,0,21,9,10,9,3
104170,2,68,9,10,9,3
104173,2,30,9,99,9,62
85250,3,316,1,97,0,84
93142,2,338,3,32,8,42
85255,19,173,3,33,4,78
85254,126,2264,3,50,8,31
93143,2,1056,4,26,7,8
93144,2,243,4,26,7,54
93145,2,2255,4,44,7,65
93146,2,2,4,26,7,8
93147,126,2264,9,10,9,73
87099,0,3,3,19,8,66
87098,126,2264,1,85,0,16
87097,126,2264,3,38,8,67
87096,2,7,3,23,8,18
87095,2,1021,3,23,3,18
87094,2,529,9,41,9,93
87093,2,240,4,54,7,36
87092,2,240,6,9,0,47
87091,126,2264,4,38,7,67
87090,2,13,6,2,7,27
105226,2,30,4,33,8,78
105227,1,1,4,26,7,29
105224,0,1,9,10,9,62
105225,2,2,9,10,7,62
105222,1,5,4,35,7,8
105223,2,68,6,10,7,3
105220,1,2,1,31,0,22
105221,1,5,1,6,0,51
105228,1,1,3,30,8,20
105229,1,2,1,62,0,16
89697,8,976,6,34,0,11
108534,2,68,6,43,7,5
89695,0,1,3,30,8,20
89694,0,3,3,32,8,20
89693,0,47,6,9,7,47
89692,3,647,3,83,0,0
89691,0,105,6,38,7,67
89690,126,2264,4,38,7,67
108539,1,2,4,26,7,54
108538,1,2,9,99,9,62
89699,126,2264,4,44,7,8
89698,2,14,6,99,7,34
136998,1,2,4,51,7,34
136999,1,5,4,35,7,8
136996,1,2,3,30,8,20
136997,2,1,1,6,0,51
136994,1,2,3,32,8,20
136995,1,2,6,2,7,3
136992,1,2,4,26,7,54
136993,2,1,6,9,0,47
136990,1,2,1,80,0,99
136991,2,1,6,95,7,23
103314,2,68,3,32,8,42
103430,2,2,4,43,7,5
103316,2,25,6,9,0,47
103317,2,154,9,10,9,62
103310,1,1,9,39,9,53
103311,1,1,3,32,8,42
103312,0,21,3,32,8,42
103313,0,21,4,35,7,57
88564,126,2264,4,35,7,8
103318,0,287,3,32,8,42
103319,0,12,3,61,8,84
88878,8,326,4,38,7,67
88879,3,614,4,26,7,54
88870,3,186,4,14,7,11
88871,1,1240,4,26,7,8
88872,3,858,1,6,7,51
88873,126,2264,9,10,9,76
88874,126,2264,4,44,7,8
88875,3,1402,6,19,7,94
88876,2,42,4,38,7,67
103433,2,1,1,9,0,47
97012,2,7,4,26,7,54
97013,2,1,4,32,8,42
97010,2,25,4,33,0,78
97011,0,13,6,50,9,31
88258,2,7,1,85,7,78
88259,45,207,4,43,7,5
97014,0,1,3,96,8,28
97015,2,50,6,19,8,94
88254,0,156,3,61,8,20
88255,126,2264,4,1,7,48
88256,126,2264,4,26,7,54
88257,126,2264,1,79,0,70
88250,2,274,9,10,7,3
88251,2,1203,3,32,8,42
88252,2,44,4,54,7,36
88253,1,9,3,78,8,78
100665,2,1,6,2,7,27
100664,0,9,3,61,8,86
100667,2,29,4,14,7,11
100666,1,30,3,61,8,86
100661,1,5,1,32,0,42
100660,0,52,1,62,0,16
100663,2,102,1,67,0,5
100662,3,222,3,46,8,63
100669,1,3,9,41,9,62
100668,2,0,3,33,8,78
95528,2,412,6,29,7,65
95529,2,13,6,35,0,48
95520,2,128,4,44,7,8
95521,2,90,4,38,7,67
95522,2,9,9,10,9,93
95523,3,1403,4,26,7,8
95524,2,475,4,98,7,65
95525,1,3,4,44,9,8
95526,0,3,4,35,7,8
95527,2,92,6,34,7,77
103436,2,1,4,35,7,8
87783,0,3,4,38,7,67
103439,0,1,9,10,7,3
87782,126,2264,4,26,7,54
103438,0,1,8,8,5,85
87781,126,2264,4,38,7,67
90549,2,14,1,62,0,16
90548,2,2,1,62,0,16
90545,2,129,1,14,0,11
90544,126,2264,4,19,7,65
90547,8,326,4,13,4,54
90546,0,97,1,62,7,16
90541,126,2264,1,35,0,16
90540,2,7,4,26,7,54
90543,2,7,3,23,3,18
90542,126,2264,4,98,7,37
96879,54,309,3,54,8,36
96878,2,30,4,46,7,91
96873,2,1406,3,32,8,20
96872,2,30,3,96,8,28
96871,2,50,4,44,7,8
96870,0,3,9,10,9,62
96877,3,41,3,32,8,20
96876,0,3,4,77,7,63
96875,2,13,3,32,8,42
96874,2,9,6,19,8,94
90099,2,13,6,10,9,3
90098,2,1,3,32,8,86
90093,2,19,3,79,8,70
