,mod,wt,km_10,km_100,gmm_10,gmm_100
87129,3,28,2,75,1,26
87128,0,15,2,15,3,44
86656,126,2264,3,65,8,49
86657,2,428,3,19,8,94
86654,2,1,2,76,1,97
86655,3,429,2,43,1,5
86652,2,106,9,41,9,7
86653,2,107,9,75,9,26
86650,2,90,0,12,3,45
86651,10,108,2,36,1,2
95960,2,260,3,45,8,45
95961,2,90,2,1,1,87
95962,0,12,9,41,9,93
95963,2,3,2,36,1,2
95964,0,1,2,36,1,87
95965,2,13,2,40,1,38
86658,2,228,2,36,1,2
86659,0,52,2,36,1,2
89491,2,13,2,36,1,2
89490,2,416,2,36,1,2
89493,2,436,2,1,1,87
89492,2,205,2,40,1,38
89495,2,7,3,82,8,35
89494,2,1,3,39,8,53
89497,2,438,2,84,5,12
89496,0,22,3,55,8,72
89499,2,128,4,44,1,8
89498,2,438,2,17,1,44
88720,3,110,2,36,1,2
88721,126,2264,3,22,8,14
88722,0,1,2,75,1,87
88723,2,111,2,76,1,97
88724,126,2264,2,36,1,2
88725,3,112,2,36,1,2
88726,126,2264,2,36,1,87
88727,2,290,2,84,1,46
88728,92,1393,9,41,9,93
88729,126,2264,2,81,1,73
2539855,126,2264,2,61,1,86
1383636,1,5,2,84,8,46
91366,0,3,2,75,9,26
89235,3,2,9,41,9,93
89234,2,113,9,75,9,26
89237,12,114,1,80,0,99
89236,2,13,7,60,1,58
89231,2,115,0,3,3,69
89230,0,50,2,36,1,2
89233,13,35,6,34,1,27
89232,126,2264,2,76,1,97
89239,3,294,1,85,0,16
89238,2,8,3,19,8,94
96439,0,12,2,76,1,97
96438,126,2264,2,49,1,44
96433,0,116,2,49,1,44
96432,2,117,3,84,1,46
96431,2,30,3,78,8,30
96430,0,3,4,55,7,21
96437,2,9,2,76,1,97
96436,2,9,0,40,3,38
96435,0,22,3,16,8,42
96434,7,118,2,84,1,46
94361,2,721,2,84,0,46
94360,0,22,0,40,1,38
94363,2,102,2,76,1,97
94362,0,1,2,36,1,2
94365,2,348,2,36,1,2
94364,13,468,3,45,3,45
94367,7,5,3,93,8,72
94366,2,13,2,84,0,87
94369,2,50,3,61,1,86
94368,2,119,0,40,3,38
90871,2,25,0,22,3,14
90870,2,30,9,11,9,7
90873,2,2,2,36,1,2
90872,0,120,2,36,1,2
90875,2,121,1,80,5,99
90874,2,122,2,15,1,44
90877,2,470,1,51,1,56
90876,1,1,3,63,1,64
90879,0,1,3,46,1,91
90878,2,471,3,18,7,92
118307,1,2,2,76,1,97
118306,2,1,0,3,3,19
118305,2,1,0,40,1,38
118304,1,1,3,61,1,86
118303,1,5,2,60,1,58
118302,2,14,9,11,9,76
118300,1,2,1,87,0,79
118309,1,2,2,84,1,46
118308,2,1,2,76,1,97
90295,126,2264,0,22,3,14
90294,126,2264,2,80,8,99
90297,2,19,3,21,8,25
90296,0,36,3,89,8,38
90291,2,7,2,89,1,44
90290,0,3,3,84,8,46
90293,2,126,2,36,1,2
90292,2,127,3,46,8,91
101269,126,2264,0,40,3,38
90299,2,9,3,0,1,83
90298,2,9,3,82,8,35
101264,3,12,1,62,1,16
101265,2,3,2,36,1,2
97470,2,44,9,11,9,62
97471,3,502,2,36,1,87
97472,2,25,3,87,0,46
97473,2,132,0,12,3,19
97474,126,2264,8,92,5,61
97475,3,133,2,49,1,44
97476,1,2,2,36,1,2
97477,2,134,2,40,3,38
97478,0,135,2,89,0,56
97479,14,136,2,84,1,46
90123,3,137,2,91,4,55
90122,0,22,3,65,3,49
90121,2,79,0,74,3,28
90120,15,138,2,89,1,46
90127,2,13,2,46,1,91
90126,2,111,3,33,1,78
90125,2,1,3,83,8,86
90124,0,22,1,85,0,51
90129,2,139,0,86,3,19
90128,126,2264,2,36,1,2
95188,4,461,4,44,7,8
95189,2,9,2,99,1,34
95186,2,9,2,76,1,46
95187,2,140,2,17,1,44
95184,2,13,0,12,9,45
95185,0,3,3,19,8,66
95182,2,141,2,36,1,2
95183,2,13,2,36,1,2
95180,2,7,9,75,9,26
95181,2,141,4,89,4,29
2490153,126,2264,2,84,1,46
90500,16,142,8,80,5,46
91348,2,1,2,76,1,97
91349,126,2264,2,36,1,2
106487,126,2264,2,49,1,44
94678,2,13,2,76,1,97
91345,2,79,2,36,1,2
92515,0,1,2,68,1,44
106485,2,215,3,73,8,40
2093658,126,2264,2,84,1,46
106484,0,1,9,75,9,26
106483,2,30,2,84,1,46
96989,2,90,2,17,1,45
91341,2,42,4,46,8,91
2390269,1,5,0,15,3,49
106481,2,1,0,65,3,49
106480,1,2,3,94,8,88
91454,2,13,2,15,1,18
91455,2,35,2,1,0,87
91456,2,147,3,19,8,66
91457,2,148,3,18,3,84
91450,2,90,9,80,9,99
91451,2,149,2,76,1,87
91452,0,3,3,5,2,42
91453,3,150,2,36,1,2
91458,2,151,3,43,8,5
91459,0,22,2,84,1,46
95821,2,14,9,75,9,26
95820,23,1318,3,23,1,18
95823,0,22,1,13,4,29
95822,2,13,2,50,1,1
95825,7,5,0,54,3,36
95824,2,152,7,4,8,86
95827,2,57,2,49,1,2
95826,0,50,2,36,1,2
91982,126,2264,2,89,1,13
91983,2,97,3,46,8,91
91980,2,153,2,76,1,97
91981,0,3,3,50,3,31
91986,0,12,2,87,0,46
91987,2,7,2,76,1,97
91984,126,2264,2,36,1,2
91985,0,12,2,36,1,2
91988,3,155,2,89,1,87
91989,0,156,2,36,1,2
110518,1,5,2,84,1,87
110519,0,30,2,36,1,2
110512,1,1,2,17,1,37
110513,2,1,2,36,1,2
110510,1,59,2,93,8,72
110511,2,1,3,45,3,45
110516,1,1,3,48,8,71
110517,1,3,3,57,8,53
110514,2,1,1,92,5,61
110515,0,21,3,61,6,23
93589,1,3,2,15,3,44
93580,2,14,2,49,1,44
93581,0,22,3,16,8,66
93582,0,158,3,45,1,45
93583,3,159,0,86,3,66
93584,2,151,3,23,1,18
93585,2,13,3,39,9,53
93586,2,86,3,50,3,31
93587,2,160,3,84,8,46
112040,0,12,2,84,1,46
112041,1,1,2,84,0,46
92187,2,1,2,49,1,30
92186,0,3,3,1,1,48
92185,3,159,2,54,3,36
92184,3,2068,2,49,1,21
92183,126,2264,2,36,1,2
92182,0,3,3,84,8,66
92181,2,154,2,49,1,44
92180,3,161,0,96,3,28
92189,3,162,2,87,0,11
92188,2,129,3,61,8,86
104162,1,5,0,40,1,38
89611,8,97,4,98,1,37
104163,2,259,2,84,1,46
112049,1,2,0,12,3,69
98602,7,5,4,98,8,37
98603,0,33,2,17,1,44
98600,52,554,4,14,7,11
98601,2,76,2,16,1,87
98606,2,242,3,83,8,0
98607,0,1,2,76,1,97
98604,0,1,3,88,1,57
98605,2,427,2,1,1,87
98608,1,12,2,49,1,44
98609,18,164,2,49,1,44
85263,126,2264,2,36,1,87
107919,1,5,2,76,1,97
107916,2,1,2,15,3,18
107917,1,5,2,17,1,97
107914,0,21,2,75,1,26
107915,2,68,2,17,1,45
107912,1,83,2,17,1,46
107913,1,2,2,75,1,26
104759,0,1,0,46,8,91
104758,1,1,3,50,8,31
104751,1,1,2,61,1,86
104750,1,1,0,3,3,69
104753,0,167,3,19,8,65
104752,1,2,2,17,1,26
104755,1,1,3,73,1,40
104754,0,74,2,92,1,46
104757,1,22,3,84,8,66
104756,1,1,9,41,9,93
99959,2,8,9,11,9,6
99958,0,1,3,46,8,91
99955,0,12,2,49,1,2
99954,1,1,2,23,1,18
99957,0,169,3,87,0,46
99956,0,35,2,74,1,45
99951,1,2,3,63,8,45
99950,2,90,2,1,1,87
99953,126,2264,2,84,1,46
99952,0,12,3,18,8,66
101987,0,3,9,41,9,93
101986,2,1,6,81,3,73
101985,1,1,0,40,3,38
101984,1,172,3,32,8,42
101983,0,1,2,84,1,86
101982,126,2264,9,41,9,7
101981,0,1,8,67,4,4
101980,0,21,2,17,1,44
101989,0,3,2,1,1,87
101988,2,13,2,17,1,46
105406,0,10,2,65,1,49
105407,1,1,3,61,8,66
105404,1,5,2,49,1,44
105405,2,30,2,21,1,25
105402,2,68,2,76,1,97
105403,1,2,9,75,9,26
105400,0,21,2,15,1,97
