,mod,wt,km_10,km_100,km_1000,gmm_10,gmm_100
815320,2,44,9,99,368,6,66
109309,1,2,4,31,395,4,18
109308,1,5,4,1,174,6,79
109305,0,21,9,76,222,6,77
109304,1,2,4,29,107,3,2
109307,0,1,2,29,794,3,91
109306,0,30,4,85,483,6,66
109301,1,5,7,29,383,8,2
109300,1,2,4,43,348,2,88
109303,1,5,4,12,162,8,43
109302,1,2,9,99,52,2,98
109699,1,2,4,12,817,1,24
109698,1,2,4,43,134,2,64
91946,0,3,4,76,830,6,40
91947,0,13,4,43,446,2,82
91944,2,13,4,49,758,6,98
91945,2,9,4,84,182,6,7
91942,2,154,4,76,547,6,66
91943,0,22,4,95,587,2,64
91940,126,2264,9,7,210,6,98
91941,2,79,4,84,182,6,7
91948,2,204,4,85,354,7,98
91949,2,7,4,12,663,6,54
92819,2,127,4,41,33,2,77
92818,0,1,5,71,356,0,60
100108,0,3,4,12,806,2,64
100109,0,69,5,6,547,6,77
107338,1,59,4,95,587,2,64
107336,1,2,4,27,658,2,24
107337,1,2,7,91,565,8,10
100106,0,52,9,73,366,3,35
100107,126,2264,4,12,830,6,40
100100,0,69,4,78,194,3,81
107333,0,22,4,76,609,3,44
100102,0,1957,4,12,424,8,43
100103,0,131,4,12,776,2,82
145828,1,2,4,76,260,6,40
145829,0,1,4,12,520,6,77
145821,2,68,4,84,182,6,54
145822,2,1,4,12,260,6,40
145823,1,2,4,43,561,3,29
145824,1,5,4,12,743,0,42
145825,0,1398,4,76,348,6,24
145826,0,21,4,76,830,6,1
180037,1,1,4,89,652,8,82
95848,0,3,4,12,761,0,90
801975,1,2,4,12,162,6,33
90905,0,313,4,12,520,6,77
801976,1,1,4,49,758,3,82
89631,126,2264,4,97,553,8,3
89630,3,407,4,43,348,2,64
90901,2,263,4,22,965,2,77
89633,2,1397,4,12,162,4,97
90900,2,61,4,12,856,6,79
89632,0,1061,4,12,806,8,3
102412,2,9,7,39,732,3,16
89635,3,2,4,12,162,7,79
90902,126,2264,4,12,174,6,98
89634,2,2251,4,12,198,6,98
104100,0,21,4,68,422,8,54
89637,3,1400,4,76,631,6,44
104101,0,36,4,85,547,6,40
89636,2,139,4,12,856,6,79
104103,0,21,9,82,357,3,19
93548,0,3,4,59,914,8,77
101278,0,7,5,85,193,2,77
93544,2,42,4,59,188,8,47
93545,0,1,5,44,737,9,65
93546,3,232,4,65,631,6,24
101271,0,3,4,65,631,6,90
93541,2,1972,4,12,9,6,60
101273,0,1277,4,49,758,2,82
93543,0,1973,4,73,896,7,54
98578,3,352,4,49,78,2,77
85286,19,449,4,12,174,6,79
98574,0,33,4,70,886,8,43
98575,2,20,4,12,520,6,1
98576,0,3,9,49,783,6,98
104107,0,21,4,5,353,3,46
98570,0,3,4,19,127,3,53
98571,0,201,4,12,830,6,40
98572,0,1,4,84,125,6,39
98573,0,3,4,31,378,8,3
93140,91,1076,4,27,456,2,24
85259,126,2264,4,27,456,2,24
104202,0,21,9,76,4,3,72
104170,2,68,4,19,266,3,82
104173,2,30,4,12,212,6,82
85250,3,316,4,29,457,8,2
93142,2,338,4,65,631,0,44
85255,19,173,4,89,856,6,39
85254,126,2264,9,80,80,7,63
93143,2,1056,4,49,225,2,88
93144,2,243,4,59,319,8,77
93145,2,2255,4,49,758,2,24
93146,2,2,4,43,134,2,64
93147,126,2264,4,5,353,7,79
87099,0,3,4,22,965,2,64
87098,126,2264,4,84,491,6,5
87097,126,2264,4,12,520,6,77
87096,2,7,4,89,260,0,39
87095,2,1021,4,89,719,4,39
87094,2,529,7,5,285,7,11
87093,2,240,5,73,342,6,44
87092,2,240,4,49,520,6,1
87091,126,2264,4,12,520,6,77
87090,2,13,9,76,141,2,72
105226,2,30,4,89,558,6,39
105227,1,1,4,36,114,8,29
105224,0,1,4,12,174,7,79
105225,2,2,4,12,174,7,79
105222,1,5,7,52,778,7,88
105223,2,68,4,85,354,6,98
105220,1,2,4,2,586,6,54
105221,1,5,4,12,856,6,39
105228,1,1,4,12,743,0,42
105229,1,2,4,84,180,6,54
89697,8,976,4,89,749,3,92
108534,2,68,9,76,570,2,64
89695,0,1,4,12,856,6,3
89694,0,3,4,73,151,3,81
89693,0,47,9,99,52,6,73
89692,3,647,4,63,270,9,54
89691,0,105,4,85,483,6,98
89690,126,2264,4,12,946,6,77
108539,1,2,4,67,260,6,40
108538,1,2,4,1,174,7,79
89699,126,2264,4,12,806,6,77
89698,2,14,4,27,71,2,24
136998,1,2,9,27,240,2,24
136999,1,5,9,10,889,6,77
136996,1,2,4,12,743,3,81
136997,2,1,4,89,180,6,54
136994,1,2,7,27,371,2,24
136995,1,2,4,49,78,2,69
136992,1,2,4,12,830,6,40
136993,2,1,4,21,600,5,62
136990,1,2,4,12,369,6,98
136991,2,1,5,11,625,6,98
103314,2,68,4,12,830,6,40
103430,2,2,4,49,633,2,23
103316,2,25,4,10,369,6,98
103317,2,154,4,48,157,5,50
103310,1,1,4,12,9,7,79
103311,1,1,4,12,830,6,31
103312,0,21,4,12,719,6,90
103313,0,21,4,43,348,2,82
88564,126,2264,4,63,581,6,54
103318,0,287,9,30,644,2,23
103319,0,12,4,12,151,6,74
88878,8,326,4,49,663,6,77
88879,3,614,9,73,580,3,44
88870,3,186,9,7,210,6,23
88871,1,1240,4,85,93,9,77
88872,3,858,4,89,151,6,54
88873,126,2264,0,67,208,0,55
88874,126,2264,4,12,401,2,70
88875,3,1402,9,7,52,2,98
88876,2,42,4,12,162,6,77
103433,2,1,4,89,348,6,24
97012,2,7,4,12,9,6,40
97013,2,1,9,10,196,6,66
97010,2,25,4,67,260,6,15
97011,0,13,9,69,670,6,74
88258,2,7,4,89,321,6,54
88259,45,207,4,54,718,0,91
97014,0,1,4,12,99,6,40
97015,2,50,4,49,758,6,98
88254,0,156,4,27,456,2,24
88255,126,2264,4,89,633,2,64
88256,126,2264,9,69,96,6,44
88257,126,2264,4,12,544,6,7
88250,2,274,4,12,174,6,98
88251,2,1203,4,12,830,6,40
88252,2,44,4,85,260,6,40
88253,1,9,4,89,575,6,39
100665,2,1,4,76,50,4,97
100664,0,9,4,23,303,9,44
100667,2,29,9,22,965,2,77
100666,1,30,4,65,830,3,44
100661,1,5,4,36,972,2,77
100660,0,52,4,68,286,6,54
100663,2,102,4,89,212,6,54
100662,3,222,4,73,151,3,35
100669,1,3,4,1,260,6,79
100668,2,0,4,65,111,0,39
95528,2,412,4,49,520,6,77
95529,2,13,4,84,983,6,98
95520,2,128,4,12,162,4,56
95521,2,90,4,49,520,6,98
95522,2,9,5,72,349,7,36
95523,3,1403,4,49,78,2,77
95524,2,475,4,85,369,6,65
95525,1,3,4,85,354,7,91
95526,0,3,4,12,424,8,21
95527,2,92,4,12,776,6,98
103436,2,1,4,10,982,6,77
87783,0,3,4,85,9,6,91
103439,0,1,4,49,243,6,98
87782,126,2264,4,24,842,8,93
103438,0,1,4,12,817,2,24
87781,126,2264,4,49,758,6,77
90549,2,14,4,68,855,6,7
90548,2,2,4,68,971,6,54
90545,2,129,4,21,742,5,92
90544,126,2264,4,49,758,2,74
90547,8,326,9,73,151,3,44
90546,0,97,4,84,180,6,15
90541,126,2264,4,84,729,6,98
90540,2,7,4,36,727,8,47
90543,2,7,5,11,344,9,12
90542,126,2264,4,85,405,6,77
96879,54,309,0,17,115,0,15
96878,2,30,9,73,580,3,19
96873,2,1406,4,65,609,3,31
96872,2,30,4,65,631,6,90
96871,2,50,4,49,520,2,69
96870,0,3,5,85,354,7,36
96877,3,41,4,67,260,1,15
96876,0,3,4,12,385,9,40
96875,2,13,4,12,830,6,40
96874,2,9,4,85,405,6,77
90099,2,13,4,12,520,6,98
90098,2,1,4,76,50,6,40
90093,2,19,4,12,743,3,31
90092,126,2264,4,12,719,2,70
90091,2,475,5,6,966,9,65
90090,3,934,4,67,260,0,40
90097,2,30,5,85,0,3,87
90096,3,31,4,76,830,6,66
90095,126,2264,4,76,871,6,79
90094,2,97,9,25,659,6,24
112811,0,11,4,12,369,6,98
112810,1,2,4,12,369,6,65
112813,0,346,4,12,369,4,98
112812,1,2,4,12,761,5,82
112817,26,889,4,12,856,6,98
112816,1,1407,4,12,830,6,40
112819,1,2,4,27,240,1,24
112818,1,59,4,49,243,6,77
94732,2,44,4,89,856,6,54
94733,2,7,9,10,889,6,66
94730,0,3,5,11,966,6,98
94731,2,65,4,53,478,8,78
94736,2,13,4,85,983,6,77
94737,126,2264,4,12,314,6,40
94734,0,12,7,5,778,2,88
94735,0,3,4,49,327,2,69
94738,0,22,4,84,125,6,79
94739,2,1036,4,12,830,6,40
87552,2,30,4,29,100,3,65
88581,0,271,4,84,729,6,98
87550,2,3,4,5,702,7,79
87551,126,2264,4,95,587,2,64
87556,126,2264,4,12,520,6,77
87557,2,79,4,12,632,2,77
87554,2,7,4,73,151,6,44
88587,0,1,4,10,30,3,44
88588,0,47,4,76,131,7,63
88589,2,7,9,73,580,3,74
2620917,2,7,4,53,894,8,78
98178,0,35,9,43,291,2,64
2620914,126,2264,4,41,33,2,77
2620913,2,1408,4,12,776,6,77
2620912,2,1409,4,12,609,9,40
2620911,126,2264,4,12,830,6,81
98179,0,36,4,1,758,7,98
1087740,8,1137,4,12,162,6,33
1087744,2,17,9,69,96,6,58
1087745,2,90,9,25,278,6,58
97830,1,5,9,76,680,6,66
97831,0,3,4,76,830,6,40
97832,126,2264,4,67,260,6,40
97833,0,30,9,25,278,6,44
97834,126,2264,4,1,420,7,11
97835,0,12,4,81,154,2,82
97836,1,5,9,25,659,6,44
97837,2,13,9,23,67,3,44
97838,0,3,9,69,96,3,44
97839,2,30,4,76,609,6,77
105152,1,5,4,76,609,3,77
105153,126,2264,5,11,0,7,98
95069,126,2264,4,76,871,6,33
95068,0,3,4,12,303,9,40
95065,126,2264,9,76,680,6,40
95064,0,22,4,76,871,5,33
95067,2,3,4,12,99,6,7
95066,2,13,9,25,659,6,44
95061,2,19,9,25,222,6,82
95060,2,13,9,76,680,6,66
95063,2,90,4,12,830,6,40
95062,0,1,4,12,830,6,40
105156,1,2,4,12,830,6,40
105157,1,2,4,12,174,6,79
117948,1,1,5,11,625,7,60
117949,2,1,4,12,946,2,77
99480,126,2264,4,72,592,7,55
117940,0,52,4,12,174,7,79
117941,2,1,4,12,151,6,88
117942,1,5,4,10,243,6,40
117943,2,1,9,76,659,6,98
117944,1,5,4,12,830,6,31
117945,1,1,4,1,227,7,11
117946,0,8,4,12,830,6,40
117947,1,5,4,5,353,8,78
111739,1,5,4,1,420,7,79
111738,1,5,4,12,830,3,44
111731,1,1,4,12,743,3,88
111730,2,1,4,76,871,6,44
111733,1,5,4,12,663,6,77
111732,1,5,4,76,830,6,40
111735,1,2,4,95,699,2,64
111734,1,2,4,43,348,6,88
111737,1,59,4,12,162,6,79
111736,1,59,4,12,174,7,79
89860,2,1111,4,19,127,5,20
89861,2,102,4,0,346,6,40
89862,2,1,9,23,67,9,44
89863,0,22,9,67,975,0,15
89864,126,2264,4,54,912,0,60
89865,2,9,4,76,871,1,44
89866,2,40,4,67,260,6,31
89867,2,111,9,49,327,2,88
89868,2,503,4,74,538,1,41
89869,0,1981,9,69,670,6,44
142898,2,1,4,76,260,6,39
142899,1,2,4,80,131,7,79
142894,1,3,4,12,99,6,81
142895,1,5,4,12,817,1,24
142896,1,5,4,36,727,3,24
142897,1,2,9,25,141,2,24
142890,2,1,7,52,778,2,88
142891,1,2,4,76,50,6,33
142892,0,1,4,76,609,6,40
142893,0,12,9,6,361,6,98
2783887,0,1,4,27,658,2,24
98378,2,3,4,12,370,2,24
98379,0,12,4,36,972,1,24
98376,0,22,4,12,609,6,40
98377,3,2,9,76,609,9,77
98374,1,3,4,76,871,6,97
98375,1,3,9,76,680,3,44
98372,1,3,5,11,620,9,9
98373,0,10,7,5,285,2,69
98370,2,427,4,50,86,7,95
98371,3,1,9,10,602,6,1
92929,0,50,4,76,871,6,44
92928,2,22,4,72,592,7,36
110064,1,5,9,76,871,4,44
110065,1,2,4,12,162,6,42
110062,1,1,4,12,162,6,42
110063,0,12,4,12,717,8,77
110060,1,2,4,72,51,7,36
110061,1,83,9,25,609,9,40
92921,126,2264,4,12,743,0,60
92920,0,22,4,85,405,6,98
92923,0,52,9,23,67,9,44
92922,126,2264,4,84,729,6,7
92925,0,1,4,73,151,6,44
92924,3,28,4,12,663,6,98
92927,1,5,4,89,119,6,97
92926,2,187,4,65,631,3,81
93034,1,3,9,6,398,2,23
93035,0,22,4,84,729,7,79
93036,2,379,9,25,659,6,40
93037,2,475,4,84,729,6,79
93030,2,90,4,89,321,6,54
93031,2,739,4,76,10,3,44
93032,2,129,4,12,162,6,7
93033,2,379,4,12,830,3,44
93038,2,2203,4,12,174,6,79
93039,3,2204,4,19,652,3,20
104379,0,36,4,76,609,6,88
104378,1,2,4,12,806,2,64
111846,1,1,7,39,732,3,16
96008,126,2264,4,1,174,7,79
96009,0,12,4,5,306,7,79
96002,0,50,7,52,233,9,46
96000,2,13,4,12,520,6,98
96001,0,584,4,12,830,6,40
96006,1,1,4,72,592,7,36
96007,126,2264,4,43,291,2,64
96005,0,3,4,43,348,2,98
106203,2,68,4,12,306,2,77
106205,2,68,9,10,72,6,77
106204,2,68,4,12,817,2,24
106207,1,2,4,36,437,2,77
106206,2,68,4,74,374,9,28
106209,2,44,4,12,673,6,40
106208,1,5,4,84,814,6,24
149649,2,14,4,12,830,6,40
97354,3,1411,4,12,99,6,40
97357,2,40,4,12,609,9,40
97356,1,1,5,11,356,0,84
97351,0,3,7,52,234,7,11
97350,1,3,4,12,174,7,79
97353,90,3,4,5,353,6,33
97352,3,28,4,12,50,6,40
97359,0,47,4,42,21,5,33
97358,0,22,4,76,369,6,36
99137,2,13,4,67,992,0,15
99136,0,3,4,36,972,2,77
99135,0,13,5,11,625,7,98
99134,126,2264,4,84,729,6,79
99133,0,140,4,12,162,7,79
99132,2,9,4,12,260,6,40
99131,2,274,5,11,936,3,49
99130,1,2,7,52,533,9,10
100601,0,12,4,68,855,8,54
99139,0,69,4,89,558,6,54
99138,0,3,4,12,162,6,7
84929,126,2264,4,76,663,2,77
107558,1,5,4,12,749,3,5
107559,2,30,4,10,198,6,74
107556,0,21,5,85,354,2,77
107557,126,2264,4,12,508,2,69
107554,1,5,4,68,855,6,54
107555,0,52,4,76,401,2,64
107552,2,68,4,12,174,6,79
107553,1,5,4,73,0,7,98
107551,1,5,4,36,727,8,77
3191119,126,2264,4,12,162,6,42
3191118,126,2264,4,12,830,6,40
3191117,126,2264,4,12,830,6,40
84920,126,2264,4,12,830,6,40
84921,126,2264,4,12,162,6,98
102009,0,229,4,84,729,6,7
102008,0,836,4,76,830,6,40
102007,2,350,4,12,830,6,40
102006,2,465,4,68,855,6,7
102005,2,25,4,12,325,6,98
102004,0,12,4,1,86,7,82
102003,0,3,4,19,652,5,15
102002,0,3,4,43,348,2,98
102001,2,7,4,1,868,3,11
102000,3,1417,4,36,972,2,77
118239,1,3,4,12,260,6,40
118238,1,1,4,31,945,0,60
146986,2,30,4,85,480,6,98
146984,1,2,4,12,174,7,79
146985,1,1,4,12,174,6,98
146982,1,2,4,89,856,6,39
146983,2,1,4,12,99,6,40
146980,1,2,4,84,182,6,24
146981,1,2,9,76,753,3,72
180910,126,2264,4,12,174,7,79
88225,0,1419,4,12,806,2,77
96036,1,1,4,76,50,6,79
106784,2,68,4,41,33,2,77
106785,1,1,4,12,174,7,79
106786,1,2,4,63,416,8,10
106787,1,1421,4,19,4,3,44
106782,0,10,9,23,67,9,44
106783,1,83,4,97,973,5,3
106788,2,1,4,12,856,6,79
106789,1,5,4,1,147,7,79
96034,126,2264,4,10,30,2,24
91599,1,2,4,67,749,1,15
91598,1,2,4,76,871,6,40
91595,0,105,4,12,162,6,42
91594,0,165,4,76,853,6,79
91597,2,1,4,12,505,2,77
91596,2,162,4,12,505,2,77
91591,2,437,4,84,729,8,43
91590,2,57,4,85,764,0,65
91593,2,13,4,76,309,7,11
91592,2,2093,4,12,325,5,5
145679,1,1,4,84,841,6,98
145678,2,1,4,85,983,6,98
96032,0,22,5,11,551,3,12
145671,2,1,4,85,663,6,64
145670,1,83,9,25,903,6,24
145673,2,30,4,12,830,6,40
145672,1,5,4,12,289,9,96
145675,2,30,4,12,162,6,7
145674,2,2,9,25,278,6,58
145677,2,1,4,3,70,8,51
145676,1,2,4,76,50,6,97
105847,2,0,4,49,72,6,77
105844,1,2,4,68,422,6,54
109179,1,59,4,89,378,8,39
105843,1,1,4,21,829,9,6
105848,1,2,4,0,346,9,40
105849,0,30,4,84,729,5,47
111374,0,12,4,89,946,2,64
131143,1,2,4,12,162,6,43
131144,1,2,4,12,348,6,98
131145,2,1,9,76,632,2,64
131146,1,83,4,76,933,6,20
131147,1,1,4,12,370,3,81
131149,1,5,5,11,247,6,98
92028,2,129,4,53,553,8,47
92029,46,450,4,12,198,6,79
92024,2,626,4,10,198,6,98
92025,126,2264,4,12,631,6,88
92026,126,2264,4,1,174,6,79
92027,0,12,4,54,672,7,11
92020,2,439,4,12,830,6,31
92021,2,51,4,12,775,7,97
92022,2,7,7,52,233,7,46
92023,126,2264,4,85,483,6,74
618679,1,2,7,52,585,9,16
1096222,0,3,4,12,174,7,79
86939,126,2264,5,44,36,2,88
86938,0,1423,4,12,198,7,79
86933,126,2264,4,12,420,7,79
86932,2,9,4,49,758,2,77
86931,2,30,4,66,295,5,3
86930,0,22,4,49,520,6,98
86937,2,44,4,12,933,6,7
86936,3,316,4,29,107,7,98
86935,126,2264,7,5,633,2,91
86934,2,68,4,12,306,6,79
94596,0,3,7,5,234,7,11
94597,0,12,7,5,736,0,46
94594,0,3,4,19,266,3,53
94595,10,7,4,12,174,7,79
94592,0,50,4,65,631,0,97
94593,3,268,4,98,481,0,42
84795,126,2264,4,98,139,0,42
84794,126,2264,4,12,306,6,24
84797,126,2264,4,76,871,6,40
84796,126,2264,4,76,871,6,97
84791,2,1424,4,12,306,6,24
84790,126,2264,4,12,174,7,79
84793,126,2264,4,68,971,6,7
84792,126,2264,7,68,896,7,54
94591,0,3,4,12,9,7,79
84799,126,2264,4,12,973,8,51
84798,126,2264,4,16,756,2,69
85770,3,2,4,12,520,6,77
85771,2,228,4,12,99,6,40
85772,126,2264,9,73,342,3,35
85773,126,2264,4,76,871,6,97
85774,2,975,5,11,666,6,98
85775,1,1,4,49,247,6,77
85777,2,30,4,76,806,2,77
85778,126,2264,4,12,776,6,82
85779,126,2264,4,5,353,6,40
2402836,2,1425,4,12,806,6,77
87688,0,50,4,12,663,6,77
87689,2,69,4,85,483,6,40
87686,126,2264,4,84,125,8,54
87687,2,50,4,36,727,2,77
87684,0,3,9,7,210,2,69
87685,4,1426,7,52,455,7,16
87682,2,1427,4,12,260,6,40
87683,3,678,4,12,817,1,24
87680,2,1,4,89,558,6,40
87681,2,44,4,12,830,6,40
2620855,126,2264,4,12,99,6,90
2620852,126,2264,4,76,520,6,98
86483,2,1429,9,25,309,2,64
86482,0,411,4,43,446,2,74
86481,126,2264,4,72,51,7,36
86480,1,12,5,23,178,9,44
86487,126,2264,5,95,699,2,64
86486,2,1430,4,43,134,2,64
86485,126,2264,4,76,753,7,33
86484,2,13,4,10,982,6,98
86489,126,2264,4,49,78,6,98
86488,2,240,4,84,386,8,5
88939,0,0,4,65,631,1,0
88938,2,9,4,49,758,7,98
88935,3,1,4,76,50,6,98
88934,126,2264,4,12,162,6,79
88937,2,44,4,10,30,6,1
88936,126,2264,4,27,240,1,24
88931,3,95,4,28,836,4,52
88930,2,9,4,27,71,1,24
88933,126,2264,4,12,830,6,66
88932,2,1431,4,65,631,3,35
86159,126,2264,4,12,743,0,81
86158,2,9,4,12,50,6,79
86151,2,2,4,1,466,7,79
86150,8,1,5,11,625,6,60
86153,2,37,9,76,222,2,98
86152,126,2264,4,1,174,7,79
86155,3,31,4,1,761,0,90
86154,0,22,4,84,802,6,7
86157,1,1,9,77,286,6,41
86156,0,1,4,12,370,6,51
219509,1,1,4,89,856,6,82
219508,2,76,4,50,394,2,24
88689,2,9,4,76,50,6,79
88688,2,2126,4,68,855,6,54
88683,2,69,4,84,472,2,64
88682,0,3,4,12,663,3,98
88681,126,2264,4,43,348,2,64
99041,1,12,4,12,162,6,79
88687,126,2264,4,84,182,6,54
88686,2,187,4,2,258,8,20
88685,126,2264,5,11,966,2,77
88684,79,1432,4,12,528,6,54
1688164,3,1433,4,54,672,0,91
89086,126,2264,9,76,871,0,44
89087,126,2264,4,68,902,6,54
89084,126,2264,4,49,225,2,88
89085,126,2264,9,25,133,9,40
89082,126,2264,4,72,51,7,36
89083,1,1,4,85,79,7,63
89080,126,2264,7,52,778,2,88
89081,126,2264,9,89,760,3,92
96248,2,1,4,48,305,3,50
96249,0,802,4,5,702,8,46
89088,126,2264,4,76,325,3,98
89089,126,2264,9,27,71,2,24
96330,2,90,4,27,334,1,24
96331,2,1,4,84,182,6,54
96332,0,1,4,12,123,7,79
96333,3,92,4,85,354,6,98
96334,0,50,4,81,332,2,82
96335,0,12,2,29,38,3,80
96336,0,50,7,5,789,3,33
96337,2,9,4,76,50,6,40
89338,2,1436,7,5,817,1,24
89339,2,9,4,36,245,3,69
89334,0,35,5,85,966,0,60
89335,76,908,5,51,329,2,98
89336,1,2,4,90,289,9,61
89337,3,92,4,90,289,9,78
89330,0,22,4,5,353,6,40
89331,0,22,4,94,146,5,33
89332,111,1437,4,63,936,6,40
89333,0,315,9,7,368,6,66
103505,1,2,4,12,174,6,98
103504,0,21,4,12,162,6,79
103507,0,12,4,81,154,2,82
103506,126,2264,4,76,314,6,40
103501,0,1438,4,76,871,6,24
103500,2,1,4,12,353,6,40
103503,2,130,4,12,856,6,24
103502,0,1,5,52,843,2,69
103509,0,5,4,76,632,2,77
103508,0,1,4,76,871,6,79
94088,0,12,4,76,871,6,79
94089,1,2,4,22,323,2,77
88847,15,1584,7,39,161,2,16
94080,2,57,4,12,99,6,79
94081,2,50,4,12,806,6,77
94082,1,2,4,12,123,6,79
88846,15,1588,4,12,162,6,42
94084,1,2,5,11,36,2,49
94085,0,2130,5,44,36,2,12
94086,2,7,4,12,162,6,7
94087,126,2264,9,10,889,6,98
90978,2,102,4,85,401,2,64
90979,2,3,4,12,162,6,7
103346,0,21,4,12,147,7,79
90970,2,131,4,1,420,7,11
90971,2,2131,4,27,456,2,24
90972,0,44,4,76,50,6,98
90973,2,53,4,19,652,5,53
90974,2,129,4,12,856,3,31
90975,7,1439,4,19,465,1,50
90976,7,1440,4,68,422,6,7
90977,0,9,4,43,817,2,24
97197,0,2161,4,12,424,8,3
97196,0,22,9,82,450,3,81
97195,3,201,4,12,314,6,40
97194,3,567,4,5,306,2,77
97193,3,2,4,1,325,7,98
97192,3,2,9,10,243,1,65
97191,2,7,4,89,575,0,39
97190,3,13,4,5,353,6,40
97199,0,3,4,5,416,8,10
97198,2,1021,5,85,620,9,66
99331,1,3,7,52,843,2,88
99330,1,3,4,49,758,7,82
215071,1,1,4,84,306,6,24
99332,0,12,4,68,971,7,98
215077,1,1,7,52,778,2,46
99334,126,2264,4,76,369,6,98
99337,0,22,4,43,75,2,64
100839,0,21,4,12,369,6,98
99339,0,116,5,85,966,9,22
99338,2,274,5,85,247,7,77
118268,1,5,5,85,405,6,98
118269,1,1,4,12,663,6,98
118264,1,5,4,1,131,7,79
118265,2,2,4,84,802,6,54
118266,1,2,5,44,317,2,24
118267,0,36,5,11,869,1,12
118260,0,1,4,10,609,6,40
118261,2,1,4,12,609,6,44
118262,2,1,4,65,218,0,81
118263,1,1,4,27,240,1,24
107822,2,68,4,2,447,8,20
100831,2,9,4,36,437,3,33
100832,0,1441,4,49,72,2,69
107821,1,5,7,52,778,2,88
90358,43,1442,7,7,527,2,23
90359,1,5,4,43,348,8,88
99489,0,47,4,19,127,5,53
99488,2,1,4,12,817,2,95
90354,2,240,4,85,983,6,77
90355,3,232,4,24,505,1,93
90356,8,313,4,21,600,5,62
90357,2,1418,4,22,965,2,64
90350,2,13,4,27,334,2,24
90351,2,9,4,76,50,7,79
99481,1,1,5,85,193,2,65
100835,0,3,4,12,131,7,79
100836,2,30,4,28,836,0,17
100837,2,9,7,52,234,7,11
107057,0,52,4,12,817,2,24
91281,7,5,4,43,348,2,64
109595,1,59,4,12,147,7,11
106540,2,664,4,84,729,6,43
109597,1,2,4,12,162,6,77
109590,1,2,5,85,966,6,40
109591,0,287,4,10,306,6,1
109592,1,5,4,85,983,6,77
109593,2,30,4,12,391,2,77
94509,2,19,9,99,52,2,98
106819,1,1,4,5,7,2,69
91759,58,606,4,12,391,2,77
91758,2,53,4,19,127,5,53
106814,2,1,4,28,836,4,18
91756,2,30,4,49,555,2,69
91755,126,2264,4,28,12,4,68
106817,2,30,4,85,9,6,98
91753,1,5,4,48,465,1,50
106811,2,68,9,7,210,8,73
94503,126,2264,9,76,483,6,98
91750,1,2153,9,10,889,6,66
97975,1,1,4,12,491,6,43
97974,0,3,4,12,830,6,44
97977,2,20,9,25,315,2,64
97976,0,36,4,12,369,1,65
97971,0,3,4,27,334,2,24
97970,0,3,4,48,157,5,50
97973,0,128,4,85,354,6,98
97972,0,3,9,68,286,7,11
97979,0,12,4,12,520,6,77
97978,2,20,4,49,613,9,77
2678134,2,0,7,39,148,8,10
2678135,2,1,4,85,508,2,69
2678133,0,30,4,85,983,6,77
92228,126,2264,4,5,353,8,29
92229,0,156,4,12,306,6,79
92226,126,2264,4,65,111,0,91
92227,0,1444,4,36,401,2,64
92224,126,2264,4,22,409,2,64
92225,3,435,9,23,67,3,44
92222,2,80,5,11,36,2,98
92223,0,12,4,19,652,3,20
92220,1,2,4,85,9,6,77
92221,2,9,4,12,174,2,64
111506,1,5,4,89,575,6,39
111507,1,5,4,84,470,3,33
111504,1,5,4,12,306,6,79
111505,1,5,9,95,167,2,64
111502,2,2,4,12,508,2,64
111503,1,1,4,76,369,6,98
111500,1,5,4,76,776,6,98
111501,1,3,4,24,505,2,93
111508,2,1,9,76,222,2,98
111509,1,83,5,44,666,2,73
110459,2,68,4,36,193,2,77
110458,1,1,4,89,174,2,82
99814,2,40,4,12,369,6,98
99815,0,3,4,12,174,7,79
99816,0,69,5,85,247,6,77
99817,0,1446,4,1,86,7,11
99810,3,1301,9,95,587,2,64
99811,1,3,4,43,348,2,29
99812,0,69,4,50,394,2,95
99813,2,17,4,75,826,0,42
99818,126,2264,9,10,196,6,66
99819,3,2,4,12,260,6,79
104504,1,83,4,31,505,2,93
104505,2,2,4,49,243,6,98
104506,0,12,4,5,505,2,93
104507,2,90,4,89,321,6,7
104502,0,12,4,31,945,0,0
104503,1,1,4,27,788,1,24
104508,1,2,4,89,119,2,82
104509,1,5,4,22,409,3,69
105675,2,1448,4,36,727,2,77
105674,0,22,4,12,174,7,79
105677,2,802,4,19,127,5,53
105676,2,664,4,95,767,2,64
105670,2,44,4,12,212,5,5
105673,2,1,9,73,366,7,54
105672,0,21,4,76,694,1,89
105679,1,2,4,50,617,7,79
105678,2,68,9,36,696,3,69
102906,0,2,4,68,971,2,98
102904,0,36,7,52,656,8,78
102905,3,1449,4,28,308,0,37
102902,0,21,4,28,308,8,78
102903,2,151,4,76,325,6,98
102900,0,21,4,12,162,6,98
102901,1,5,4,72,475,5,26
2620974,126,2264,9,95,263,2,64
3170727,126,2264,5,11,458,6,24
3170729,126,2264,4,1,174,7,79
3170728,126,2264,4,84,321,8,3
2620972,126,2264,9,7,196,7,23
90598,2,44,4,12,162,6,7
95512,126,2264,9,76,570,2,88
100218,2,1,4,43,910,2,64
107749,2,30,5,99,329,3,98
107748,1,1,7,5,285,8,93
107747,2,30,4,12,933,6,7
107746,1,2,4,89,337,6,54
107745,1,83,4,76,187,7,97
107744,0,12,4,65,111,0,39
107743,1,1,9,10,596,2,74
