,mod,wt,km_10,km_100,km_1000,gmm_10,gmm_100
96665,0,3,4,10,30,6,79
97391,126,2264,9,58,116,2,74
97390,0,52,4,87,536,7,36
97393,2,202,4,71,241,3,84
97392,0,203,5,11,310,9,9
97395,1,2,5,32,393,1,85
97394,2,204,5,96,31,9,89
97397,0,1,4,88,91,9,9
97396,0,3,4,73,151,9,35
97399,2,42,4,12,10,9,96
97398,2,30,0,67,208,0,55
94288,0,97,7,74,993,3,93
94282,3,1775,9,23,67,1,44
94283,2,13,5,11,625,0,91
94280,2,12,5,11,458,2,49
94281,3,161,4,89,575,9,39
94286,1,3,9,76,753,7,72
94287,2,90,5,44,60,3,87
94284,126,2264,4,12,690,7,11
94285,2,7,4,54,61,0,42
2512110,2,205,4,12,743,0,42
97535,0,116,4,23,303,9,44
97534,0,12,4,12,369,6,52
97537,2,206,4,12,19,3,70
97536,0,22,4,89,152,5,36
97531,1,3,9,10,235,3,65
97530,3,207,4,55,101,7,4
97533,1,208,4,12,338,9,61
97532,126,2264,9,99,825,2,73
97539,1,3,4,54,282,0,91
97538,1,1,4,74,928,9,28
94130,0,3,4,74,372,9,28
94131,0,48,4,41,41,2,69
94132,0,352,4,12,983,6,61
94133,2,3,4,1,466,7,11
94134,2,51,4,74,985,3,84
94135,2,2,4,12,19,7,36
94136,2,2,4,12,19,6,32
94137,2,115,4,23,497,9,44
94138,2,76,4,89,19,6,32
94139,2,730,4,12,581,6,54
102511,25,212,4,21,829,9,62
102510,2,213,5,62,206,1,99
102513,2,9,4,12,19,1,31
