,km,mod,wt
92741,18,2,853
92740,10,2,18
92743,17,0,3
92742,28,2,358
92749,8,2,91
92748,22,0,35
107288,12,2,5
1379993,14,1,5
85678,17,0,1918
85671,12,1,1
85670,4,2,1477
85673,25,2,1
85672,14,1,1927
85675,28,0,548
85674,4,0,3
85677,14,0,1928
85676,24,2,215
87299,18,8,96
87298,10,0,97
87291,22,0,98
87290,14,126,2264
87293,14,126,2264
87292,24,126,2264
87295,24,126,2264
87294,14,9,99
87297,25,2,100
87296,14,0,101
1087669,12,1,1
1087668,2,1,5
1087667,14,1,1
1087666,16,1,2
1087665,14,0,52
1087664,6,2,0
1087663,8,0,1
1087662,26,2,7
1087660,12,0,12
108849,12,1,1
108848,14,1,5
89949,8,2,102
89948,29,0,103
89943,14,2,1249
89942,10,126,2264
89941,4,2,141
89940,14,0,405
89947,10,126,2264
89946,11,0,12
108847,10,1,59
108846,26,1,2
87127,2,2,104
87126,12,126,2264
87125,3,126,2264
87124,14,126,2264
87123,14,2,7
87122,28,126,2264
87121,10,2,9
87120,14,2,7
87129,22,3,28
87128,27,0,15
86656,10,126,2264
86657,8,2,428
86654,14,2,1
86655,14,3,429
86652,2,2,106
86653,9,2,107
86650,12,2,90
86651,14,10,108
95960,12,2,260
95961,14,2,90
95962,9,0,12
95963,14,2,3
95964,14,0,1
95965,12,2,13
86658,14,2,228
86659,14,0,52
89491,14,2,13
89490,14,2,416
89493,14,2,436
89492,11,2,205
89495,11,2,7
89494,24,2,1
89497,3,2,438
89496,12,0,22
89499,12,2,128
89498,14,2,438
88720,14,3,110
88721,26,126,2264
88722,3,0,1
88723,24,2,111
88724,14,126,2264
88725,14,3,112
88726,14,126,2264
88727,1,2,290
88728,15,92,1393
88729,10,126,2264
2539855,24,126,2264
1383636,11,1,5
91366,14,0,3
89235,15,3,2
89234,15,2,113
89237,29,12,114
89236,12,2,13
89231,10,2,115
89230,14,0,50
89233,17,13,35
89232,24,126,2264
89239,6,3,294
89238,12,2,8
96439,14,0,12
96438,8,126,2264
96433,14,0,116
96432,25,2,117
96431,10,2,30
96430,12,0,3
96437,24,2,9
96436,24,2,9
96435,12,0,22
96434,14,7,118
94361,14,2,721
94360,10,0,22
94363,24,2,102
94362,14,0,1
94365,14,2,348
94364,18,13,468
94367,12,7,5
94366,11,2,13
94369,12,2,50
