,mod,wt,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000
145771,2,327,9,47,654,7,30,104
145772,2,2,9,14,746,7,20,509
145773,1,2,9,27,859,7,75,205
145774,1,5,7,0,681,4,36,144
145775,1,2,7,66,310,0,20,393
145776,1,5,7,44,713,4,5,291
101942,0,661,9,26,772,1,22,423
145778,0,10,3,88,887,2,0,732
101941,2,1483,4,36,674,6,77,78
101701,2,1,7,0,950,4,36,605
101700,126,2264,3,88,871,2,18,929
101703,0,12,7,11,513,4,34,910
101702,2,7,4,83,318,6,90,253
101705,2,7,2,27,98,4,75,122
101704,0,52,8,63,107,0,50,217
101707,0,35,4,36,674,6,77,297
101706,0,3,5,39,547,7,37,474
101709,0,12,9,73,673,4,21,657
101708,2,79,9,14,77,7,30,986
101946,0,12,9,71,350,0,95,786
87901,126,2264,7,93,80,1,61,105
87900,2,336,4,57,389,6,92,808
87903,2,13,9,48,303,4,81,827
87902,126,2264,7,21,991,9,94,184
109271,1,5,9,73,982,2,21,824
109270,1,2,0,73,982,2,21,824
87907,2,613,9,90,874,6,95,52
109272,2,1,9,39,183,7,37,857
87909,0,52,7,26,841,1,22,402
87908,2,7,3,14,809,2,72,623
101944,2,128,1,56,763,8,26,480
107286,2,1,9,47,476,1,30,395
107287,1,2,9,47,785,4,30,594
107284,126,2264,3,88,982,2,0,227
107285,2,13,9,14,982,2,39,227
92741,2,853,2,85,114,7,31,497
92740,2,18,4,36,205,6,77,539
92743,0,3,7,74,505,1,92,336
92742,2,358,7,74,561,8,20,947
92749,2,91,7,18,758,1,16,603
92748,0,35,7,6,122,2,57,442
107288,2,5,7,14,506,4,20,917
1379993,1,5,9,14,2,7,17,526
85678,0,1918,3,98,446,2,19,489
85671,1,1,7,74,37,7,20,18
85670,2,1477,1,56,746,8,13,33
85673,2,1,9,41,946,7,10,556
85672,1,1927,9,53,672,1,60,640
85675,0,548,7,74,942,2,0,774
85674,0,3,1,56,511,8,48,285
85677,0,1928,9,47,654,2,30,104
85676,2,215,5,37,27,7,45,362
87299,8,96,2,69,664,4,31,269
87298,0,97,4,36,367,6,98,895
87291,0,98,3,6,842,2,24,181
87290,126,2264,9,14,37,7,20,509
87293,126,2264,9,47,868,6,30,523
87292,126,2264,5,37,134,7,45,362
87295,126,2264,5,39,960,7,37,537
87294,9,99,9,14,205,7,20,986
87297,2,100,7,60,225,7,65,112
87296,0,101,9,47,228,7,30,6
1087669,1,1,7,74,559,1,49,345
1087668,1,5,9,42,712,7,20,477
1087667,1,1,9,47,690,0,30,6
1087666,1,2,4,12,630,6,40,700
1087665,0,52,9,47,654,7,30,104
1087664,2,0,9,14,763,8,59,17
1087663,0,1,7,66,382,1,29,943
1087662,2,7,5,37,606,7,45,111
1087660,0,12,7,42,194,4,23,977
108849,1,1,7,11,54,4,34,827
108848,1,5,9,5,685,8,30,903
89949,2,102,9,18,837,6,16,670
89948,0,103,7,26,554,1,22,268
89943,2,1249,9,47,746,2,30,903
89942,126,2264,4,36,791,0,77,381
89941,2,141,1,43,663,6,49,345
89940,0,405,9,73,673,9,21,657
89947,126,2264,4,52,286,6,43,14
89946,0,12,8,44,275,4,5,751
108847,1,59,4,52,286,6,98,14
108846,1,2,5,45,984,7,54,505
87127,2,104,9,89,621,7,87,96
87126,126,2264,7,74,928,4,23,372
87125,126,2264,9,10,541,8,12,103
87124,126,2264,9,47,920,4,30,619
87123,2,7,9,14,673,9,20,17
87122,126,2264,7,73,673,9,21,657
87121,2,9,4,72,283,6,98,6
87120,2,7,9,47,654,7,30,509
87129,3,28,9,6,310,2,24,382
87128,0,15,4,36,598,7,2,524
86656,126,2264,4,67,754,6,2,766
86657,2,428,7,18,448,1,16,233
86654,2,1,9,14,37,7,20,509
86655,3,429,9,47,314,1,30,433
86652,2,106,3,82,622,2,0,844
86653,2,107,3,58,938,2,42,282
86650,2,90,7,48,949,4,81,827
86651,10,108,9,47,920,7,30,619
95960,2,260,7,42,387,7,81,420
