,mod,wt,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000
104464,2,189,1,99,490,8,51,430
99368,2,76,2,69,381,4,31,376
118230,1,1,3,88,847,2,0,646
98062,126,2264,2,5,539,7,31,2
98063,0,22,2,16,682,4,96,914
98060,2,1,1,43,948,8,44,20
98061,2,7,7,7,747,1,3,132
98066,0,3,3,98,768,2,42,49
98067,1,5,2,16,274,4,96,914
98064,2,139,7,80,913,4,36,430
98065,2,13,1,20,901,8,70,126
98068,2,427,7,54,270,1,16,299
98069,1,2,3,13,760,2,69,845
93908,0,12,7,7,747,4,3,886
93909,0,233,4,72,699,0,85,172
93904,3,52,7,57,782,1,92,765
93905,0,1,4,72,490,6,85,430
93906,1,3,3,35,319,2,53,26
93907,2,13,3,35,319,2,53,26
93900,2,260,8,38,177,0,63,900
93901,2,1619,7,74,706,4,3,992
93902,0,50,3,88,871,2,18,354
93903,2,239,7,59,148,1,47,536
105739,1,1,7,74,168,1,9,675
105730,0,1,1,20,766,8,70,2
105731,1,83,1,20,767,8,44,533
105732,0,52,7,20,709,8,44,278
97262,2,40,1,20,709,8,44,278
105735,126,2264,3,58,808,2,42,551
107463,99,1219,2,16,247,4,96,547
1266886,126,2264,4,72,557,6,58,849
99088,1,12,2,69,510,4,31,269
107466,0,10,2,55,774,4,80,668
107467,1,5,4,67,125,7,2,366
107464,1,1,1,99,110,8,55,807
107465,1,83,7,59,494,1,47,508
99083,0,3,7,28,916,1,97,768
99082,0,22,3,35,319,2,39,510
107468,0,10,2,16,682,4,96,914
99080,1,2,7,74,706,1,23,472
99087,2,1,1,56,970,8,44,448
99086,2,213,7,59,446,2,19,470
99085,2,213,7,59,494,2,47,273
99084,2,623,1,56,952,8,13,383
112338,0,1621,7,24,730,4,73,945
112339,1,3,1,56,700,8,13,615
112335,1,1622,1,99,249,8,51,415
112336,2,13,3,58,188,2,42,16
112337,2,1,1,20,767,8,70,533
112330,1,5,7,74,185,1,23,776
112331,1,5,3,98,994,2,42,436
112332,1,2,1,56,497,8,13,746
98938,2,76,8,38,629,0,63,656
98939,2,9,2,5,819,4,31,601
98934,0,3,2,81,415,4,74,81
98935,2,13,2,81,458,4,74,592
98936,2,13,1,7,364,1,3,180
98937,0,69,1,74,647,8,44,920
98930,2,14,2,16,274,4,96,914
98931,2,3,1,43,948,8,76,20
98932,2,9,7,43,948,8,23,20
98933,0,69,1,99,110,8,13,130
108027,1,5,7,7,697,1,3,365
108026,1,2,1,43,145,4,29,128
108025,1,1,2,16,682,4,96,914
108024,1,5,2,16,274,4,96,914
108023,1,2,3,59,883,1,0,478
108029,1,5,7,18,703,1,16,908
108028,7,2,1,56,721,1,13,615
112590,1,2,7,43,672,8,76,20
112591,1,1,7,74,241,1,9,675
112592,126,2264,7,7,559,1,49,345
112593,1,5,1,56,278,8,26,491
112594,1,5,7,1,164,1,3,292
112595,1,83,7,57,798,1,92,984
112596,1,2,1,43,91,8,48,843
112597,2,0,3,98,602,2,42,85
112598,2,0,1,56,96,8,13,716
112599,2,30,7,0,839,1,36,59
92675,2,53,3,88,195,2,18,580
100185,0,35,7,7,494,1,3,110
100186,0,1,3,59,241,2,9,275
102173,2,7,1,43,948,8,76,976
102172,1,5,1,5,766,8,44,2
102171,2,9,3,88,994,2,18,436
102170,2,13,7,43,948,8,76,20
102177,126,2264,8,68,958,0,93,321
102176,2,1623,1,20,240,8,44,272
102175,1,3,7,57,836,1,92,239
102174,0,3,1,1,497,0,85,656
100180,2,1,1,99,502,1,13,797
100181,1,3,7,28,213,1,16,74
92673,0,22,1,43,257,8,48,723
92672,2,42,1,74,521,8,23,316
92679,0,233,2,16,682,4,96,914
106413,0,1,7,0,422,8,36,879
106414,2,68,7,7,403,1,3,994
106415,2,30,1,56,497,8,13,656
106416,2,7,1,22,190,0,58,656
106417,1,1,7,66,546,4,29,189
1093774,126,2264,7,66,247,1,29,884
109088,1,5,7,48,805,4,81,789
109089,1,5,7,7,180,7,3,680
109086,1,5,1,68,102,1,93,638
109087,1,5,7,86,794,0,81,199
109084,1,5,1,56,604,8,13,817
109085,1,5,7,7,747,4,3,988
109082,0,346,2,16,510,4,96,914
109083,1,5,7,98,32,2,23,49
109080,1,5,4,36,692,6,77,948
100156,0,1018,4,36,692,6,77,948
100154,2,159,4,36,929,6,77,948
100153,2,9,7,57,935,1,92,5
100152,2,1624,7,74,185,1,92,306
100151,2,1625,1,57,126,1,92,908
100150,2,2,8,68,958,0,93,902
100159,126,2264,8,68,958,0,93,321
100158,0,22,7,68,186,1,93,325
92628,2,1083,8,82,275,0,87,137
92629,3,1459,8,82,684,0,87,759
92622,15,277,8,68,958,0,93,902
92623,7,62,1,59,828,8,47,638
92620,0,12,1,5,793,4,29,529
92621,2,13,7,66,661,8,29,641
92626,2,86,1,56,577,8,13,720
92627,2,9,3,58,362,2,42,282
92624,2,465,7,0,426,4,36,454
92625,2,382,8,63,798,6,92,60
109647,0,3,4,83,588,6,85,948
88540,0,1626,7,54,320,1,97,299
88541,0,3,2,16,75,4,96,242
88542,57,594,7,93,487,4,61,846
109643,1,2,2,69,268,4,31,194
109648,1,2,4,54,320,6,98,366
109649,1,5,8,22,364,0,60,180
86889,126,2264,1,20,700,8,70,309
86888,2,955,7,35,319,2,53,26
86887,2,128,1,99,904,0,55,607
86886,3,170,1,80,900,4,36,941
86885,0,3,7,7,164,8,3,364
86884,126,2264,1,1,40,1,13,118
86883,83,1016,2,16,682,4,31,407
86882,126,2264,4,72,856,4,36,624
86881,2,154,1,56,497,8,13,656
86880,2,7,8,38,643,0,63,492
93575,2,439,7,0,54,4,36,817
93574,0,892,2,81,415,4,74,81
93577,2,13,3,59,164,1,47,489
93576,0,131,3,88,847,2,0,646
93571,0,12,7,54,270,1,23,299
93570,0,3,7,54,270,1,81,299
93573,126,2264,4,36,557,6,98,849
93572,0,1,1,43,403,8,76,413
93579,2,53,3,58,88,2,57,134
101289,2,44,3,59,494,2,47,273
98545,2,259,7,44,713,4,5,751
98544,2,104,8,68,958,0,93,902
98547,51,305,1,20,709,8,44,533
98546,2,7,4,72,218,6,85,355
98541,0,13,2,69,478,4,31,747
98540,2,13,1,99,221,8,64,525
98543,0,22,7,11,748,4,34,913
98542,1,3,7,48,563,4,81,535
98549,0,22,7,0,913,4,36,987
98548,0,35,1,20,404,1,70,126
85280,126,2264,1,56,497,8,13,746
85281,126,2264,2,69,510,4,96,914
104102,2,14,7,48,949,1,81,827
85283,1,1,1,56,138,8,13,448
104104,0,36,8,93,80,0,61,35
104105,2,30,8,68,958,0,7,902
104106,0,35,7,1,224,0,19,168
85287,126,2264,1,1,192,1,13,632
104108,1,2,4,72,857,6,98,366
104109,0,1,7,18,33,1,16,74
108851,1,5,1,56,359,8,13,624
95216,2,13,7,48,393,4,81,827
95217,126,2264,7,64,276,4,59,626
95214,0,3,7,74,185,1,23,306
95215,2,40,7,0,502,1,36,797
95212,7,5,7,57,935,1,92,5
95213,3,28,1,28,881,1,46,262
92247,0,233,1,56,110,8,13,130
86717,0,3,7,44,161,4,5,252
86716,2,1416,1,97,184,8,13,214
86715,64,1627,1,43,948,8,48,976
2528498,2,7,7,66,546,4,29,189
86713,33,189,7,1,102,1,23,767
86712,2,7,1,20,240,8,44,272
86711,0,44,1,43,618,8,76,644
86710,0,1628,1,7,364,1,97,180
86719,0,52,1,20,970,8,70,126
86718,24,860,1,43,257,8,48,723
2513953,2,13,8,20,767,8,70,533
2513954,2,1,7,66,359,4,29,311
96338,0,3,1,64,429,8,44,226
96339,0,3,7,44,36,4,5,291
89138,2,1629,4,75,589,0,85,187
89139,2,9,8,75,589,0,85,187
89132,126,2264,8,22,289,0,60,837
89133,126,2264,2,5,196,4,31,931
89130,2,1630,2,69,987,8,31,668
89131,2,1,2,81,415,4,74,81
89136,2,802,7,0,87,1,81,648
89137,0,520,7,44,139,4,5,701
89134,126,2264,7,48,949,4,81,827
89135,2,1043,1,43,948,1,76,20
88841,110,1435,1,43,91,8,76,360
88840,2,1,4,83,55,6,90,253
88843,126,2264,8,22,902,0,60,822
88842,2,2218,3,98,397,2,42,49
88845,3,1,7,54,727,1,29,385
88844,2,1583,7,86,794,1,23,199
103349,1,1,2,5,858,4,31,931
103348,1,5,7,59,494,2,47,273
103347,1,5,7,0,764,4,36,473
88848,0,158,7,48,543,4,81,394
103345,0,9,4,18,213,1,16,21
103344,0,3,8,63,576,0,50,538
103343,0,1,7,48,393,4,81,827
103342,0,3,1,92,278,8,26,491
103341,0,1,7,7,697,8,3,365
103340,2,13,2,69,282,4,31,668
2790213,1,1,4,67,922,6,2,335
2789927,1,2,4,8,922,6,89,743
2789928,1,83,2,69,197,4,31,747
88265,2,63,7,66,546,4,29,189
88264,2,13,8,99,904,0,55,608
88267,126,2264,2,66,546,4,29,189
88266,2,335,7,42,102,1,0,767
88261,126,2264,7,11,742,4,34,683
88260,126,2264,7,74,168,1,3,472
88263,126,2264,7,48,949,4,81,827
88262,2,9,8,82,310,0,87,659
88269,2,262,7,68,41,1,93,907
88268,3,186,2,81,475,4,74,476
97063,1,12,1,56,970,8,48,386
97062,1,1,4,71,718,6,95,628
97061,0,1002,1,56,96,8,76,413
97060,0,10,2,69,197,4,31,122
97067,1,2,7,0,950,4,36,605
97066,2,80,7,11,483,8,34,339
97065,0,352,3,58,808,2,42,551
97064,0,3,1,56,42,7,51,146
95511,2,139,1,31,618,8,76,309
95510,2,5,7,48,479,4,81,699
95513,2,1,7,74,185,1,3,472
90599,8,313,7,74,185,1,23,292
95515,126,2264,1,43,618,8,76,644
95514,23,275,2,81,838,4,74,81
95517,2,19,7,7,224,1,3,960
95516,0,35,7,7,153,1,3,364
95519,0,12,7,44,139,4,5,909
95518,126,2264,4,89,605,0,77,576
90590,2,639,8,89,605,0,55,576
90591,126,2264,7,68,186,1,93,110
90596,2,1631,7,44,139,4,34,701
90597,2,215,2,69,750,4,31,495
90594,0,1,7,74,706,1,23,472
90595,2,396,7,48,393,4,81,827
2516298,0,3,1,68,41,8,93,907
94049,3,50,7,18,394,1,16,304
90040,1,2,1,20,359,8,29,311
90041,1,5,7,59,148,1,47,536
90042,1,2,4,83,588,6,90,27
90043,1,2,7,54,164,1,47,73
90044,0,12,4,72,699,0,85,355
90045,0,12,7,53,214,4,60,392
90046,0,12,2,81,475,4,74,476
90047,2,187,7,7,224,1,19,168
90048,2,853,7,54,320,1,55,299
90049,2,42,7,54,389,1,92,808
94047,2,1887,7,43,948,8,23,20
112868,1,2,7,18,33,1,16,437
112869,2,1,3,58,16,2,42,551
112860,2,1,7,57,301,1,92,663
112861,1,2,7,53,861,8,23,713
112862,2,1,3,59,116,1,47,73
112863,2,1,7,74,590,2,39,227
112864,0,1,6,64,10,8,59,805
112865,2,1,1,43,364,8,76,590
112866,2,2,4,67,922,6,2,335
112867,2,1,7,66,950,4,29,605
94749,3,2,8,2,499,0,50,562
94748,2,7,7,66,661,8,29,884
94743,0,9,7,66,992,1,29,189
94742,0,156,7,74,874,4,23,472
94741,0,105,7,66,438,4,29,695
94740,3,776,3,13,86,2,69,354
94747,2,1,3,13,86,2,69,354
94746,0,1,7,1,359,8,29,311
94745,2,488,7,57,127,1,23,753
94744,0,655,1,31,296,8,76,123
89680,3,284,2,69,819,4,31,269
108501,1,12,7,74,944,8,44,947
89682,3,981,2,81,458,4,74,298
1087730,0,156,3,88,638,2,0,817
1087733,2,128,2,69,478,4,31,747
1087734,2,13,1,20,901,1,70,658
1087737,1,1,3,88,195,2,18,580
1087739,1,2,1,7,412,8,3,364
1087738,2,154,2,69,943,4,31,495
1279722,2,1633,2,43,820,4,31,917
89859,2,313,7,59,911,4,9,597
89858,1,5,1,56,604,8,13,817
89851,2,3,1,31,281,4,3,123
89850,3,387,7,68,186,1,93,110
89853,0,22,1,56,110,8,13,130
89852,0,867,3,58,461,2,9,599
89855,2,129,7,59,706,1,19,578
89854,2,100,7,68,1,1,93,110
89857,126,2264,3,88,734,2,18,532
89856,0,233,3,98,602,2,42,85
108608,1,5,4,72,388,6,98,478
97809,0,22,1,66,359,8,29,311
97808,0,47,4,83,55,6,90,253
97801,0,69,8,82,269,1,7,528
97800,0,3,7,74,664,4,23,472
97803,126,2264,7,18,47,1,16,94
97802,0,3,1,56,314,1,51,809
97805,0,3,1,53,553,1,60,180
97804,2,1115,4,72,699,0,85,355
97807,0,1,1,56,497,8,85,656
97806,0,12,2,81,57,4,74,298
108602,1,83,1,31,296,8,13,123
89938,3,1209,7,66,950,4,29,605
117993,0,1,2,69,197,4,31,376
117992,2,11,2,93,831,4,61,985
117991,2,44,4,83,318,6,90,253
117990,2,1,8,22,190,0,58,722
117997,0,12,7,1,389,1,92,967
117996,1,1,7,1,102,1,70,767
117995,48,580,1,20,240,8,44,272
117994,2,1,2,81,827,4,74,592
117999,48,580,2,81,827,4,74,592
117998,2,1,2,81,777,4,74,592
106845,1,1,2,81,263,4,74,681
111740,96,1,2,81,777,4,23,917
111741,1,2,7,66,661,8,29,641
111742,1,1,7,28,170,1,97,67
111743,0,1,1,20,604,8,44,817
111744,1,5,1,72,490,8,51,721
111745,1,2,1,72,490,6,51,721
111746,1,1,3,88,195,2,18,580
111747,1,1,8,89,588,0,77,911
111748,1,1,7,59,978,2,19,578
111749,2,1,1,91,944,8,44,647
108604,1,2,1,31,608,8,44,226
104252,0,21,1,99,953,8,55,716
91701,3,1504,7,0,950,4,36,605
92352,0,1528,3,59,148,2,47,536
92353,2,265,2,81,664,4,74,592
92350,0,22,2,81,475,4,74,476
92351,66,441,3,98,768,2,42,49
92356,45,1635,2,81,458,4,74,681
92357,126,2264,1,53,553,8,60,180
92354,0,3,1,56,96,8,48,386
92355,0,1,7,4,396,1,22,888
104254,0,10,2,81,458,4,74,681
92358,2,130,2,81,57,4,74,298
92359,2,475,7,74,153,4,23,472
104255,2,259,2,81,664,4,74,592
93115,1,2,1,20,948,8,48,386
93114,1,2,7,66,392,2,39,777
2392217,114,1636,7,74,706,7,23,472
98387,0,135,1,43,521,8,44,316
98386,2,0,7,11,97,4,34,751
98385,2,13,7,1,192,1,92,967
98384,0,36,7,57,301,1,92,663
98383,2,1,2,5,766,4,23,2
98382,0,105,1,0,502,1,36,797
98381,2,7,7,48,145,4,3,128
98380,2,516,1,43,910,8,48,976
1395207,2,1637,3,98,994,2,0,599
98389,0,22,1,43,709,8,44,278
98388,0,12,7,44,977,4,5,252
92976,126,2264,7,74,83,8,23,7
92977,2,9,7,74,83,8,23,7
92974,2,141,7,44,36,4,5,751
92975,0,22,2,69,750,4,31,173
92972,42,728,2,5,750,4,29,189
92973,2,139,1,56,249,8,51,415
92970,2,90,4,59,883,1,47,899
92971,2,290,7,93,80,1,61,945
92978,2,475,8,2,499,0,50,562
92979,0,97,1,53,672,1,60,383
96073,7,5,4,46,466,6,23,220
96072,2,398,7,74,928,4,23,18
96071,2,427,8,22,64,0,60,822
96070,2,7,3,58,461,2,9,599
96077,0,956,7,11,139,4,34,701
93008,0,1,7,22,64,1,60,640
96075,0,52,7,7,412,1,3,364
96074,126,2264,7,11,742,4,34,701
104346,2,67,7,7,145,1,3,128
104347,3,2,7,18,448,1,16,233
93007,2,1499,7,68,60,1,93,255
93006,2,414,7,87,796,6,23,766
93001,126,2264,7,60,28,7,10,186
93000,2,9,2,69,819,4,31,820
104340,1,1,2,5,819,4,31,820
104341,0,1,1,7,419,8,3,935
801500,1,5,3,98,397,2,42,49
801501,1,3,2,81,827,4,74,592
106278,1,2,7,74,647,8,44,920
106279,1,2,1,43,910,8,76,843
106270,2,1,3,59,148,2,47,273
106271,0,74,1,56,433,8,48,370
106272,2,1,1,20,83,1,70,653
106273,1,2,7,74,185,1,23,992
106274,0,1,1,56,607,8,13,118
106275,1,12,3,35,319,2,39,510
106276,31,1,1,99,721,8,51,615
106277,1,2,2,81,57,4,74,298
104698,2,68,7,48,949,2,81,776
104699,0,12,7,59,148,1,47,536
1319968,126,2264,7,44,483,2,5,339
104690,1,5,7,74,463,4,23,164
104691,0,1,8,53,214,6,60,153
104692,2,631,8,36,636,0,2,469
104693,2,1,1,20,137,1,70,658
104694,2,1,1,20,153,8,44,647
104695,1,1,7,28,284,1,97,979
104696,0,3,1,43,240,8,44,272
104697,1,1,7,74,412,8,23,472
106182,1,5,7,80,829,4,36,270
106183,1,2,7,6,198,0,57,704
106180,1,2,3,66,359,1,29,311
106181,1,5,7,22,3,8,60,640
106186,0,12,7,53,918,8,62,685
106187,1,83,7,6,370,2,57,707
105561,2,664,1,87,971,8,13,409
106188,1,5,1,22,902,8,60,492
105562,2,44,1,31,296,8,76,123
105565,2,30,7,68,997,1,93,548
105566,1,2,1,99,952,1,55,385
102692,126,2264,1,5,793,8,13,529
102693,2,13,8,22,383,0,85,172
102690,0,12,1,99,904,8,51,146
102691,2,44,2,6,308,7,57,921
102696,2,1,8,89,172,0,7,654
102697,2,7,2,16,682,4,96,407
102694,1,12,7,43,948,8,23,20
102695,2,9,1,20,404,1,70,658
102698,0,283,7,24,730,0,73,75
102699,3,2,7,74,94,1,17,472
99168,0,3,7,18,448,1,16,74
99169,2,1483,8,38,177,0,63,900
99164,2,189,2,5,196,4,31,931
99165,0,12,1,56,96,1,46,413
99166,2,1,7,29,528,8,55,754
99167,2,30,1,56,514,8,48,266
99160,1,5,1,43,91,8,48,976
99161,1,1,7,64,736,8,59,842
99162,1,1,8,38,19,0,63,418
99163,2,9,4,72,579,6,98,27
1520678,1,540,4,67,588,6,77,366
102036,2,67,7,60,28,4,10,186
102037,0,1,1,43,497,8,85,656
102034,2,292,8,22,643,0,58,492
102035,0,21,2,74,664,4,23,592
102032,1,1,1,99,721,8,51,146
102033,0,1,1,99,604,8,13,817
102030,2,69,2,5,714,8,31,601
102031,0,35,1,31,715,8,97,383
102038,0,12,1,18,394,1,16,304
102039,2,13,4,72,791,6,85,462
107633,1,5,1,99,725,8,51,146
107631,1,5,7,74,185,1,23,776
107630,1,5,2,81,475,4,74,476
107637,2,1,1,66,247,8,29,884
107636,1,2,1,56,532,8,48,775
107635,0,36,1,66,359,4,29,311
107634,2,30,1,66,359,8,29,311
107638,1,5,1,66,359,8,29,311
1866189,0,12,7,53,214,4,60,153
108782,1,5,7,18,733,1,16,277
108783,0,1,7,54,270,1,23,299
108780,0,1,1,43,364,8,76,180
108781,1,5,3,57,356,2,0,306
108786,1,1,7,4,592,1,93,971
108784,0,10,7,6,155,2,57,969
108785,1,5,2,6,308,7,57,322
858289,2,1,1,99,952,4,13,383
858288,1,83,4,36,501,7,98,905
91098,2,13,7,64,975,8,59,558
91099,2,338,7,7,487,1,3,846
91094,2,13,3,98,768,2,42,731
91095,2,469,8,68,958,0,93,321
91096,2,328,7,1,128,1,49,787
91097,0,1,7,44,139,4,5,701
91090,2,154,1,99,419,8,13,130
91091,2,154,1,99,419,8,55,935
91092,2,139,7,44,139,4,5,909
91093,2,42,7,74,706,1,23,472
89424,2,9,3,59,291,2,47,273
103637,3,352,1,1,40,8,29,118
103636,0,1,2,69,820,4,31,917
103635,0,346,7,1,186,8,23,110
103634,0,3,3,35,302,4,53,866
103633,0,1,7,1,559,1,49,345
103632,1,5,3,98,392,2,39,777
103631,2,13,7,0,421,4,36,197
103630,0,21,7,18,47,1,16,94
103639,0,12,7,72,736,4,36,624
103638,0,12,3,58,924,2,42,551
91548,0,116,1,43,910,8,48,843
91549,0,35,7,11,742,4,34,701
91542,3,752,4,72,490,6,40,721
91540,126,2264,7,46,427,4,36,220
91541,126,2264,2,81,263,4,74,681
91546,2,42,7,11,97,4,34,683
91547,0,3,8,89,621,0,87,24
91544,0,35,8,20,901,0,70,653
91545,0,3,2,69,943,4,31,495
101671,2,30,1,20,192,1,70,967
101673,98,2,1,66,682,4,29,793
101672,1,2,1,20,766,4,70,2
101675,0,1264,1,20,767,8,70,906
101674,0,21,3,59,83,2,47,489
101677,0,1,1,99,647,8,13,226
101676,0,11,1,43,647,8,44,226
101679,3,1049,7,93,80,1,61,35
101678,0,52,2,81,458,4,74,592
109125,1,5,7,66,336,8,23,283
109124,2,7,1,31,608,8,44,226
109127,1,5,7,49,100,4,23,916
109126,126,2264,7,28,98,1,97,437
109121,1,2,2,93,487,4,61,846
109120,1,5,7,81,487,4,74,846
109123,2,68,4,67,501,6,98,366
109122,0,10,8,22,881,1,46,262
109129,2,68,7,0,54,4,54,817
109128,1,5,7,48,949,4,81,827
92015,0,7,7,74,28,4,10,3
92014,0,706,7,43,948,1,76,20
92017,126,2264,8,39,574,7,37,29
92016,0,1,1,31,296,8,76,123
92011,2,147,7,24,51,1,73,141
92010,0,401,7,66,506,1,29,994
92013,2,7,7,74,224,2,23,960
92012,2,1555,1,74,506,8,23,635
92019,2,240,7,98,153,2,23,49
92018,2,159,7,68,186,1,93,110
101095,0,3,7,74,706,1,23,472
101094,0,35,8,28,213,1,97,385
101097,1,5,7,59,241,2,9,275
101096,0,13,8,68,39,0,93,321
101091,2,44,2,81,664,4,23,592
101090,2,141,7,60,225,7,65,665
101093,2,7,1,43,213,8,76,21
101092,1,3,8,89,147,0,87,24
101098,1,5,2,81,539,4,74,2
111982,1,5,1,43,635,8,76,676
111983,2,1,3,71,388,2,9,210
111988,0,52,7,74,506,8,23,372
109553,2,1,7,93,80,4,61,945
109555,0,167,2,81,827,4,31,592
85749,49,489,4,99,922,6,55,335
85748,126,2264,1,31,281,8,76,123
85741,0,1,7,43,403,8,76,644
85740,126,2264,7,48,405,7,81,800
85743,2,1640,1,56,721,8,51,383
85742,2,3,7,20,766,8,70,2
85745,126,2264,1,4,514,1,22,266
85744,126,2264,3,6,877,2,24,831
85747,2,1641,7,54,320,1,55,299
85746,2,529,7,74,706,1,23,472
106704,0,10,1,54,270,1,55,299
146560,126,2264,7,66,247,8,29,884
106706,17,2,1,31,296,8,76,123
87677,0,1643,7,7,412,4,3,364
87676,2,13,7,28,696,1,97,67
87675,126,2264,7,86,833,1,47,199
87674,2,1581,7,53,839,1,60,616
87673,126,2264,7,48,393,4,81,827
87672,126,2264,4,67,922,6,2,366
87671,0,1,7,0,54,4,23,605
87670,2,265,7,4,830,1,22,971
87679,126,2264,1,20,901,8,70,126
87678,2,1644,7,53,839,8,60,616
218665,0,1,7,53,839,8,3,180
218667,1,5,1,1,192,8,51,967
218666,2,1,3,59,883,1,47,899
2620868,126,2264,3,88,195,2,18,580
106702,97,1198,7,74,847,2,23,372
88229,126,2264,3,88,188,2,19,16
88228,2,747,2,69,603,4,31,692
86106,1,1,1,66,661,8,29,641
86107,126,2264,7,66,546,8,29,189
86104,2,40,7,66,661,8,29,641
86105,2,102,7,66,661,8,29,641
86102,126,2264,7,48,419,1,3,935
97029,2,40,7,46,439,4,36,39
86100,2,3,3,6,722,2,57,222
86101,2,7,7,93,80,4,61,75
95890,0,12,1,44,977,8,5,386
95891,2,1,7,43,948,8,76,20
95892,0,22,1,43,719,8,48,976
84972,126,2264,7,74,605,6,23,654
95894,1,1,7,93,80,1,61,945
95895,0,12,2,5,268,4,31,194
86108,0,7,1,56,497,8,13,746
86109,77,1646,1,64,676,8,59,842
88221,2,1762,7,48,54,4,81,800
88220,2,1351,1,15,951,8,52,403
88223,2,1647,8,89,605,0,77,911
88650,2,86,4,89,605,6,7,575
88651,126,2264,1,99,518,7,51,146
88652,126,2264,3,88,195,2,18,580
88653,3,502,8,38,177,0,63,56
88654,2,1648,4,59,883,1,47,899
88655,126,2264,7,74,387,4,23,420
88656,3,1601,2,81,387,4,74,420
88657,2,935,1,56,763,8,13,448
88658,2,51,7,54,992,4,29,189
88659,126,2264,7,48,949,4,81,800
145221,1,5,7,93,831,4,61,870
84978,2,9,8,89,605,6,23,576
127897,1,2,7,74,820,4,23,917
97020,0,52,3,98,768,2,42,85
96279,2,13,2,16,784,4,96,407
96278,2,20,1,92,278,8,26,374
96275,0,12,8,22,64,1,60,640
96274,3,567,7,57,356,2,0,306
96277,1,2,1,43,952,8,76,383
96276,1,3,1,15,971,8,13,720
96271,3,424,3,98,397,2,42,49
96270,1,1,7,44,713,4,5,751
96273,0,131,7,7,168,1,3,886
96272,0,3,7,1,192,1,92,967
89305,2,9,2,81,57,4,74,298
89304,126,2264,3,98,768,2,42,731
2421297,0,2,7,1,64,1,60,640
89306,126,2264,4,59,883,1,47,899
89301,2,51,8,68,958,0,93,321
89300,0,3,7,0,273,2,36,506
89303,2,9,7,80,736,4,36,842
89302,2,51,7,0,764,4,36,473
89309,1,5,1,99,482,8,55,634
89308,0,1,1,99,721,8,51,146
97638,0,3,1,31,281,8,76,123
97639,0,36,1,54,506,1,76,994
97632,2,76,7,65,121,4,23,261
97633,2,50,7,93,80,1,61,105
97630,2,1651,2,66,950,4,29,605
97636,0,3,7,66,224,4,29,189
97637,0,36,2,69,510,4,31,269
97634,2,3,1,99,110,8,55,807
97635,1,5,7,48,697,1,55,365
90941,0,105,1,56,608,8,44,226
90940,126,2264,2,69,478,4,31,747
90943,2,13,7,51,905,6,84,238
90942,3,28,2,81,263,4,74,173
90945,2,9,7,66,546,4,29,189
90944,2,1035,1,56,96,8,13,716
90947,0,12,1,43,952,8,76,383
90946,2,7,1,99,952,8,55,365
90949,0,3,1,56,96,8,13,716
90948,0,3,1,22,10,8,60,492
106543,2,68,1,68,186,0,93,325
2808294,1,1,1,43,910,8,48,976
2808291,1,1,8,53,672,1,3,364
2808292,1,5,4,72,214,4,98,153
2808293,2,1,7,1,83,1,97,292
118237,1,2,1,43,96,8,76,413
118236,1,1,7,4,592,1,16,94
118235,1,2,2,27,98,4,75,122
118234,1,2,1,31,296,8,44,448
118233,2,2,7,74,505,1,23,306
118232,1,1,2,81,664,4,74,298
118231,2,2,3,88,924,2,19,229
99369,0,3,1,56,766,8,13,316
99366,0,11,2,81,57,4,74,298
99367,1,3,2,81,664,4,74,592
99364,2,9,2,81,827,4,74,592
99365,3,30,2,81,263,4,74,681
99362,1,1,1,99,247,8,13,884
99363,0,521,1,99,528,8,13,177
99360,2,40,7,68,41,1,93,907
99361,0,12,7,1,94,1,92,967
106546,1,2,2,81,539,4,74,2
90365,0,156,2,81,458,4,74,592
90364,8,96,7,68,745,1,93,508
90367,3,753,8,22,190,0,60,56
90366,2,1652,7,59,494,1,47,776
90361,126,2264,3,58,16,2,42,412
90360,2,35,8,82,684,0,87,137
90363,126,2264,2,74,664,4,31,592
90362,2,42,2,81,57,4,74,298
90369,2,289,7,28,284,1,97,979
90368,0,3,7,7,6,1,3,75
95700,1,2,7,18,394,1,16,304
95701,2,527,1,43,91,8,48,843
95702,126,2264,2,81,57,4,74,298
95703,0,12,1,4,232,1,22,888
95704,0,12,7,44,713,8,5,9
95705,2,731,3,58,695,2,42,412
95706,2,127,7,11,646,4,34,136
95707,0,3,7,0,913,4,36,987
95708,42,1653,7,59,82,1,47,514
95709,2,427,7,74,356,2,23,776
106547,1,5,7,1,224,1,23,168
93003,2,7,7,59,291,8,47,273
106544,1,2,7,68,186,1,93,548
91862,0,1,7,53,214,6,60,153
106545,1,2,7,93,80,1,61,35
91704,1,3,7,11,97,4,34,339
106846,0,12,2,69,526,4,31,758
91706,0,1,7,48,393,4,81,827
106844,2,30,7,74,950,4,36,605
91700,2,19,4,72,388,6,98,478
106842,126,2264,7,7,559,1,3,345
91702,0,2,7,74,706,1,23,472
106840,2,653,2,27,98,4,75,122
91708,0,3,2,69,526,4,31,758
91709,126,2264,7,7,364,1,95,180
106848,2,30,8,82,269,0,7,528
145448,1,5,1,48,952,1,55,979
145449,1,2,2,69,526,4,31,758
93702,2,1654,7,2,255,0,50,381
93703,2,90,1,43,456,7,76,644
93700,0,22,8,89,921,7,87,803
93701,2,14,8,82,42,0,87,20
93706,126,2264,7,59,291,1,47,273
93707,3,614,7,74,928,4,23,472
93704,2,44,7,74,950,4,23,605
