CLid,year,indegree,pagerank
2216108,1795,0,3.90254471803e-05
2217721,1798,0,3.90254471803e-05
2218550,1796,0,3.90254471803e-05
2219105,1796,0,3.90254471803e-05
2219671,1798,0,3.90254471803e-05
2220154,1796,0,3.90254471803e-05
2220732,1796,0,3.90254471803e-05
2223136,1799,0,3.90254471803e-05
2224213,1796,0,3.90254471803e-05
2224796,1798,0,3.90254471803e-05
2225264,1799,0,3.90254471803e-05
2225895,1797,0,3.90254471803e-05
2228460,1798,0,3.90254471803e-05
2229179,1795,0,3.90254471803e-05
2229888,1797,0,3.90254471803e-05
2230740,1795,0,3.90254471803e-05
2232416,1799,0,3.90254471803e-05
2273280,1796,0,3.90254471803e-05
2346358,1797,0,3.90254471803e-05
2347065,1796,0,3.90254471803e-05
2351149,1796,0,3.90254471803e-05
2351246,1883,0,3.90254471803e-05
2351778,1884,1,5.69390702582e-05
2351808,1884,3,8.55504317866e-05
2359388,1876,11,0.000111764100627
2381329,1888,2,5.68264838928e-05
2381512,1888,1,0.000260169647867
2381610,1786,0,3.90254471803e-05
2381613,1789,0,3.90254471803e-05
2381617,1788,0,3.90254471803e-05
2381620,1784,0,3.90254471803e-05
2381633,1782,0,3.90254471803e-05
2381641,1787,0,3.90254471803e-05
2381644,1788,0,3.90254471803e-05
2381647,1768,1,0.000260169647867
2381650,1788,0,3.90254471803e-05
2381653,1788,0,3.90254471803e-05
2381656,1788,0,3.90254471803e-05
2381659,1789,0,3.90254471803e-05
2381663,1789,0,3.90254471803e-05
2381666,1785,0,3.90254471803e-05
2381670,1788,0,3.90254471803e-05
2381683,1788,0,3.90254471803e-05
2381708,1786,0,3.90254471803e-05
2381711,1787,0,3.90254471803e-05
2381714,1782,0,3.90254471803e-05
2381715,1788,0,3.90254471803e-05
2381718,1782,0,3.90254471803e-05
2381723,1785,0,3.90254471803e-05
2381728,1768,1,0.000260169647867
2381730,1785,0,3.90254471803e-05
2381736,1789,0,3.90254471803e-05
2381741,1788,0,3.90254471803e-05
2381743,1784,0,3.90254471803e-05
2381750,1788,0,3.90254471803e-05
2381753,1773,0,3.90254471803e-05
2381756,1787,0,3.90254471803e-05
2381757,1785,0,3.90254471803e-05
2381760,1788,0,3.90254471803e-05
2381762,1781,0,3.90254471803e-05
2381764,1784,0,3.90254471803e-05
2381770,1789,0,3.90254471803e-05
2381772,1789,0,3.90254471803e-05
2381775,1788,0,3.90254471803e-05
2381777,1785,0,3.90254471803e-05
2381780,1788,0,3.90254471803e-05
2381785,1776,0,3.90254471803e-05
2381788,1764,0,3.90254471803e-05
2381791,1788,0,3.90254471803e-05
2381794,1780,0,3.90254471803e-05
2381795,1786,0,3.90254471803e-05
2381800,1788,0,3.90254471803e-05
2381802,1788,0,3.90254471803e-05
2381805,1785,0,3.90254471803e-05
2381807,1778,0,3.90254471803e-05
2381810,1789,0,3.90254471803e-05
2381816,1785,0,3.90254471803e-05
2381817,1778,0,3.90254471803e-05
2381820,1788,0,3.90254471803e-05
2388869,1900,1,4.36648360059e-05
2389766,1900,1,4.73852067796e-05
2390042,1900,3,7.86800903467e-05
2392165,1908,0,3.90254471803e-05
2392217,1908,0,3.90254471803e-05
2392353,1908,1,4.15480046026e-05
2402452,1893,4,5.02922265631e-05
2402836,1893,1,4.19095978414e-05
2409992,1886,6,0.000166915839903
2419163,1808,1,0.000260169647867
2421140,1903,0,3.90254471803e-05
2421163,1903,0,3.90254471803e-05
2421178,1903,1,7.21970772835e-05
2421240,1903,2,4.24519541276e-05
2421297,1903,0,3.90254471803e-05
2421309,1885,2,5.46620031957e-05
2421380,1885,7,0.000121765533826
2421404,1885,20,0.000501575102052
2425305,1885,3,5.25949307733e-05
2425321,1885,0,3.90254471803e-05
2425811,1885,17,0.000216521138679
2425813,1885,1,4.69037093298e-05
2429567,1806,1,0.000260169647867
2429586,1806,1,0.000260169647867
2432524,1806,1,0.000260169647867
2432719,1904,1,8.70626414587e-05
2444109,1895,9,0.00012059718969
2444251,1896,2,5.56418955879e-05
2445313,1895,1,6.78703429222e-05
2445368,1896,3,0.000138730918798
2445409,1895,2,6.50232401429e-05
2445445,1895,0,3.90254471803e-05
2445487,1895,4,8.33538030236e-05
2445660,1896,2,5.40462440434e-05
2463522,1908,0,3.90254471803e-05
2465894,1890,1,0.000260169647867
2466108,1889,1,6.59705693277e-05
2466244,1888,2,0.000379707053645
2466246,1889,0,3.90254471803e-05
2466252,1889,1,5.13887721027e-05
2468485,1885,1,4.44192081727e-05
2476314,1885,1,0.000260169647867
2477913,1885,1,4.87870481343e-05
2477934,1885,1,6.59705693278e-05
2481209,1901,4,7.41526614795e-05
2481231,1901,2,5.83755647405e-05
2481260,1902,0,3.90254471803e-05
2481285,1902,6,0.000110689958453
2481368,1901,1,4.36648360059e-05
2485322,1881,3,8.19871584832e-05
2485586,1882,3,9.44377405677e-05
2487561,1882,16,0.000150609152342
2488477,1882,3,0.000115513193325
2490030,1881,1,6.22551420838e-05
2490086,1813,1,8.70626414588e-05
2490089,1812,1,0.000260169647867
2490153,1812,1,0.000260169647867
2490201,1812,1,0.000260169647867
2490321,1812,1,8.70626414588e-05
2490480,1812,1,0.000260169647867
2490597,1852,1,0.000260169647867
2492577,1851,0,3.90254471803e-05
2498031,1890,1,4.44192081727e-05
2499096,1898,4,5.2680185574e-05
2499246,1897,2,5.16057391008e-05
2499327,1897,1,4.13697319932e-05
2499371,1897,14,0.000128936132562
2503036,1888,1,5.44541123446e-05
2503240,1888,2,5.66087919441e-05
2514248,1898,13,0.000193110803207
2514258,1899,1,4.64392213501e-05
2514271,1899,2,5.32810613942e-05
2516269,1902,4,6.4785683117e-05
2516298,1903,1,4.17556224974e-05
2516349,1902,6,5.6454364327e-05
2518125,1839,7,0.000107314307203
2518368,1815,1,8.70626414588e-05
2527082,1817,2,0.00011302869242
2533575,1892,1,6.09523558208e-05
2533674,1892,4,7.73890893197e-05
2539855,1892,0,3.90254471803e-05
2539865,1892,1,5.32912335692e-05
2542185,1895,1,5.44541123446e-05
2542575,1895,0,3.90254471803e-05
2568047,1896,0,3.90254471803e-05
2568155,1896,5,7.35923633943e-05
2568216,1896,2,5.54790041899e-05
