,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
376,pertenencia,system,ship,104441
377,al,labor,23,104441
378,et,accept,milk,104441
379,warrant,stock,rais,104441
380,fourth,major,today,104441
381,way,fund,new,104441
382,bail,return,devic,104441
383,vs,period,87,104441
384,prosecutor,insur,liquor,104441
385,inher,25,supp,104441
386,kentucki,march,8,104441
387,nonmemb,enact,corpu,104441
388,morgan,f,20,104441
389,servic,otherwis,maryland,104441
390,royalti,agenc,6,104441
391,question,territori,facil,104441
392,taylor,far,theori,104441
393,executor,reserv,proport,104441
394,cooper,approv,care,104441
395,mcdonnel,dismiss,upon,104441
396,w,render,motiv,104441
397,rico,activ,otherwis,104441
398,504,perform,member,104441
399,risk,complain,project,104441
400,cornel,et,stat,104441
401,apart,sum,reason,104441
402,spirit,thereof,86,104441
403,industri,21,25,104441
404,coverag,23,93,104441
405,bankruptci,concur,allow,104441
406,choic,compens,valu,104441
407,goodwil,full,particip,104441
408,mail,read,practic,104441
409,treatment,prosecut,chines,104441
410,direct,exclus,judg,104441
411,murder,26,believ,104441
412,issu,agent,42,104441
413,florida,class,prosecutor,104441
414,found,29,proce,104441
415,make,bar,represent,104441
416,stock,brief,negro,104441
417,attorney,debt,16,104441
418,plaintiff,inc,specif,104441
419,claus,assess,merit,104441
420,administr,22,inclus,104441
421,person,vessel,danger,104441
422,maritim,collect,usca,104441
423,discoveri,carri,90,104441
424,samuel,entir,econom,104441
425,miranda,legislatur,tradit,104441
426,punish,24,confer,104441
427,counsel,immun,neutral,104441
428,sess,possibl,stevedor,104441
429,show,reli,form,104441
430,admiralti,prevent,worker,104441
431,vehicl,examin,supervis,104441
432,resid,assign,28,104441
433,book,30,longshoreman,104441
434,dta,true,refer,104441
435,protect,rather,race,104441
436,fetu,doubt,2d,104441
437,requir,content,arizona,104441
438,remov,design,icc,104441
439,murphi,hand,equal,104441
440,gener,restrict,selfincrimin,104441
441,primari,separ,68,104441
442,boltwork,extend,de,104441
443,infant,hous,nashvil,104441
444,bar,affect,adequ,104441
445,espedient,though,asset,104441
446,present,trust,creation,104441
447,say,discrimin,analysi,104441
448,establish,believ,reopen,104441
449,bargain,seem,propos,104441
450,mayor,e,depend,104441
451,estat,admit,categori,104441
452,damag,mani,common,104441
453,nurs,privileg,entir,104441
454,deport,fail,creat,104441
455,retali,equiti,patient,104441
456,cong,posit,congrec,104441
457,denounc,much,consist,104441
458,expert,free,alien,104441
459,§1519,commun,scientif,104441
460,disput,oblig,addit,104441
461,secur,prove,b,104441
462,condemn,subsequ,pursuant,104441
463,transfer,offici,cent,104441
464,defer,organ,cong,104441
465,resign,polit,contrari,104441
466,system,fee,scheme,104441
467,procedur,reject,jail,104441
468,permit,price,sovereignti,104441
469,emiss,consist,leagu,104441
470,member,associ,proprietor,104441
471,depend,manner,wharf,104441
472,stat,done,viewpoint,104441
473,code,never,minimum,104441
474,bill,describ,among,104441
475,§5,rais,franchis,104441
476,voter,challeng,scope,104441
477,confer,indian,navi,104441
478,hous,injuri,packag,104441
479,relief,becom,sess,104441
480,wage,respons,serv,104441
481,error,whole,home,104441
482,branch,texa,depriv,104441
483,scienc,mortgag,set,104441
484,mitig,assum,radio,104441
485,improv,product,prepar,104441
486,penalti,materi,resign,104441
487,limit,serv,insan,104441
488,cigarett,foreign,traci,104441
489,fdf,page,fsupp,104441
490,creditor,indic,anoth,104441
491,reopen,produc,29,104441
492,jame,elect,sectarian,104441
493,appear,favor,consolid,104441
494,license,presid,89,104441
495,debt,sustain,alcald,104441
496,word,religi,popul,104441
497,commerci,number,presid,104441
498,competit,among,junta,104441
499,alaska,pp,area,104441
500,commun,vote,lemon,104441
501,without,litig,cover,104441
502,adea,seek,affect,104441
503,support,complaint,cash,104441
504,bond,contend,teach,104441
505,relationship,exempt,deliv,104441
506,wast,california,real,104441
507,virginia,resid,face,104441
508,note,attempt,legislatur,104441
509,method,reach,injur,104441
510,age,commit,year,104441
511,equal,contrari,neither,104441
512,crimin,offens,deriv,104441
513,agent,aris,afla,104441
514,bay,st,suggest,104441
515,1983,test,survey,104441
516,sonar,countri,portion,104441
517,sell,transfer,son,104441
518,duti,avail,none,104441
519,ex,long,fraudul,104441
520,confront,neither,potenti,104441
521,guidelin,come,subdivis,104441
522,predict,eg,wrong,104441
523,alexand,proof,owner,104441
524,nbc,w,taylor,104441
525,certif,leav,105,104441
526,1981,injunct,messag,104441
527,depriv,histori,defin,104441
528,drug,least,court’,104441
529,whitesid,27,sole,104441
530,judici,creditor,annual,104441
531,jeopardi,defens,employ,104441
532,pacif,request,faith,104441
533,l,sold,g,104441
534,termin,committe,return,104441
535,3807,recov,thereof,104441
536,victim,share,seat,104441
537,station,june,black,104441
538,redistrict,offer,preserv,104441
539,confess,complet,100,104441
540,plea,larg,disregard,104441
541,organ,burden,shipment,104441
542,york,certif,fals,104441
543,registri,incom,advanc,104441
544,facto,connect,remain,104441
545,religion,appelle,context,104441
546,scrip,convey,object,104441
547,chevron,extent,six,104441
548,assign,crime,safeti,104441
549,contract,put,samuel,104441
550,pension,deed,marihuana,104441
551,corp,ad,simpli,104441
552,postal,42,preclear,104441
553,11,remov,seem,104441
554,analyst,demand,tobacco,104441
555,minimum,engag,challeng,104441
556,debtor,licens,michael,104441
557,depart,third,84,104441
558,santa,discharg,bar,104441
559,might,program,9,104441
560,detent,washington,statu,104441
561,denver,similar,consider,104441
562,legisl,consequ,jone,104441
563,locat,appoint,47,104441
564,victoria,transport,scrip,104441
565,3,charact,commit,104441
566,§1983,peopl,seventh,104441
567,erisa,thing,life,104441
568,warn,carrier,produc,104441
569,abood,inde,deem,104441
570,hobbi,intern,pass,104441
571,provid,ship,piatt,104441
572,within,discret,hospit,104441
573,medic,maintain,month,104441
574,home,justifi,repugn,104441
575,section,life,formal,104441
576,fair,end,1981,104441
577,remedi,whose,treatment,104441
578,defens,propos,flag,104441
579,women,open,tribal,104441
580,censu,sought,retail,104441
581,citizenship,situat,tort,104441
582,award,relev,impli,104441
583,hiv,join,fourteenth,104441
584,thomson,river,shoe,104441
585,potomac,award,privaci,104441
586,decis,punish,12,104441
587,thoma,distinct,partnership,104441
588,declar,compel,71,104441
