,names,dates,url
77,Thiede v. Utah Territory,1895-11-11,https://www.courtlistener.com/opinion/94275/thiede-v-utah-territory/
78,Keystone Driller Co. v. Northwest Engineering Corp.,1935-01-07,https://www.courtlistener.com/opinion/102367/keystone-driller-co-v-northwest-engineering-corp/
79,Waxham v. Smith,1935-01-07,https://www.courtlistener.com/opinion/102364/waxham-v-smith/
80,McCrea v. United States,1935-01-07,https://www.courtlistener.com/opinion/102365/mccrea-v-united-states/
81,Smith v. Snow,1935-01-07,https://www.courtlistener.com/opinion/102363/smith-v-snow/
82,NLRB v. Marine Workers,1968-05-27,https://www.courtlistener.com/opinion/107704/nlrb-v-marine-workers/
83,Oklahoma Tax Comm'n v. Graham,1989-03-29,https://www.courtlistener.com/opinion/112230/oklahoma-tax-commn-v-graham/
84,United States v. Key,1970-03-31,https://www.courtlistener.com/opinion/108107/united-states-v-key/
85,United States v. Davis,1970-03-30,https://www.courtlistener.com/opinion/108103/united-states-v-davis/
86,SEC v. Sloan,1978-05-15,https://www.courtlistener.com/opinion/109859/sec-v-sloan/
87,"Kulko v. Superior Court of Cal., City and County of San Francisco",1978-06-26,https://www.courtlistener.com/opinion/109858/kulko-v-superior-court-of-cal-city-and-county-of-san-francisco/
88,Young v. Parker's Administrator,1889-12-02,https://www.courtlistener.com/opinion/92600/young-v-parkers-administrator/
89,Fritts v. Palmer,1889-11-25,https://www.courtlistener.com/opinion/92602/fritts-v-palmer/
90,Cleveland v. King,1889-11-25,https://www.courtlistener.com/opinion/92603/cleveland-v-king/
91,Roemer v. Peddie,1889-12-09,https://www.courtlistener.com/opinion/92605/roemer-v-peddie/
92,Walling v. AH Belo Corp.,1942-06-08,https://www.courtlistener.com/opinion/103706/walling-v-ah-belo-corp/
93,Overnight Motor Transp. Co. v. Missel,1942-06-08,https://www.courtlistener.com/opinion/103704/overnight-motor-transp-co-v-missel/
94,Chrysler Corporation v. United States,1942-06-08,https://www.courtlistener.com/opinion/103703/chrysler-corporation-v-united-states/
95,United States v. Adams,1966-02-21,https://www.courtlistener.com/opinion/107161/united-states-v-adams/
96,United States v. Callahan Walker Co.,1942-11-23,https://www.courtlistener.com/opinion/103709/united-states-v-callahan-walker-co/
97,Pennsylvania v. Delaware Valley Citizens' Council for Clean Air,1987-06-26,https://www.courtlistener.com/opinion/111955/pennsylvania-v-delaware-valley-citizens-council-for-clean-air/
98,SEC v. Central-Illinois Securities Corp.,1949-06-27,https://www.courtlistener.com/opinion/104715/sec-v-central-illinois-securities-corp/
99,Lopez v. Gonzales,2006-12-05,https://www.courtlistener.com/opinion/145772/lopez-v-gonzales/
100,Carr v. Zaja,1931-03-23,https://www.courtlistener.com/opinion/101701/carr-v-zaja/
101,"Flynn v. New York, NH & HR Co.",1931-03-23,https://www.courtlistener.com/opinion/101702/flynn-v-new-york-nh-hr-co/
102,Herron v. Southern Pacific Co.,1931-04-13,https://www.courtlistener.com/opinion/101705/herron-v-southern-pacific-co/
103,"Smith v. Springdale Amusement Park, Ltd.",1931-04-13,https://www.courtlistener.com/opinion/101708/smith-v-springdale-amusement-park-ltd/
104,"United Housing Foundation, Inc. v. Forman",1975-10-06,https://www.courtlistener.com/opinion/109272/united-housing-foundation-inc-v-forman/
105,Mason v. Eldred,1868-01-13,https://www.courtlistener.com/opinion/87908/mason-v-eldred/
106,Schuylkill & Dauphin Improvement Co. v. Munson,1872-04-22,https://www.courtlistener.com/opinion/88551/schuylkill-dauphin-improvement-co-v-munson/
107,"Switzerland Cheese Assn., Inc. v. E. Horne's Market, Inc.",1966-11-07,https://www.courtlistener.com/opinion/107286/switzerland-cheese-assn-inc-v-e-hornes-market-inc/
108,Atlantic Coast Line Railroad Co. v. Brotherhood of Railway Trainmen,1966-10-24,https://www.courtlistener.com/opinion/107285/atlantic-coast-line-railroad-co-v-brotherhood-of-railway-trainmen/
109,Elwell v. Fosdick,1890-03-31,https://www.courtlistener.com/opinion/92749/elwell-v-fosdick/
110,Pittsburgh Towing Co. v. Mississippi Valley Barge Line Co.,1966-12-12,https://www.courtlistener.com/opinion/107288/pittsburgh-towing-co-v-mississippi-valley-barge-line-co/
111,Louisville & Nashville R. Co. v. Behlmer,1898-03-28,https://www.courtlistener.com/opinion/94841/louisville-nashville-r-co-v-behlmer/
112,The Schooner Catharine v. Dickinson,1855-03-10,https://www.courtlistener.com/opinion/86919/the-schooner-catharine-v-dickinson/
113,Davis v. Wakelee,1895-03-04,https://www.courtlistener.com/opinion/94133/davis-v-wakelee/
114,"Global-Tech Appliances, Inc. v. SEB S. A.",2011-05-31,https://www.courtlistener.com/opinion/217702/global-tech-appliances-inc-v-seb-s-a/
115,Citizens' Sav. and Loan Assn. v. Perry County,1895-03-04,https://www.courtlistener.com/opinion/94134/citizens-sav-and-loan-assn-v-perry-county/
116,Rey v. Simpson,1860-01-18,https://www.courtlistener.com/opinion/87297/rey-v-simpson/
117,Bate Refrigerating Co. v. Sulzberger,1895-03-04,https://www.courtlistener.com/opinion/94135/bate-refrigerating-co-v-sulzberger/
118,Raleigh v. Illinois Dept. of Revenue,2000-05-30,https://www.courtlistener.com/opinion/1087664/raleigh-v-illinois-dept-of-revenue/
119,Northern Pacific R. Co. v. Adams,1904-02-23,https://www.courtlistener.com/opinion/1087662/northern-pacific-r-co-v-adams/
120,Phelps v. McDonald,1879-05-18,https://www.courtlistener.com/opinion/89949/phelps-v-mcdonald/
121,Brown v. Shannon,1858-01-25,https://www.courtlistener.com/opinion/87127/brown-v-shannon/
122,Doswell v. De La Lanza,1858-01-25,https://www.courtlistener.com/opinion/87123/doswell-v-de-la-lanza/
123,Bacon v. Howard,1858-01-11,https://www.courtlistener.com/opinion/87121/bacon-v-howard/
124,Jones v. McMasters,1858-01-11,https://www.courtlistener.com/opinion/87120/jones-v-mcmasters/
125,Webster v. Reid,1851-03-18,https://www.courtlistener.com/opinion/86654/webster-v-reid/
126,Clements v. Berry,1851-03-10,https://www.courtlistener.com/opinion/86652/clements-v-berry/
127,Moore v. Brown,1851-03-11,https://www.courtlistener.com/opinion/86653/moore-v-brown/
128,Parks v. Ross,1851-03-10,https://www.courtlistener.com/opinion/86650/parks-v-ross/
129,Olcott v. Bynum,1873-03-18,https://www.courtlistener.com/opinion/88723/olcott-v-bynum/
130,Nichols v. Eaton,1875-11-29,https://www.courtlistener.com/opinion/89234/nichols-v-eaton/
131,The 'Colorado.',1876-01-31,https://www.courtlistener.com/opinion/89231/the-colorado/
132,The 'Coty of Washington.',1876-04-10,https://www.courtlistener.com/opinion/89238/the-coty-of-washington/
133,St. Louis Beef Co. v. Casualty Co.,1906-03-19,https://www.courtlistener.com/opinion/96432/st-louis-beef-co-v-casualty-co/
134,A. Leschen & Sons Rope Co. v. Broderick & Bascom Rope Co.,1906-03-19,https://www.courtlistener.com/opinion/96431/a-leschen-sons-rope-co-v-broderick-bascom-rope-co/
135,Wyman v. Wallace,1906-04-02,https://www.courtlistener.com/opinion/96437/wyman-v-wallace/
136,Christopher v. Norvell,1906-04-02,https://www.courtlistener.com/opinion/96436/christopher-v-norvell/
137,Carey v. Houston & Texas Central R. Co.,1896-03-02,https://www.courtlistener.com/opinion/94369/carey-v-houston-texas-central-r-co/
138,Beebe v. United States,1896-03-02,https://www.courtlistener.com/opinion/94368/beebe-v-united-states/
139,Boese v. King,1883-05-07,https://www.courtlistener.com/opinion/90871/boese-v-king/
140,Scruggs' v. Memphis & Charleston R. Co.,1883-04-30,https://www.courtlistener.com/opinion/90870/scruggs-v-memphis-charleston-r-co/
141,Devoe Manufacturing Company,1883-05-07,https://www.courtlistener.com/opinion/90873/devoe-manufacturing-company/
142,Hawkins v. Blake,1883-05-07,https://www.courtlistener.com/opinion/90875/hawkins-v-blake/
