abbrev,name,count,jurisdiction,citation_abbrev,start_date,end_date,in_use,last_modified,horizontal,vertical
scotus,Supreme Court of the United States,63691,Federal Appellate,SCOTUS,1789-09-24,Unknown,Yes,2014-10-30T18:59,other,appellate
ca1,Court of Appeals for the First Circuit,30495,Federal Appellate,1st Cir.,1891-03-03,Unknown,Yes,2014-10-30T18:57,other,appellate
ca2,Court of Appeals for the Second Circuit,47642,Federal Appellate,2d Cir.,1891-03-03,Unknown,Yes,2013-08-14T09:46,other,appellate
ca3,Court of Appeals for the Third Circuit,48590,Federal Appellate,3rd Cir.,1891-03-03,Unknown,Yes,2014-10-30T18:57,other,appellate
ca4,Court of Appeals for the Fourth Circuit,39388,Federal Appellate,4th Cir.,1891-03-03,Unknown,Yes,2014-10-30T18:58,other,appellate
ca5,Court of Appeals for the Fifth Circuit,90347,Federal Appellate,5th Cir.,1891-03-03,Unknown,Yes,2014-10-30T18:58,other,appellate
ca6,Court of Appeals for the Sixth Circuit,41632,Federal Appellate,6th Cir.,1891-03-03,Unknown,Yes,2014-11-07T13:21,other,appellate
ca7,Court of Appeals for the Seventh Circuit,48388,Federal Appellate,7th Cir.,1891-03-03,Unknown,Yes,2014-10-30T18:58,other,appellate
ca8,Court of Appeals for the Eighth Circuit,55782,Federal Appellate,8th Cir.,1891-03-03,Unknown,Yes,2014-10-30T18:58,other,appellate
ca9,Court of Appeals for the Ninth Circuit,67646,Federal Appellate,9th Cir.,1891-03-03,Unknown,Yes,2014-10-30T18:58,other,appellate
ca10,Court of Appeals for the Tenth Circuit,29694,Federal Appellate,10th Cir.,2/28/1929,Unknown,Yes,2013-08-14T09:46,other,appellate
ca11,Court of Appeals for the Eleventh Circuit,46669,Federal Appellate,11th Cir.,10/14/1980,Unknown,Yes,2013-08-14T09:46,other,appellate
cadc,Court of Appeals for the D.C. Circuit,23328,Federal Appellate,D.C. Cir.,1893-02-09,Unknown,Yes,2014-10-30T18:58,other,appellate
cafc,Court of Appeals for the Federal Circuit,12391,Federal Appellate,Fed. Cir.,4/2/1982,Unknown,Yes,2014-10-30T18:59,other,appellate
caca,Circuit Court for California,0,Federal Appellate,,1804-10-01,1812-04-30,Yes,2016-03-16T18:01,CA,appellate
afcca,United States Air Force Court of Criminal Appeals,179,Federal Special,A.F.C.C.A.,Unknown,Unknown,Yes,2014-09-18T18:41,other,other
asbca,Armed Services Board of Contract Appeals,1039,Federal Special,A.S.B.C.A.,Unknown,Unknown,Yes,2014-09-18T18:15,other,other
armfor,Court of Appeals for the Armed Forces,636,Federal Special,C.A.A.F.,5/31/1951,Unknown,Yes,2013-08-14T15:18,other,other
acca,Army Court of Criminal Appeals,124,Federal Special,A.C.C.A.,Unknown,Unknown,Yes,2015-01-08T16:24,other,other
cc,United States Court of Claims,930,Federal Special,Ct. Cl.,1855-02-24,10/29/1992,Yes,2013-10-17T17:47,other,other
uscfc,United States Court of Federal Claims,2618,Federal Special,Fed. Cl.,4/2/1982,Unknown,Yes,2013-08-14T15:19,other,other
