CLid,indegree,l_pagerank,age
100118,2,-11.0416006352,67
100119,8,-10.5134306707,67
100120,5,-10.901223125,67
100121,18,-9.28726338694,67
100122,61,-8.35468065235,67
100123,14,-9.89245779521,67
100124,5,-10.5164871853,67
100125,6,-10.7941100271,67
100126,2,-11.1948694643,67
100127,4,-10.7441085385,67
100128,4,-11.0225428892,67
100129,1,-11.1436054037,67
100130,4,-11.0474858303,67
100131,12,-10.1908259235,67
100132,12,-10.3563979025,67
100133,6,-10.7875844583,67
100134,3,-10.9679663429,67
100135,3,-10.7768088616,67
100136,64,-8.53844453828,67
100137,4,-9.92693968139,67
100138,13,-9.83905655345,67
100139,10,-10.8395509997,67
100140,7,-10.4929287844,67
100141,0,-11.326285281,67
100142,14,-9.93406580245,67
100143,5,-10.9064565775,67
100144,6,-10.9007765033,67
100145,3,-11.1549685749,67
100146,1,-11.2326456546,67
100147,24,-9.08336404909,67
100148,1,-11.0610094459,67
100149,37,-9.18504132426,67
100150,2,-10.9714291203,67
100151,1,-10.9721134673,67
100152,0,-11.326285281,67
100153,1,-11.2928569187,67
100154,1,-11.0176359143,67
100155,1,-11.1751395617,67
100156,8,-9.92432063738,67
100157,1,-11.2745233465,67
100158,6,-9.96504706852,67
100159,0,-11.326285281,67
100160,3,-11.2643051308,67
100161,16,-10.2013035461,67
100162,9,-10.190312459,67
100163,2,-10.8474229805,67
100164,21,-9.58296938001,67
100165,2,-11.0216747527,67
100166,1,-11.1487777987,67
100167,14,-10.551547641,67
100168,31,-9.4451160397,67
100169,1,-10.9660207525,67
100170,0,-11.326285281,67
100171,0,-11.326285281,67
100172,1,-11.1736004707,67
100173,11,-9.70039267127,67
100174,0,-11.326285281,67
100175,15,-10.2013676149,67
100176,6,-10.5436125624,67
100177,2,-10.571732223,67
100178,19,-9.96036874249,67
100179,20,-9.93771630419,67
100180,13,-9.96924616216,67
100181,45,-9.04827340841,67
100182,2,-11.0494985061,67
100183,7,-10.8586189019,67
100184,1,-10.9721134673,67
100185,6,-10.2296151186,67
100186,9,-9.88414598221,67
100187,0,-11.326285281,67
100188,27,-9.47705425839,67
100189,17,-9.74026580005,67
100190,7,-10.207829203,67
100192,0,-11.326285281,67
100193,1,-10.9721134673,67
100194,0,-11.326285281,67
100195,13,-10.2265964434,67
100196,2,-11.2099347415,67
100197,19,-10.2346291042,67
100198,1,-11.0411178916,67
100199,12,-10.1344346477,67
100200,6,-10.3856586943,67
100201,1,-11.2231523667,67
100202,5,-10.7544517273,67
100203,11,-10.3454887092,67
100204,12,-9.95732889432,67
100205,6,-10.6935507944,67
100206,3,-11.1516022338,67
100207,32,-9.53452363693,67
100208,14,-10.0331375094,67
100209,3,-11.0656109897,67
100210,0,-11.326285281,67
100211,3,-10.8425429475,67
100212,5,-10.6906955257,67
100213,1,-11.1644650492,67
100214,8,-10.0781681524,67
100215,9,-10.4339967898,67
100217,1,-11.2499329184,67
100218,11,-10.3032329573,67
100219,1,-11.213956096,67
100220,29,-9.74402276837,67
100221,18,-10.0368014306,67
100222,16,-9.7115564859,67
100223,5,-10.4427365002,67
100224,9,-9.89326842025,67
100225,5,-10.8358278588,67
100226,12,-10.1965908565,67
100227,0,-11.326285281,67
100228,3,-10.9844600476,67
100229,5,-10.6749227624,67
100230,2,-10.9657417895,67
100231,4,-11.0463408577,67
100232,17,-9.50232376703,67
100233,102,-8.70851171984,67
100234,9,-10.0393709989,67
100235,12,-10.4919099836,67
100236,6,-10.5746983714,67
100237,12,-10.3329210892,67
100239,7,-10.5484521506,67
100240,66,-8.9191970412,67
100241,2,-11.1134680552,67
100242,1,-11.1336009372,67
100243,3,-10.628170281,67
100244,2,-11.1053400616,67
100245,27,-9.84226277822,67
100246,19,-9.75171292277,67
100247,11,-10.7929422111,67
