,mod,wt,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000,hc_10,hc_100,hc_1000
91508,0,3,5,75,117,9,31,879,7,5,78
91509,126,2264,7,96,146,4,19,104,0,72,18
101639,0,22,7,20,467,7,4,298,0,17,220
101638,0,415,4,39,368,4,46,398,1,69,259
101635,0,1,7,20,903,6,4,212,9,23,671
101634,0,33,0,69,287,0,43,786,8,35,367
101637,0,415,0,69,287,0,43,786,8,35,367
101636,1,3,7,63,978,0,32,718,1,36,725
101630,0,3,7,81,483,6,13,414,1,37,601
101633,2,44,7,47,245,6,60,41,0,72,920
101632,0,12,5,90,696,9,55,111,7,8,469
2670795,1,83,4,68,776,6,33,13,4,7,237
89207,2,1112,7,59,700,3,13,959,1,6,513
85705,21,1279,0,12,612,0,39,659,1,25,76
85704,2,267,0,80,754,6,67,968,1,98,350
85707,2,1281,6,34,588,0,99,466,3,22,996
85706,0,34,9,65,74,8,71,924,1,66,79
85701,2,960,5,55,391,9,91,195,7,4,83
85700,2,413,0,70,771,3,40,623,1,20,381
85703,126,2264,0,30,857,3,93,637,0,56,408
85702,126,2264,0,75,31,9,84,604,3,22,528
85709,1,1,3,81,956,4,13,843,0,17,540
85708,2,380,7,80,724,3,67,968,1,6,85
94819,0,36,4,14,164,4,57,871,4,32,15
94818,0,11,5,90,517,9,55,2,0,74,965
94817,55,585,0,9,49,0,64,612,1,65,122
94816,2,9,0,34,294,0,99,176,1,98,365
94815,0,290,5,55,963,9,91,605,7,4,61
94814,109,1372,7,9,560,6,64,399,1,65,596
94813,2,2,7,68,292,6,95,929,0,96,776
94812,3,284,7,30,763,2,93,165,1,20,643
94811,2,22,7,9,399,4,64,399,1,65,596
94810,0,49,0,9,897,4,64,399,1,65,84
620671,1,2,0,9,897,4,64,399,1,65,596
620673,1,5,0,70,913,4,40,137,1,78,273
620672,2,1,6,17,260,4,56,726,3,48,167
87633,2,51,8,84,833,2,76,214,0,46,178
87632,3,417,7,15,23,7,96,537,1,90,115
87631,126,2264,5,45,696,9,41,415,7,8,469
87630,3,417,7,70,3,4,49,16,1,37,305
87637,2,3,4,14,863,4,46,715,4,32,685
87636,4,418,3,84,535,4,98,893,1,20,562
87635,2,419,7,82,277,9,98,862,0,74,965
87634,2,18,7,25,483,4,49,463,0,0,474
87639,2,204,7,81,808,3,13,7,5,70,656
87638,3,420,3,81,604,7,13,156,0,74,286
217514,2,2,5,32,624,9,55,998,7,8,147
217515,0,1,0,15,680,0,96,14,1,60,183
217512,1,5,0,87,232,0,85,555,3,89,54
110141,1,5,4,47,237,4,60,104,0,72,18
110140,1,5,0,75,341,9,84,680,7,5,32
110143,1,2,0,6,166,4,77,4,1,25,82
110142,1,5,7,9,399,4,64,399,1,65,596
110145,1,5,5,90,517,9,55,2,7,8,969
110144,1,5,0,28,218,4,68,936,4,9,590
110147,1,422,7,82,858,9,89,862,0,74,965
110146,0,36,3,81,694,7,13,509,1,37,767
110148,1,2,2,29,406,7,10,730,9,79,716
88618,0,3,6,1,424,0,99,297,1,43,396
88619,126,2264,4,14,368,4,46,398,4,32,212
88614,126,2264,5,75,117,9,84,680,7,5,32
88615,2,44,3,9,370,0,88,367,1,95,734
88616,2,206,5,38,367,9,84,99,7,5,503
88617,126,2264,0,54,605,7,49,183,1,71,774
88610,3,253,7,81,614,7,13,156,1,37,601
88611,2,423,7,15,23,0,96,537,1,90,115
88612,2,13,9,60,527,8,6,474,1,20,504
88613,126,2264,5,90,696,9,55,719,7,4,531
84845,126,2264,0,70,354,9,39,427,1,25,918
84844,126,2264,4,14,358,4,46,416,4,32,15
97779,1,1,4,53,368,4,45,785,4,32,212
97778,3,1,7,81,335,6,4,902,9,23,836
96507,0,3,3,89,926,7,69,354,9,34,3
96506,3,424,0,22,257,3,64,38,1,65,47
96505,2,337,0,60,75,8,71,739,1,14,247
96504,1,2,5,56,108,9,75,987,1,63,72
96503,0,36,5,75,117,9,31,879,7,5,78
96502,2,425,5,75,117,9,31,879,7,5,78
96501,2,204,4,53,911,4,45,876,4,80,46
96500,0,3,5,32,21,9,55,998,7,4,223
88173,2,1790,4,53,368,4,45,398,4,32,212
96509,0,105,5,32,627,9,73,938,1,1,652
96508,2,426,7,9,897,0,64,399,1,65,596
97676,1,3,5,75,341,9,84,680,7,5,32
97677,0,36,0,3,258,6,51,338,0,19,233
97674,2,18,0,70,348,3,92,639,1,10,307
97675,0,12,5,75,816,9,84,343,7,5,824
97672,1,1,4,14,863,4,46,397,4,32,685
97673,2,50,7,81,801,0,13,724,6,30,942
97670,2,1,4,14,263,4,46,715,4,32,406
97671,2,13,4,33,535,4,17,719,1,20,562
88175,126,2264,4,33,165,4,17,828,4,7,282
97678,2,13,5,32,696,9,55,998,7,8,86
97772,2,1,7,69,287,0,43,786,8,35,367
97771,2,382,7,9,49,6,64,612,1,65,657
97770,2,427,4,28,834,4,68,473,4,9,974
90909,2,53,0,2,351,5,5,92,6,91,418
90908,3,159,5,90,942,9,55,87,7,8,469
102414,0,283,2,87,330,7,24,359,3,89,54
90904,126,2264,7,81,130,9,13,760,0,0,474
90907,2,398,3,29,801,7,10,411,0,0,474
90906,3,187,5,32,480,9,29,155,7,4,604
102410,0,3,7,81,801,9,13,724,9,64,433
102411,2,13,3,84,16,7,98,509,9,64,919
90903,2,53,7,81,801,7,13,411,1,20,738
102413,2,13,5,31,7,9,31,256,7,4,604
100989,1,2,7,70,39,9,49,16,7,5,688
95968,0,1,0,70,159,3,40,767,0,19,675
95969,0,2240,5,75,433,4,84,372,3,77,121
107079,1,5,5,70,674,9,40,760,1,37,717
107078,126,2264,5,75,117,9,84,879,7,5,78
145901,1,59,8,11,32,2,48,12,0,18,99
145900,2,68,3,84,678,7,98,23,3,61,142
92534,1,2,5,31,341,9,31,879,7,5,78
2477913,0,13,7,59,574,6,63,501,0,11,71
92535,2,431,2,24,864,3,37,736,5,88,845
107071,2,30,7,68,645,6,95,929,0,96,776
99410,126,2264,5,55,774,9,91,958,7,4,61
99411,126,2264,5,55,774,9,91,958,7,4,61
99412,1,30,5,55,774,9,91,605,7,4,61
99413,2,102,7,70,112,0,49,760,0,0,474
99414,0,50,3,29,50,7,10,238,9,28,30
99415,2,25,7,68,645,6,95,929,0,96,776
99416,2,432,5,32,667,9,31,616,7,8,313
99417,0,22,0,9,49,0,64,612,1,65,122
99418,0,3,0,87,875,0,24,607,3,89,54
99419,2,1,3,84,16,7,98,509,9,64,919
92531,2,13,7,20,686,6,92,264,1,6,582
95748,2,433,7,47,501,6,33,836,0,17,597
95749,2,13,5,75,117,9,84,879,7,5,32
95744,2,1,5,75,117,9,84,879,7,5,32
95745,57,1405,5,75,39,9,84,256,7,5,32
95747,0,1,2,24,519,3,94,230,5,70,656
95740,3,435,0,15,612,0,39,659,1,25,76
95741,15,679,0,70,3,0,49,16,0,46,178
