,km_10,km_100
107176,5,1
107177,5,59
107170,0,85
107171,0,14
107172,5,67
107173,9,30
137750,7,94
84988,9,41
84989,5,96
84980,4,81
84981,5,45
84982,0,85
84983,9,34
84984,8,46
84985,8,61
84986,4,45
84987,5,1
108359,9,57
108358,0,85
108351,5,67
108350,0,59
108353,0,14
815689,4,14
91353,0,5
106491,4,14
106492,8,77
106493,0,85
91357,9,19
91356,5,41
91355,0,75
91354,5,45
106498,8,63
106499,4,45
91359,9,34
91358,9,19
103462,0,91
103463,5,1
103460,5,38
103461,4,13
104304,5,45
87868,8,59
87869,9,30
87866,5,41
87867,8,13
87864,8,9
87865,8,59
87862,4,14
87863,8,56
87860,7,64
87861,7,15
109006,8,1
109007,4,63
109004,5,1
109005,4,13
109008,4,96
109009,0,75
87440,8,90
109713,4,81
87442,5,27
87443,5,96
109716,8,34
109717,4,14
87446,8,59
87447,0,75
855656,5,1
86807,5,59
86806,4,20
86805,9,59
86804,5,61
86803,4,61
86802,4,45
86801,5,96
86800,5,49
86809,8,90
86808,5,55
85576,0,84
85577,0,84
85574,8,84
85575,0,84
85572,5,13
85573,9,34
85570,4,20
96717,9,34
96714,9,34
85578,5,62
85579,5,78
96715,5,41
96712,5,1
96713,7,41
96710,5,67
96711,5,55
88326,0,85
122243,9,19
122242,8,34
122241,5,77
122240,5,1
122247,8,14
122246,5,45
122245,4,16
122244,0,75
122249,9,30
122248,9,19
87048,8,9
87049,9,34
87044,4,45
87045,4,14
87046,8,59
87047,4,14
87040,9,19
87041,9,19
87042,5,55
87043,9,19
86103,5,55
213842,0,75
110718,8,9
110719,4,83
110714,9,30
110715,9,34
110716,4,13
110717,0,85
110710,4,13
110711,5,45
110712,4,45
110713,5,45
184314,8,45
94248,4,14
94249,0,14
94246,9,98
94247,4,11
94244,0,84
94245,0,75
94242,8,75
94243,0,84
94240,8,59
94241,8,59
97579,9,19
97578,8,59
97571,0,84
97570,0,68
97573,5,1
97572,4,59
97575,4,31
97574,8,90
97577,5,1
97576,4,15
118068,5,1
118069,9,19
118066,5,41
118067,4,14
118064,0,85
118065,0,85
118062,8,41
118063,5,41
118060,7,1
118061,0,75
99249,4,13
99248,4,14
99245,4,14
99244,8,9
99247,0,84
99246,5,56
99241,8,69
99240,4,14
99243,4,38
99242,8,59
95599,8,59
95598,8,45
95591,4,36
95590,8,83
95593,5,49
95592,9,19
95595,5,49
95594,5,41
95597,0,5
95596,5,67
95627,5,45
95626,5,1
95625,5,96
95624,8,9
95623,5,1
95622,4,13
95621,5,96
95620,0,84
99793,5,67
99792,5,45
99791,5,55
99790,0,84
99796,5,55
95629,5,45
99794,9,30
112608,4,49
112609,0,75
112604,8,9
112605,9,30
112606,8,9
112607,0,84
112600,5,67
112601,4,49
112602,4,13
112603,4,83
1390946,0,14
106968,5,67
106969,4,49
91629,0,85
91628,4,14
106960,4,14
106961,5,75
91621,5,13
106963,5,96
91627,5,15
91626,5,67
106966,4,61
91624,8,61
93661,9,34
93660,5,13
93663,5,1
93662,0,85
93665,8,90
93664,5,67
93667,5,30
93669,9,34
93668,9,34
94484,4,11
91477,4,16
91474,7,94
91475,5,1
91472,5,67
91470,8,88
91471,8,59
92058,4,27
93085,4,41
93084,9,19
93087,0,84
93086,9,34
93080,5,1
93083,4,20
93082,5,67
93089,0,14
93088,8,59
90718,9,30
90719,9,30
104610,8,90
99928,8,59
104612,4,49
104613,0,85
104614,4,83
104615,4,83
104616,0,84
99929,8,59
104619,0,5
90714,8,9
90715,0,14
90716,9,19
90717,4,15
90710,0,68
90711,9,34
90712,5,55
1436323,5,55
90713,5,1
104915,5,1
108068,8,13
118118,4,49
118119,8,84
96169,8,84
3212516,4,71
3212515,0,75
3212514,4,49
108968,4,31
108969,0,84
108966,8,34
108967,8,9
108964,8,9
108965,8,46
108962,0,85
108963,5,96
108960,0,14
108961,5,41
104430,8,55
106862,9,19
96160,4,29
104432,5,1
106108,9,34
106109,9,34
106102,4,16
106103,0,85
106100,5,78
106101,0,14
106106,5,1
106107,5,81
106104,4,83
104435,5,1
102618,9,34
102619,8,41
102612,4,83
102613,0,14
102610,8,13
102611,5,1
102616,0,14
102617,4,49
102614,9,98
102615,4,49
112165,9,30
112164,8,9
112167,5,67
112166,0,85
112161,0,84
112160,5,1
112163,0,85
112162,5,55
112169,0,85
112168,9,30
111226,8,9
85970,0,84
85971,9,19
85976,9,19
85977,4,14
85975,4,13
103053,4,13
103052,0,84
103051,8,45
103050,0,84
103054,5,55
1209948,8,84
109708,8,90
109701,0,84
109700,4,14
109703,9,34
109702,0,84
109705,4,49
109704,4,81
109707,4,29
109706,3,0
3189406,3,0
88351,4,20
88350,0,84
88353,0,84
88352,0,84
88355,7,94
88354,0,84
88357,0,84
88356,9,34
88359,4,81
88358,9,19
100508,5,1
100509,5,16
100500,5,13
100501,4,81
100502,9,19
100503,0,84
100504,4,83
100505,0,5
100506,5,61
100507,5,61
86304,4,73
86305,8,59
86306,4,83
86307,9,19
86300,9,90
86301,4,13
86302,0,14
86303,9,30
86308,4,13
86309,0,9
91397,0,84
106455,0,84
101363,0,84
101362,0,84
101361,9,34
101360,5,45
101367,0,84
101366,0,84
101365,8,1
101364,0,84
91393,5,55
101369,0,84
101368,8,63
106451,4,49
106452,4,20
91390,9,11
134749,9,11
134748,4,13
134741,8,36
134740,0,84
134743,5,50
134742,8,41
134745,9,34
134744,5,1
134747,0,14
134746,0,84
94859,4,45
94858,8,84
94853,4,14
94852,8,45
94851,5,96
94850,8,9
94857,9,30
94856,0,84
94855,0,84
94854,4,14
111678,8,59
111679,8,0
111674,3,0
111675,8,0
111676,8,5
111677,0,84
111670,9,69
111671,0,69
111672,5,41
111673,9,34
110109,8,84
110108,8,84
105068,0,75
110105,5,96
110104,5,94
110107,8,9
110106,7,7
110101,0,75
110100,0,14
110103,5,75
110102,5,1
89569,5,13
89568,5,45
89561,9,45
89560,8,59
89563,0,14
89562,4,14
89565,8,34
89564,4,13
89567,0,75
89566,4,13
105069,4,71
92842,0,84
92843,0,14
92840,0,75
95813,4,20
92846,4,81
92847,4,29
92844,4,41
92845,5,55
95818,9,34
95819,4,16
92848,4,61
92849,0,85
96543,5,67
96542,0,84
96541,4,45
96540,0,85
96547,0,59
96546,4,29
96545,5,1
96544,9,19
96548,0,85
105109,4,14
105108,4,13
105103,5,1
105102,5,41
105101,5,45
105100,0,75
105107,5,1
105106,5,14
105105,4,29
105104,5,96
91971,4,81
91970,4,63
94039,8,90
94038,8,90
94031,4,13
94030,5,13
94033,4,78
94032,9,19
94035,8,84
94034,8,1
94037,8,27
94036,8,45
102458,0,46
102459,9,34
1521291,5,45
102451,4,20
102452,5,1
102453,4,13
102454,4,15
102455,4,13
102456,9,30
112348,4,49
112347,9,59
97687,0,85
97686,4,46
142900,8,14
142901,9,59
112419,9,19
112418,0,75
112415,4,16
88045,0,75
112417,0,5
112416,5,14
112413,0,84
88044,4,63
91128,8,59
97681,0,84
91120,5,1
91121,8,9
91122,8,84
88046,5,96
91124,8,84
91125,4,16
91126,0,85
91127,8,59
3171726,0,84
3171725,0,84
99459,4,14
99454,5,1
99455,0,14
99456,0,43
99457,4,29
99450,9,34
99451,4,45
99452,8,9
99453,5,67
109547,7,15
109546,4,14
109542,4,14
109541,8,81
109540,7,15
145835,4,13
109549,5,79
109548,5,55
111991,9,30
111990,9,19
111992,0,84
798626,5,55
107328,9,19
107326,5,1
91788,9,30
91789,9,76
91784,0,84
91785,4,16
91786,9,34
91787,5,27
91780,8,59
91781,4,15
91782,0,75
91783,8,69
100115,0,84
107322,9,34
899484,0,84
92479,8,63
92478,8,36
899483,5,30
92473,4,71
92472,4,14
92471,8,90
92470,5,1
92477,8,27
92476,4,14
92475,7,28
92474,8,69
91878,4,73
91879,4,59
91872,5,41
91873,4,45
91870,5,45
91871,8,15
91876,8,69
91877,0,75
91874,0,14
91875,5,13
107242,5,1
107243,4,14
92783,9,30
107241,4,45
92785,8,27
92784,0,84
107244,7,14
92786,5,14
92789,0,84
92788,4,14
107248,7,28
107249,9,57
866024,8,9
866022,5,61
866023,4,81
2095284,8,59
93788,4,29
93789,4,63
93782,9,19
93783,4,15
93780,4,20
93781,9,34
93786,4,81
93787,8,59
93784,5,1
93785,5,67
107866,4,45
107864,8,9
107865,5,45
107862,4,29
107863,4,13
107868,5,67
107869,0,75
145118,0,85
145119,4,27
93430,8,9
93431,8,49
101163,5,29
93433,5,41
93434,4,15
93435,5,41
93436,4,73
93437,9,34
93438,4,16
93439,4,14
117898,0,84
117899,4,31
117896,4,49
117897,0,84
117894,8,9
117895,0,84
117892,5,45
117893,0,43
117890,5,1
117891,8,9
85329,0,84
85328,8,59
85327,5,13
85326,8,90
85325,4,29
85324,7,7
85323,0,84
85322,5,55
85321,0,84
85320,0,75
98260,0,75
98261,9,11
98262,8,99
98263,8,9
98265,5,41
98266,4,81
98267,8,9
98268,8,9
98269,0,75
101839,4,59
101838,5,45
101837,7,7
101836,4,16
101835,5,45
101834,0,75
101833,8,84
101832,9,69
101831,8,59
101830,5,45
86564,0,14
86565,0,84
86566,0,75
86567,0,84
86560,0,84
86561,0,84
86562,4,4
86563,4,20
1087846,4,81
1087845,4,81
1087844,4,83
1087843,5,1
1087842,0,14
93331,4,13
86692,4,61
86693,5,55
86690,5,96
86691,5,45
86696,4,16
86697,5,67
86694,5,8
86695,9,57
86698,5,41
86699,4,14
2621021,5,45
2621022,8,59
1334661,7,64
1855348,5,61
93335,8,1
89769,4,16
89768,4,14
89763,4,15
89762,9,58
89761,0,84
89760,4,73
89767,4,14
89766,8,9
89765,5,85
89764,9,19
103158,9,19
103159,9,19
103156,9,19
103157,8,27
103154,9,58
103155,8,59
103152,5,45
103153,0,75
103150,9,19
103151,9,57
1208209,9,57
87778,4,13
87779,8,97
87776,4,73
87777,0,75
87774,9,34
87775,9,34
87772,8,59
87773,0,84
87770,0,84
87771,8,9
2620778,8,84
2620774,4,73
2620771,0,5
2620770,9,19
89307,4,73
88498,4,13
88499,9,30
88492,9,19
88493,5,55
88490,4,27
88491,9,57
88496,4,29
88497,5,1
88494,5,14
88495,6,66
88140,8,90
88141,8,59
88142,9,19
88143,9,57
88144,9,34
88145,8,13
88146,4,81
88147,4,31
88148,9,57
88149,9,19
101248,9,57
84878,5,41
84879,8,36
93538,4,14
84874,5,67
84875,9,30
84876,9,34
84877,4,73
84870,5,41
84871,0,74
84872,9,34
84873,8,9
100719,5,13
100718,4,29
100711,5,1
100710,5,96
100713,9,19
100712,4,15
100715,5,1
100714,4,61
100717,0,68
100716,4,83
101240,5,55
101241,9,57
93533,0,84
101243,8,59
101244,4,59
101245,5,1
101246,9,57
101247,8,59
90251,0,84
90250,4,15
90253,9,57
90252,9,57
90255,8,99
90254,9,57
90257,9,19
90256,7,64
90259,9,57
90258,9,58
91328,4,14
118134,8,46
101446,5,79
101447,4,16
101444,5,55
91329,4,45
101442,5,1
101443,4,45
101440,9,27
101441,4,14
101448,5,55
101449,9,57
96949,0,75
96948,8,59
96947,5,14
96946,0,85
96945,5,55
96944,5,1
96943,5,67
96942,7,28
96941,5,13
96940,5,41
111869,5,16
118136,8,59
111868,4,49
85046,8,36
85047,0,84
85044,0,75
85045,0,85
85042,8,13
85043,8,14
85040,0,85
85041,5,14
85048,7,64
85049,0,84
118137,4,15
102771,4,16
85241,4,16
1087916,3,41
85242,5,41
102777,5,14
102776,8,99
95371,8,99
95370,5,96
95373,9,30
95372,5,96
95375,7,41
95374,4,49
95377,7,64
95376,8,13
95379,5,41
95378,8,59
110808,9,34
110809,4,14
110806,8,9
110807,7,28
110800,9,30
103981,4,49
103980,5,67
109387,4,29
103982,5,9
87835,9,59
109380,8,46
109383,9,57
87836,4,16
87838,4,83
95995,4,4
95994,0,75
95997,9,57
95996,9,57
95991,9,57
95990,4,59
95993,8,14
95992,9,34
95999,4,52
93232,8,99
93233,8,90
93230,4,63
93231,9,57
93236,9,57
93237,9,57
118499,9,57
118498,9,57
118497,5,16
118496,5,1
118495,4,36
118494,4,59
118493,5,45
118492,0,84
118491,4,14
118490,5,41
110378,5,41
110379,8,59
110372,0,84
110373,8,59
110370,5,58
110371,9,57
110376,8,59
110377,9,57
110374,9,57
110375,4,36
118149,5,83
118148,4,14
104469,0,84
104468,0,84
118141,7,28
118140,7,33
104461,9,19
104460,4,83
104467,4,98
104466,9,57
104465,0,84
104464,5,96
99368,9,19
118230,0,85
98062,9,30
98063,9,57
98060,5,1
98061,4,13
98066,0,84
98067,9,57
98064,8,90
98065,5,55
98068,4,15
98069,0,43
93908,4,13
93909,7,28
93904,8,63
93905,7,90
93906,0,68
93907,0,68
93900,4,29
93901,8,59
93902,0,85
93903,4,14
105739,8,59
105730,5,45
105731,5,45
105732,8,59
97262,5,55
105735,0,75
107463,9,57
1266886,7,28
99088,9,19
107466,9,12
107467,7,28
107464,5,41
107465,4,14
99083,4,49
99082,0,68
107468,9,57
99080,8,59
99087,5,55
99086,8,14
99085,4,14
99084,5,55
112338,4,11
112339,5,96
112335,5,96
112336,0,75
112337,5,45
112330,8,59
112331,0,84
112332,5,96
98938,5,29
98939,9,30
98934,9,34
98935,9,34
98936,5,13
98937,5,59
98930,9,57
98931,5,1
98932,8,1
98933,5,41
108027,4,13
108026,5,58
108025,9,57
108024,9,57
108023,0,14
108029,4,15
108028,5,96
112590,8,1
112591,4,59
112592,4,13
112593,5,8
112594,4,13
112595,8,63
112596,5,1
112597,0,84
112598,5,96
112599,4,46
92675,0,85
100185,4,49
100186,0,14
102173,5,1
102172,5,55
102171,0,85
102170,8,1
102177,4,73
102176,5,55
102175,8,63
102174,5,45
100180,5,41
100181,4,15
92673,5,1
92672,8,59
92679,9,57
106413,4,41
106414,4,13
106415,5,96
106416,5,16
106417,8,58
1093774,4,58
109088,8,83
109089,8,13
109086,4,81
109087,4,4
109084,5,55
109085,8,13
109082,9,57
109083,8,84
109080,7,28
100156,7,28
100154,7,28
100153,8,78
100152,8,61
100151,4,63
100150,4,73
100159,4,73
100158,4,59
92628,4,73
92629,4,73
92622,4,73
92623,5,14
92620,5,30
92621,8,58
92626,5,55
92627,0,5
92624,8,46
92625,4,63
109647,7,28
88540,4,49
88541,9,57
88542,8,98
109643,9,19
109648,7,28
109649,4,16
86889,5,45
86888,0,68
86887,5,96
86886,5,90
86885,4,13
86884,5,41
86883,9,57
86882,7,90
86881,5,55
86880,4,29
93575,8,46
93574,9,34
93577,0,14
93576,0,85
93571,4,83
93570,4,83
93573,7,28
93572,5,1
93579,0,75
101289,0,14
98545,8,9
98544,4,73
98547,5,55
98546,7,28
98541,9,19
98540,5,41
98543,8,59
98542,8,83
98549,8,90
98548,5,45
85280,5,41
85281,9,57
104102,8,83
85283,5,55
104104,4,98
104105,4,73
104106,4,71
85287,5,61
104108,7,28
104109,4,15
108851,5,58
95216,4,83
95217,8,79
95214,4,59
95215,8,46
95212,8,78
95213,4,49
92247,5,41
86717,8,9
86716,5,41
86715,5,1
2528498,8,58
86713,4,59
86712,5,55
86711,5,1
86710,5,13
86719,5,55
86718,5,1
2513953,4,45
2513954,5,58
96338,5,55
96339,8,9
89138,7,29
89139,4,16
89132,4,16
89133,9,30
89130,9,19
89131,9,34
89136,4,83
89137,8,9
89134,8,83
89135,5,1
88841,5,1
88840,7,64
88843,4,16
88842,0,84
88845,4,58
88844,8,59
103349,9,30
103348,8,14
103347,8,46
88848,8,83
103345,4,15
103344,4,36
103343,8,83
103342,5,8
103341,8,13
103340,9,19
2790213,7,28
2789927,7,33
2789928,9,19
88265,8,58
88264,7,12
88267,9,58
88266,4,83
88261,8,9
88260,8,59
88263,8,83
88262,4,71
88269,4,81
88268,9,34
97063,5,55
97062,7,94
97061,5,67
97060,9,19
97067,8,46
97066,8,9
97065,0,75
97064,5,96
95511,5,67
95510,8,83
95513,8,59
90599,4,59
95515,5,1
95514,9,34
95517,5,13
95516,4,13
95519,8,9
95518,7,28
90590,4,83
90591,4,81
90596,8,9
90597,9,19
90594,8,59
90595,8,83
2516298,5,81
94049,4,15
90040,5,58
90041,4,14
90042,7,64
90043,4,14
90044,7,28
90045,8,16
90046,9,34
90047,4,41
90048,4,41
90049,8,61
94047,8,1
112868,4,15
112869,0,75
112860,4,78
112861,5,59
112862,4,14
112863,8,59
112864,5,56
112865,5,50
112866,7,7
112867,8,58
94749,4,36
94748,8,58
94743,8,58
94742,8,59
94741,8,59
94740,0,43
94747,0,43
94746,5,58
94745,8,78
94744,5,67
89680,9,19
108501,8,59
89682,9,34
1087730,0,85
1087733,9,19
1087734,4,45
1087737,0,85
1087739,5,13
1087738,9,19
1279722,9,1
89859,8,14
89858,5,55
89851,5,67
89850,4,81
89853,5,41
89852,0,75
89855,4,14
89854,4,81
89857,0,85
89856,0,84
108608,7,28
97809,5,58
97808,7,64
97801,4,20
97800,8,59
97803,4,15
97802,5,96
97805,4,16
97804,7,94
97807,5,96
97806,9,34
108602,5,67
89938,8,46
117993,9,19
117992,9,98
117991,7,64
117990,4,16
117997,4,61
117996,4,45
117995,5,55
117994,9,34
117999,9,34
117998,9,34
106845,9,34
111740,9,34
111741,4,58
111742,4,49
111743,5,55
111744,5,96
111745,5,96
111746,0,85
111747,7,28
111748,8,14
111749,5,55
108604,5,67
104252,5,41
91701,8,46
92352,0,14
92353,9,34
92350,9,34
92351,0,84
92356,9,34
92357,5,16
92354,5,55
92355,8,38
104254,9,34
92358,8,34
92359,8,59
104255,9,34
93115,5,1
93114,8,84
2392217,8,83
98387,5,1
98386,8,9
98385,4,61
98384,4,78
98383,9,59
98382,5,46
98381,8,83
98380,5,1
1395207,0,84
98389,5,55
98388,8,9
92976,8,59
92977,8,59
92974,8,9
92975,9,19
92972,9,58
92973,5,96
92970,7,14
92971,4,98
92978,4,36
92979,5,16
96073,7,99
96072,8,59
96071,4,16
96070,0,75
96077,8,9
93008,4,16
96075,5,13
96074,8,9
104346,8,13
104347,4,15
93007,4,81
93006,8,59
93001,4,52
93000,9,19
104340,9,19
104341,5,41
801500,0,84
801501,9,34
106278,8,59
106279,5,1
106270,0,14
106271,5,1
106272,4,45
106273,8,59
106274,5,96
106275,0,68
106276,5,96
106277,9,34
104698,4,83
104699,8,14
1319968,8,9
104690,8,83
104691,4,16
104692,7,28
104693,5,45
104694,5,55
104695,8,49
104696,5,55
104697,8,13
106182,8,90
106183,8,27
106180,4,58
106181,4,16
106186,4,97
106187,8,69
105561,5,41
106188,5,16
105562,5,67
105565,4,81
105566,5,41
102692,5,30
102693,7,16
102690,5,96
102691,9,69
102696,4,20
102697,9,57
102694,8,1
102695,5,45
102698,4,11
102699,4,59
99168,4,15
99169,4,29
99164,9,30
99165,5,55
99166,8,41
99167,5,55
99160,5,1
99161,8,79
99162,4,29
99163,7,28
1520678,7,28
102036,8,52
102037,5,1
102034,4,16
102035,9,59
102032,5,96
102033,5,41
102030,9,30
102031,5,67
102038,5,15
102039,7,28
107633,5,96
107631,8,59
107630,9,34
107637,5,58
107636,5,55
107635,5,58
107634,5,58
107638,5,58
1866189,8,90
108782,4,15
108783,8,59
108780,5,1
108781,0,63
108786,4,81
108784,8,5
108785,9,69
858289,5,41
858288,7,28
91098,8,79
91099,4,13
91094,0,84
91095,4,73
91096,4,61
91097,8,9
91090,5,41
91091,5,41
91092,8,9
91093,8,59
89424,0,14
103637,5,58
103636,9,19
103635,4,81
103634,0,68
103633,4,59
103632,0,84
103631,8,46
103630,4,15
103639,8,90
103638,0,75
91548,5,1
91549,8,9
91542,7,3
91540,8,99
91541,9,34
91546,8,9
91547,4,31
91544,5,45
91545,9,19
101671,5,45
101673,5,58
101672,5,55
101675,5,45
101674,0,14
101677,5,96
101676,5,55
101679,4,98
101678,9,34
109125,8,59
109124,5,67
109127,8,59
109126,4,49
109121,9,98
109120,9,13
109123,7,28
109122,4,16
109129,4,10
109128,8,83
92015,8,59
92014,8,1
92017,6,88
92016,5,67
92011,4,11
92010,8,58
92013,8,59
92012,5,59
92019,8,84
92018,4,81
101095,8,59
101094,4,49
101097,4,14
101096,4,73
101091,9,34
101090,6,52
101093,5,1
101092,4,31
101098,9,34
111982,5,1
111983,0,94
111988,8,59
109553,8,98
109555,9,34
85749,7,41
85748,5,67
85741,8,1
85740,8,83
85743,5,96
85742,8,45
85745,5,38
85744,0,69
85747,4,41
85746,8,59
106704,5,41
146560,8,58
106706,5,67
87677,8,13
87676,8,49
87675,4,14
87674,4,16
87673,8,83
87672,7,28
87671,8,46
87670,4,38
87679,5,45
87678,4,16
218665,4,13
218667,5,61
218666,0,14
2620868,0,85
106702,8,59
88229,0,85
88228,9,19
86106,5,58
86107,8,58
86104,8,58
86105,8,58
86102,4,83
97029,8,99
86100,0,69
86101,8,98
95890,5,9
95891,8,1
95892,5,1
84972,4,59
95894,4,98
95895,9,30
86108,5,96
86109,5,79
88221,8,83
88220,5,41
88223,7,28
88650,7,28
88651,5,96
88652,0,85
88653,4,29
88654,7,14
88655,8,76
88656,9,76
88657,5,55
88658,8,58
88659,8,83
145221,4,98
84978,4,59
127897,8,59
97020,0,84
96279,9,57
96278,5,8
96275,4,16
96274,8,14
96277,5,1
96276,5,41
96271,0,84
96270,8,9
96273,8,13
96272,8,61
89305,9,34
89304,0,84
2421297,4,16
89306,7,14
89301,4,73
89300,8,46
89303,8,90
89302,8,46
89309,5,41
89308,5,96
97638,5,67
97639,5,1
97632,8,77
97633,4,98
97630,9,46
97636,8,58
97637,9,19
97634,5,41
97635,4,83
90941,5,55
90940,9,19
90943,8,95
90942,9,34
90945,8,58
90944,5,41
90947,5,1
90946,5,41
90949,5,41
90948,5,16
106543,5,81
2808294,5,1
2808291,4,13
2808292,7,90
2808293,4,49
118237,5,1
118236,4,15
118235,9,19
118234,5,55
118233,8,59
118232,9,34
118231,0,85
99369,5,55
99366,9,34
99367,9,34
99364,9,34
99365,9,34
99362,5,41
99363,5,41
99360,4,81
99361,4,61
106546,9,34
90365,9,34
90364,4,81
90367,4,16
90366,4,14
90361,0,75
90360,4,31
90363,9,34
90362,9,34
90369,8,49
90368,4,13
95700,4,15
95701,5,1
95702,9,34
95703,5,38
95704,8,9
95705,0,75
95706,8,9
95707,8,90
95708,4,14
95709,8,14
106547,5,59
93003,4,14
106544,4,81
91862,4,16
106545,4,98
91704,8,9
106846,9,19
91706,8,83
106844,8,46
91700,7,94
106842,4,13
91702,8,59
106840,9,19
91708,9,19
91709,5,13
106848,9,20
145448,5,83
145449,9,19
93702,8,36
93703,5,1
93700,4,31
93701,4,1
93706,4,14
93707,8,59
93704,8,46
93705,8,83
93708,5,13
93709,8,83
110468,7,86
110469,5,1
110462,8,59
110463,7,59
110460,0,85
110461,8,71
110466,8,59
110467,7,90
110464,0,85
110465,8,59
95285,4,16
95284,4,36
95287,5,14
95286,4,59
95281,4,81
95280,8,9
95283,5,1
95282,4,58
95289,9,19
95288,8,41
98772,4,16
98773,7,28
98770,7,28
98771,4,59
98776,4,16
98777,4,16
98774,4,16
98775,4,14
98778,5,41
98779,5,1
100878,5,55
100879,5,45
96147,7,28
100874,4,14
100875,4,58
100876,8,52
100877,4,59
100870,5,55
100871,4,33
100872,4,58
100873,5,97
104559,4,31
104558,4,31
104557,4,31
104556,4,14
104555,4,20
104554,8,69
104553,4,13
104552,8,13
104551,7,94
104550,4,59
98196,5,45
98197,4,58
98194,4,13
98195,4,16
98192,4,11
98193,8,98
98190,4,81
98191,4,59
1101269,0,41
98198,4,14
98199,5,55
96143,5,94
99829,8,59
99828,4,31
99825,4,16
99824,4,11
99827,8,90
99826,9,34
99821,5,55
99820,5,1
99823,4,16
99822,4,29
809122,4,78
96142,9,34
106028,5,41
106021,5,41
106020,4,58
106023,8,58
106022,7,7
106025,4,31
106024,8,58
106027,0,14
106026,9,34
112280,5,59
112281,5,96
112282,4,14
112283,0,43
96140,5,13
85839,8,75
85838,4,31
112752,4,15
112753,5,55
112750,4,81
112751,4,38
85833,8,58
85832,4,83
112754,6,66
112755,0,85
107773,8,59
94213,9,34
94212,9,34
91188,5,1
94219,4,14
91189,5,32
97093,5,98
88412,4,20
88413,4,16
88410,0,58
88411,0,68
88416,4,73
88417,4,29
88414,9,19
88415,7,28
88418,4,15
88419,4,58
100467,5,30
100466,4,61
100465,8,9
100463,5,38
100462,5,67
100461,4,49
100460,4,4
91180,8,59
100469,4,81
91181,0,43
91186,9,19
91187,4,29
91184,4,29
91185,7,31
86113,5,67
87998,4,14
87999,8,59
87992,5,1
87993,4,15
87990,9,57
87991,8,9
87996,4,81
87997,8,39
87994,4,83
87995,8,46
100791,4,73
100790,5,58
100793,4,3
100792,4,15
100795,9,13
100794,0,43
100797,0,43
100796,8,59
100799,8,79
100798,8,59
101172,8,58
101170,4,58
101171,5,75
101176,7,3
101177,7,28
101174,4,59
93420,4,38
103844,5,45
103845,6,66
103846,8,13
103847,4,58
103840,8,46
103841,5,67
103842,4,49
103843,4,45
103848,7,15
103849,8,58
100123,5,41
91230,4,31
91231,8,9
91232,8,13
103762,8,59
91234,4,38
91235,4,83
103767,4,49
100121,8,59
103766,9,19
91238,8,58
91239,4,61
728300,8,13
107021,5,13
111139,8,52
111138,6,12
118417,4,61
118416,9,19
118415,8,13
118414,8,59
118413,8,83
118412,5,41
118411,8,58
118410,5,46
110660,4,20
110661,8,59
110662,8,13
110663,8,63
110664,0,84
110665,9,19
110666,5,55
118418,8,52
89408,9,19
89409,5,13
89402,4,13
89403,7,28
89400,9,34
89401,0,69
89406,7,28
89407,8,58
89404,8,59
89405,0,45
85837,4,58
85836,0,68
85835,8,9
85834,5,67
85831,5,33
93991,4,78
85830,4,14
87929,4,58
109258,5,72
87927,7,28
95918,4,20
109256,5,98
95915,0,75
95914,5,30
95917,0,14
95916,5,41
95911,4,90
109255,4,38
95913,8,59
95912,5,96
87924,4,49
87923,4,31
109221,4,15
87922,8,9
88755,5,55
88754,7,90
88757,4,59
88756,4,13
88751,5,41
87921,4,73
88753,4,78
88752,7,28
87920,4,63
88759,5,58
88758,4,90
87220,5,41
96758,7,7
96759,5,1
96752,5,96
96753,5,45
96750,4,15
96751,9,34
96756,4,15
96757,4,59
96754,4,20
96755,5,1
2358,4,38
2359,4,38
2357,7,94
1783525,5,41
94182,5,1
93984,4,81
93986,8,59
93987,8,83
93980,8,9
93981,4,15
93982,8,1
93983,8,59
93988,8,83
93989,0,14
97405,4,15
97404,8,83
97407,9,34
97406,5,1
97401,5,55
97400,5,67
97403,5,67
97402,5,45
97409,9,34
97408,5,49
94660,4,29
94661,4,81
94662,5,28
94664,9,34
94665,0,84
94666,4,73
94667,8,63
94668,9,30
94669,0,85
102241,8,90
102240,5,96
102243,7,28
102242,4,29
102245,4,16
90755,8,83
90756,8,14
102246,5,55
102249,8,9
90759,5,1
112518,8,9
112519,4,36
104959,8,59
104958,5,79
112510,7,64
112511,5,55
104951,5,55
104950,8,16
112514,5,58
104956,8,46
104955,8,59
104954,8,81
99667,4,16
99666,4,13
99665,8,45
99664,5,58
99663,4,16
99662,7,12
99661,4,31
99660,0,68
111894,8,59
111895,4,14
111890,4,14
111891,5,9
99669,0,75
111893,4,41
95133,8,98
95132,0,85
95131,7,94
95130,5,1
95137,7,41
95136,5,1
95135,5,13
95134,4,81
95139,4,20
95138,4,78
88347,7,28
86118,4,73
92765,4,69
92764,4,16
109224,5,58
107361,5,1
107360,5,1
107362,4,73
107365,4,15
107367,5,41
107366,5,1
107369,9,98
107368,4,59
92769,5,38
145879,8,46
145878,8,59
145873,9,30
145872,4,14
145871,4,38
145870,8,59
145877,4,16
145876,7,3
145875,8,9
145874,8,59
91937,5,41
91936,9,34
91935,4,58
91934,4,83
91933,4,38
91932,4,38
91931,9,19
91930,8,69
88349,5,96
91939,4,58
91938,0,58
107981,5,1
107980,9,19
107982,9,98
