,km_10,km_100
86444,8,59
86443,1,41
86442,4,58
86441,1,21
86440,1,21
106146,7,79
106142,9,30
106143,0,85
106141,4,83
102656,8,9
102657,6,31
102654,4,20
102655,8,90
102652,1,21
102653,1,20
102650,1,66
102651,8,37
102658,6,10
102659,0,68
108434,6,66
108435,8,83
108436,9,34
108437,8,59
108430,8,76
108431,6,66
108432,8,91
108433,1,13
108438,4,38
108439,1,21
2788983,5,55
2788982,1,21
90585,7,28
89042,1,80
89043,1,21
89040,8,83
89041,3,41
89046,1,39
89047,8,70
89044,7,35
89045,7,64
90584,7,64
89048,7,64
89049,4,83
103017,5,67
103016,3,56
103015,9,33
103014,6,10
103013,8,70
103012,1,12
103011,8,36
103010,8,59
85936,1,21
85937,0,85
85934,6,10
85935,1,12
85932,8,90
85933,8,52
103019,7,28
103018,4,3
90586,7,86
87471,6,10
87470,1,21
87473,9,30
87472,1,94
87475,6,12
109740,5,55
87477,6,10
87476,0,94
87479,5,1
87478,8,94
109749,1,21
109748,8,59
88869,1,21
3187539,8,46
103321,3,50
88319,8,99
88318,4,59
88866,1,21
88315,1,86
88314,8,59
88317,8,59
88316,8,59
88311,7,28
88310,7,59
88313,7,86
88312,1,21
2483562,1,52
88864,1,21
88863,1,21
103324,1,21
1236479,6,10
88861,1,21
103326,1,21
100098,1,21
100099,1,21
100096,7,86
100097,4,49
100094,8,9
100095,1,30
100092,5,55
100093,1,21
100090,9,30
100091,4,15
107826,8,56
90422,8,69
90423,1,21
90420,5,1
90421,9,19
90426,7,35
90427,8,59
90424,0,42
90425,6,12
90428,8,92
90429,6,88
90398,6,10
90399,6,10
90390,1,36
90391,8,59
90392,9,19
90393,6,10
90394,4,73
90395,0,85
90396,1,69
90397,8,53
101329,8,59
101328,1,21
101325,8,59
101324,1,46
101323,8,59
101322,8,23
101321,5,55
101320,8,59
85169,8,52
85168,5,96
85161,8,37
85160,7,11
85163,7,35
85162,8,33
85165,4,13
85164,4,73
85167,8,13
85166,8,59
2389766,8,13
109574,7,28
109575,7,35
109572,8,33
109573,1,21
109570,1,44
109571,1,36
111630,8,59
111631,8,3
111632,6,10
111633,1,76
111634,1,92
111635,1,21
95278,6,66
95279,1,1
95271,7,3
95272,7,86
95273,7,86
95274,7,86
95275,8,52
95276,8,86
95277,4,15
94897,8,38
94896,6,12
94895,1,98
94894,0,5
94893,9,19
94892,1,92
94891,8,9
94890,8,9
94899,3,72
94898,4,15
95858,5,55
95859,9,19
92808,7,28
92809,6,66
92806,1,21
92807,1,52
92804,1,21
92805,6,11
92802,1,21
92803,8,52
92800,1,21
92801,9,19
89525,1,83
89524,8,59
89527,1,21
89526,4,59
89521,1,38
89520,1,21
89523,8,52
89522,5,20
2012233,0,42
89529,0,42
89528,1,83
110273,6,10
110272,6,10
110271,8,59
110270,5,96
110275,8,59
110274,8,86
88241,8,52
88240,7,86
88247,1,88
88246,7,13
88245,1,21
88244,1,21
105147,9,30
105146,4,38
105145,8,33
105144,7,3
105143,1,97
105142,7,7
105141,1,21
100853,7,35
105149,1,21
105148,8,59
100856,5,40
100857,8,83
93867,5,97
93866,4,38
93865,8,52
93864,5,55
93863,1,21
93862,7,7
93861,8,59
93860,1,67
100855,6,10
93869,8,56
93868,8,52
107789,0,42
107788,7,21
107783,9,34
107782,8,91
107781,1,21
107787,8,59
107785,6,66
107784,6,88
94075,8,35
94074,8,59
94077,7,64
94076,1,33
94071,1,21
94070,4,16
94073,4,38
94072,7,94
94079,8,5
94078,0,85
90985,0,94
90984,0,42
102496,7,86
90986,7,28
102490,8,18
102491,1,21
90983,4,59
102493,7,21
90989,5,96
102499,8,59
108632,9,98
108633,5,67
108630,4,15
108631,8,59
108636,1,21
108637,1,21
108634,1,21
108635,9,30
108638,7,28
108639,7,94
1321753,1,21
110706,6,10
108188,8,36
108189,1,41
108184,1,15
108185,7,28
108186,1,21
108182,1,56
108183,7,86
91165,8,9
91166,4,15
91167,1,21
91160,1,21
91161,6,66
91168,1,21
91169,8,34
106551,1,98
91293,9,19
109581,1,21
91291,4,15
109587,1,21
91297,8,26
91294,7,28
91295,7,20
106559,0,68
106558,1,21
91298,0,85
109588,7,86
858086,4,20
858085,7,86
105928,1,21
105921,8,12
105920,8,59
105923,1,21
105922,6,31
105925,1,21
105924,7,3
105927,8,46
105926,1,21
91836,9,34
91837,8,59
91834,8,59
91835,1,21
91832,1,80
91833,1,21
91830,1,21
91831,1,30
91838,8,52
91839,1,21
100258,4,38
100259,7,7
107209,1,21
100254,7,94
100255,5,55
100256,1,21
107205,1,4
100250,0,85
100251,1,21
107200,1,21
107201,1,21
107217,6,12
117858,8,2
117859,6,66
117852,1,38
117853,6,66
117850,7,86
117851,9,19
117856,6,10
117857,6,10
117854,7,35
117855,7,35
107212,8,66
93478,8,38
93479,1,69
220342,0,94
101125,9,30
101124,1,27
93476,0,41
101126,1,52
101121,7,28
93471,7,3
101123,7,35
93473,1,21
98228,1,21
98224,7,28
98225,7,28
98226,1,21
98227,1,21
98220,1,15
98221,1,52
98222,1,91
98223,8,59
85369,8,52
85368,8,46
85363,7,28
85362,1,21
85361,5,62
85360,6,10
85367,7,28
85366,6,12
85365,9,30
85364,6,10
87211,8,46
87210,1,35
87213,1,70
87212,6,36
87215,7,59
87214,1,21
87217,1,21
87216,8,91
87219,7,12
87218,7,28
2230740,1,76
799980,1,21
799981,0,14
799982,7,59
799983,3,54
799984,1,21
799985,7,86
799986,8,59
799987,7,3
3213873,4,15
3213872,6,66
3213871,7,86
1852339,1,21
621293,8,9
621294,8,59
1087888,9,91
2621064,6,66
2621066,1,21
2621067,1,40
2621060,6,66
2621062,7,28
2621063,8,26
91339,1,21
103198,6,10
103199,1,21
103192,6,10
103193,9,19
