,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000,hc_10,hc_100,hc_1000
109933,4,63,581,4,48,693,1,0,61
109930,4,53,276,8,43,201,1,1,355
109931,4,4,719,4,52,167,1,69,691
107159,4,4,946,4,94,56,1,8,17
107150,4,21,339,4,92,675,1,31,227
107151,4,36,437,8,29,776,1,46,439
112024,4,2,199,8,43,163,1,71,54
112025,4,63,679,9,40,606,1,8,418
112026,4,72,964,5,36,582,1,59,451
112027,4,4,406,4,97,264,1,8,475
112020,4,5,353,4,51,264,1,0,861
112021,4,4,816,8,43,761,1,42,793
112022,4,10,322,7,65,441,1,1,640
112023,4,12,162,6,7,74,1,49,207
112028,4,5,763,0,71,242,1,1,532
112029,4,40,923,5,20,704,1,40,51
88508,4,40,46,5,15,811,1,8,952
88509,4,12,162,6,97,130,1,5,551
109680,4,12,162,6,7,74,1,49,867
109681,4,40,46,5,20,32,1,40,228
109682,4,31,888,4,97,15,1,1,271
109683,4,72,475,7,36,582,1,59,451
109684,4,19,652,4,20,27,1,92,625
109685,4,12,162,6,7,74,1,49,867
88506,4,12,162,6,7,74,1,49,867
109687,4,4,244,5,15,590,1,58,339
108085,4,12,162,6,7,74,1,32,900
108084,4,4,260,0,55,515,1,45,3
108083,4,88,91,4,52,895,1,76,278
108089,4,4,47,4,31,816,1,1,975
108088,4,31,216,4,48,870,1,8,470
182991,4,21,742,4,62,675,1,1,934
182990,4,12,162,6,51,274,1,66,335
182992,4,4,256,4,48,730,1,8,333
103290,4,12,637,7,81,170,1,9,82
799988,7,52,882,8,51,214,9,98,834
100689,4,4,149,8,43,800,1,1,882
100688,4,4,581,4,48,870,1,8,470
799989,4,4,28,6,7,393,1,76,398
100683,4,89,558,8,3,691,1,1,10
100682,4,97,469,8,20,797,9,73,955
100681,4,21,175,5,62,939,1,8,307
100680,4,4,439,4,52,230,1,71,54
100687,4,4,28,4,48,6,1,1,934
100686,4,4,476,4,52,526,1,1,10
100685,4,21,742,4,92,675,1,8,17
108339,4,60,701,4,94,278,0,81,908
108338,4,12,957,3,95,894,1,9,471
108337,4,4,867,8,51,92,1,68,780
108336,4,4,390,4,97,15,1,9,52
108335,4,4,823,4,97,264,1,0,158
108334,4,2,258,8,20,104,1,32,900
108333,4,50,516,1,95,376,1,8,433
108332,4,53,918,5,78,287,1,1,963
108331,2,9,373,4,18,277,1,1,94
108330,9,69,603,2,8,121,0,4,769
91375,4,66,145,5,47,446,1,88,55
103485,9,25,659,6,17,694,1,1,777
103486,4,4,440,4,52,870,1,8,418
103487,4,4,581,4,52,394,1,41,179
103480,4,0,346,6,40,260,1,22,83
103481,4,53,894,5,78,568,1,1,314
103482,4,4,564,4,18,418,1,8,285
103483,4,4,728,2,6,589,1,44,483
103488,4,4,258,6,7,393,1,8,952
103489,4,3,70,4,51,976,1,1,355
87880,4,40,473,5,20,296,1,32,971
87881,4,31,945,4,0,300,1,8,333
87882,4,4,162,4,13,15,0,4,256
87883,4,50,863,5,26,490,1,1,532
87884,0,79,226,4,97,826,1,78,871
87885,4,50,516,5,94,456,0,4,86
87886,4,45,97,0,71,623,5,51,123
87887,4,97,973,8,20,352,1,1,331
87888,4,31,216,4,56,870,1,8,470
87889,4,31,792,0,84,233,1,2,464
95085,4,12,162,6,7,74,1,49,207
95084,2,9,796,4,80,739,1,1,15
99799,4,2,447,8,20,646,1,1,825
99798,4,10,284,4,52,967,1,71,178
97813,4,31,203,2,84,175,1,2,624
103296,4,4,256,4,56,730,1,8,156
86829,4,12,520,6,37,268,1,1,70
86828,4,2,748,8,20,813,1,38,273
86821,4,21,742,0,92,455,1,2,349
86820,4,22,436,4,52,916,1,44,191
86823,4,36,676,2,69,454,1,9,957
86822,4,4,28,6,97,653,1,5,262
86825,4,59,441,8,43,496,1,1,882
86824,4,56,288,5,55,598,1,45,3
86827,4,4,775,4,78,663,1,1,314
86826,4,59,188,8,43,68,1,8,952
95089,4,31,395,4,94,417,1,9,52
95088,4,63,581,9,84,852,1,1,699
99795,4,4,476,4,37,15,1,8,17
95628,4,21,742,4,62,689,1,31,45
105011,4,4,728,4,94,589,0,4,887
105010,4,4,942,6,86,341,1,17,209
105013,4,4,564,4,18,418,1,8,418
105012,4,66,891,5,92,285,1,88,37
105015,4,31,629,4,0,175,1,9,739
105014,4,4,149,8,43,749,1,1,355
105017,4,4,439,4,52,967,1,71,54
105016,4,53,276,8,43,201,1,1,882
105019,9,73,341,3,19,921,1,9,672
105018,4,31,203,0,84,175,1,2,464
4023631,9,22,331,2,45,699,1,86,458
4023639,4,4,256,4,18,730,1,70,276
87066,4,2,683,8,20,652,1,53,125
87067,4,2,199,8,43,652,1,1,331
87064,4,5,484,8,78,800,6,54,503
87065,4,5,353,4,78,800,6,54,503
87062,4,4,28,8,7,496,1,34,57
87063,4,21,600,5,62,939,1,1,314
87060,4,88,91,4,52,74,1,58,956
87061,4,88,91,4,52,895,1,58,956
94930,4,10,211,5,39,656,1,45,154
122260,4,88,793,4,52,262,1,58,596
122263,4,4,149,4,18,816,1,8,952
94933,4,64,66,5,52,53,1,65,409
122265,4,4,28,4,52,896,1,32,971
94935,4,12,10,9,28,364,6,54,97
87068,4,4,439,4,52,230,1,71,54
87069,4,97,973,8,20,901,1,1,684
118501,4,40,46,5,20,811,1,1,589
118500,4,53,918,8,43,422,1,40,717
118503,4,31,823,8,78,233,1,92,625
118502,4,66,295,5,47,604,1,88,37
118505,5,85,401,2,64,408,1,23,715
118504,4,31,717,8,93,848,1,6,663
118507,4,4,816,8,43,761,1,1,594
118506,4,45,25,0,71,48,5,51,382
118509,4,4,322,4,97,816,1,17,583
110732,4,49,520,9,93,268,1,8,225
110733,4,12,530,5,3,186,1,8,746
110730,4,31,698,5,28,659,1,1,824
110731,4,31,15,0,71,300,1,2,464
110736,4,31,748,8,47,813,1,8,17
110737,9,78,64,3,81,258,1,12,72
110734,4,12,806,8,3,358,1,19,113
110735,4,4,28,6,7,74,1,30,180
110738,4,60,728,4,17,589,1,87,724
110739,4,89,528,6,39,65,1,8,418
96398,4,21,760,5,62,675,1,8,952
96399,1,18,404,7,65,685,1,70,276
94298,1,55,6,7,65,978,1,70,276
96392,4,53,514,8,78,567,1,1,355
96393,9,10,180,6,98,476,1,16,44
96390,4,31,461,4,48,387,0,4,229
96391,9,73,989,7,35,748,1,85,526
96396,4,4,579,4,48,208,1,70,512
96397,4,4,28,4,56,6,1,66,335
96394,4,38,23,5,13,953,7,3,651
96395,4,72,592,7,55,835,1,79,937
110088,4,5,416,4,18,690,1,16,214
110089,4,59,1,8,51,496,1,1,994
110085,4,4,28,6,7,749,1,92,280
110086,4,85,9,3,37,345,1,1,560
110087,0,79,135,5,97,89,1,78,204
110080,4,4,28,8,34,6,9,98,157
110081,4,85,572,1,25,475,1,93,101
110082,4,4,256,4,18,526,1,8,470
149288,4,2,622,8,20,646,1,1,974
149289,4,40,46,5,20,296,1,1,331
149285,4,4,868,8,31,759,1,8,420
149287,4,60,820,4,94,290,0,4,86
96640,4,4,28,8,20,896,1,32,971
96641,4,4,149,4,18,816,1,41,179
96642,4,4,370,8,51,92,1,8,307
96643,4,35,779,8,62,535,1,1,975
96644,9,10,959,8,34,441,1,8,952
96645,4,21,175,4,62,939,1,8,952
96646,4,4,564,4,18,418,1,8,307
96647,4,89,592,7,55,404,1,59,43
96648,4,4,322,4,97,816,1,1,10
96649,4,4,284,5,71,967,1,71,178
97513,4,2,105,8,3,104,1,1,10
97512,4,76,871,6,78,900,1,1,331
97511,4,59,614,8,43,68,1,1,247
97510,4,59,188,8,47,267,1,28,60
97517,4,60,701,2,94,278,0,4,979
97516,4,31,945,9,0,175,1,22,83
97515,4,31,792,0,84,175,1,23,528
97514,4,75,61,0,42,765,1,96,313
97519,4,4,440,4,48,56,1,1,146
97518,4,5,322,8,71,441,1,8,418
118084,4,5,484,8,43,800,1,17,583
118085,4,97,553,5,78,448,1,58,339
102539,4,4,637,3,1,170,1,9,110
102538,4,54,61,0,42,266,1,77,53
118080,4,31,395,4,94,276,1,8,418
118081,4,4,149,8,51,816,1,76,398
118082,4,4,28,8,43,6,1,1,594
118083,4,31,395,4,51,15,1,9,52
102533,4,4,370,8,51,92,1,1,355
102532,4,36,452,2,29,454,1,46,986
102531,4,63,270,4,67,693,1,8,307
102530,4,4,391,2,1,867,1,8,307
102537,4,72,51,7,55,835,1,79,937
102536,4,4,486,0,20,623,1,89,152
102535,4,2,199,8,20,163,1,76,278
102534,4,93,403,8,47,251,1,68,469
95609,4,12,162,6,7,74,1,49,16
95608,4,4,581,0,71,394,1,8,17
95601,4,93,640,8,47,225,1,68,469
95600,4,4,775,1,78,663,1,1,314
95603,4,88,91,3,57,895,1,58,65
95602,4,55,203,1,4,312,1,79,440
95605,4,10,322,4,17,270,1,1,496
95604,4,20,185,2,94,66,0,81,213
95607,4,65,631,0,25,993,1,1,494
95606,4,4,439,5,67,852,1,1,498
112622,3,96,364,1,9,315,1,7,892
112623,4,45,624,0,71,610,5,51,590
112620,4,10,211,5,39,656,1,45,3
112621,5,85,410,1,70,494,1,87,740
112626,4,89,868,4,36,759,1,8,433
112627,4,12,406,4,97,264,1,92,280
112624,4,22,965,4,56,916,1,0,158
112625,4,31,564,4,18,974,1,70,276
112628,4,3,650,4,51,879,1,70,276
112629,4,31,888,4,97,15,1,70,276
92558,4,63,284,4,71,967,1,71,178
107019,4,4,28,4,52,6,1,66,120
107018,4,63,108,4,67,785,1,66,132
107013,4,12,529,0,55,629,1,38,273
92551,4,4,735,2,29,867,1,9,957
107011,4,60,525,4,17,678,1,70,723
814956,4,4,390,4,94,15,1,70,512
107017,4,4,772,4,18,418,1,8,418
92555,4,89,558,0,84,691,1,1,15
92556,4,4,824,4,1,816,1,1,205
107014,4,90,84,9,96,760,1,8,418
3217227,4,5,7,2,77,227,1,9,448
96025,4,4,823,4,97,653,1,8,307
3217228,4,4,258,6,51,506,1,8,307
91609,9,7,196,4,23,464,1,8,952
91608,4,4,823,6,97,650,1,1,70
106948,4,72,475,7,36,28,1,59,451
106949,4,4,719,4,51,6,1,76,103
91605,4,88,91,4,74,895,1,58,339
91604,4,12,162,0,13,280,1,2,464
91607,4,88,793,5,57,664,1,58,596
106945,4,84,729,6,7,393,1,44,457
91601,4,12,10,9,28,274,1,1,271
91600,4,4,856,3,96,130,1,1,13
91603,4,10,322,4,97,441,1,17,808
91602,4,4,440,3,35,56,1,32,900
90673,9,25,309,7,79,259,1,13,370
93608,2,3,549,4,83,709,1,38,28
111723,4,8,293,6,89,365,1,1,915
90672,4,59,441,8,43,496,1,1,355
93603,4,97,973,8,20,901,1,1,331
93602,4,12,637,3,81,170,1,41,92
93601,9,60,924,1,17,779,0,4,86
93600,4,76,50,4,97,459,1,1,146
93607,4,22,965,4,52,111,1,16,214
93606,4,12,50,4,56,900,1,8,17
93605,4,12,304,0,84,852,1,8,433
93604,4,31,823,4,0,233,1,8,333
90670,4,89,378,4,18,755,1,8,307
90677,4,53,276,8,43,201,1,1,355
90676,4,4,775,4,78,663,1,1,314
90675,4,2,683,8,43,652,1,1,331
90674,5,11,625,3,12,91,1,10,344
104092,4,79,226,4,97,254,1,78,173
104093,5,85,831,4,83,58,1,8,285
104090,4,10,942,4,1,341,1,63,837
104091,4,12,942,6,86,341,1,63,837
104096,4,20,185,4,94,66,0,81,908
104097,4,31,564,4,0,974,1,8,307
104094,4,4,28,4,31,663,1,1,314
104095,7,52,730,8,48,554,1,11,160
104098,4,2,877,5,47,912,1,1,238
104099,4,30,644,4,34,639,1,44,778
90679,4,60,820,4,17,290,1,70,723
90678,4,60,820,4,94,290,1,87,497
2644672,4,29,107,4,18,562,1,11,160
2644673,4,10,322,7,65,441,1,1,640
205788,4,4,149,8,78,496,1,31,45
205789,4,4,28,4,52,870,1,1,472
800859,4,21,742,4,18,675,1,8,285
800858,4,2,683,8,20,652,1,92,280
104359,4,2,876,8,20,163,1,1,331
104358,4,4,544,6,7,167,1,8,952
104636,1,55,6,7,4,978,1,71,346
104637,4,64,66,5,52,53,1,65,409
104634,4,64,66,5,52,981,1,65,553
104635,4,64,66,5,52,981,1,65,553
104632,4,19,305,5,20,450,1,1,355
104633,4,19,127,5,20,27,1,1,355
104630,4,88,793,5,57,664,1,58,596
104631,4,19,652,8,20,641,1,1,355
104638,4,97,652,8,20,641,1,1,355
104639,4,4,149,8,78,800,1,8,421
104355,4,21,572,1,22,996,1,93,101
104354,4,5,484,8,43,800,1,31,45
93014,4,4,149,8,43,749,1,1,355
105323,4,4,28,4,78,800,6,54,503
105322,4,4,823,4,94,233,1,8,470
105321,4,40,46,5,20,811,1,8,421
105320,4,40,473,5,20,811,1,32,971
105327,4,4,933,6,7,522,1,56,734
105326,4,4,806,8,71,816,1,23,849
105325,4,40,923,5,20,704,1,40,47
105324,4,4,933,6,7,393,1,8,307
93012,4,12,816,8,43,506,1,1,824
105329,4,4,212,6,7,324,1,66,335
105328,4,70,886,8,43,451,1,42,282
96061,4,16,576,3,74,775,1,8,263
104353,4,4,322,4,97,816,1,57,424
93011,4,12,28,6,7,74,1,49,16
84808,4,63,416,8,67,690,1,1,94
107041,4,21,742,4,37,455,1,9,110
84779,4,4,28,8,43,800,1,57,424
84778,4,4,284,4,52,967,1,63,670
84777,7,52,484,8,78,792,1,32,971
84776,4,40,473,5,20,811,1,40,47
84775,4,19,652,8,20,409,1,1,974
84774,4,60,579,4,48,589,1,71,675
84773,4,12,933,5,92,522,1,1,217
84772,4,12,617,7,94,791,1,49,207
