,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000,hc_10,hc_100,hc_1000
98845,0,68,694,9,14,942,9,60,648
98846,0,98,555,9,83,861,4,36,167
98847,4,50,671,1,69,217,1,49,227
98848,4,42,830,4,87,705,2,6,32
98849,9,35,192,4,62,237,2,57,369
94178,7,45,218,7,4,989,9,92,36
94179,0,19,867,9,97,292,4,36,556
94174,7,52,774,7,16,904,9,60,413
94175,7,5,521,4,64,213,9,11,141
94176,9,63,803,3,66,579,2,48,730
94177,7,45,885,7,4,822,9,14,307
94170,0,16,300,9,83,494,4,36,52
94171,9,8,562,4,81,784,2,44,684
94172,9,8,643,4,9,340,2,85,661
94173,0,16,300,9,83,292,2,16,944
90668,9,17,10,4,9,71,2,44,434
90669,0,19,867,9,83,494,1,93,338
90664,0,68,568,0,14,913,4,18,872
90665,7,5,296,7,64,126,9,60,54
90666,9,17,512,4,49,755,2,31,522
90667,4,85,250,3,53,967,1,29,619
90661,0,16,3,9,83,60,2,75,919
90662,0,19,793,9,97,950,4,36,556
90663,0,16,815,9,48,983,4,36,900
112684,0,16,828,9,1,266,1,27,224
104866,4,98,703,3,48,256,2,85,267
104865,4,50,154,3,69,217,1,49,227
108738,8,6,392,0,7,433,5,42,818
112680,9,34,462,4,26,231,2,73,326
112681,8,60,353,0,60,166,4,18,51
112682,9,34,993,0,26,599,2,73,212
112683,0,98,859,9,48,256,4,36,554
108733,4,80,822,3,28,465,2,6,7
108732,4,43,875,1,51,715,2,16,678
108731,0,51,952,4,1,380,5,37,258
108730,0,98,434,9,28,843,2,6,370
108737,7,5,123,7,64,112,2,75,800
108736,9,8,378,4,81,112,2,25,746
104869,8,51,23,0,18,713,5,42,191
108734,0,67,629,9,12,576,2,25,738
3199502,8,60,713,0,60,149,4,18,753
102087,8,60,355,0,60,671,4,18,672
102086,7,24,142,7,4,272,9,11,150
102085,4,80,665,7,29,856,2,6,789
102084,9,98,212,4,91,694,2,6,531
102082,4,59,67,3,36,109,2,48,699
102081,9,34,462,4,26,914,2,73,353
102080,0,16,283,9,1,846,5,37,553
102089,0,98,434,4,28,843,2,6,370
102088,0,16,434,9,28,512,2,6,370
106708,0,19,653,9,97,983,4,9,455
91049,7,97,804,7,4,360,9,11,203
91048,9,13,759,4,30,112,2,75,266
91047,7,52,539,7,16,144,9,11,203
91046,0,16,300,9,83,292,4,36,52
91045,9,17,10,4,9,223,2,8,247
91044,0,76,975,9,97,361,4,18,610
106700,9,34,646,4,26,227,2,73,326
91042,4,65,517,3,21,973,1,27,224
91041,9,98,649,4,91,845,2,13,994
91040,0,19,170,9,83,117,4,36,228
99713,7,45,218,7,4,443,9,92,36
99712,9,17,170,9,49,117,2,78,879
99711,3,65,828,6,21,266,2,6,185
99710,6,7,158,1,78,175,1,46,703
99717,9,17,842,4,9,263,2,13,211
99716,7,97,889,7,64,323,9,11,638
99715,7,45,885,7,16,822,9,60,758
99714,9,8,243,4,28,346,2,6,196
99719,9,17,604,4,9,37,5,37,909
99718,9,35,440,4,62,237,2,57,369
2771751,9,17,358,4,49,921,2,8,378
2771752,4,41,359,3,52,510,2,54,175
2771753,7,97,804,7,4,360,9,11,203
109468,0,16,300,9,83,494,4,36,52
109469,0,67,718,9,12,983,2,25,537
109461,0,17,729,4,49,557,2,8,213
109462,9,17,313,4,9,9,2,8,236
109463,0,16,81,9,83,62,4,36,167
109464,8,60,207,0,60,11,5,42,517
109465,0,41,65,9,52,415,2,95,645
109466,0,19,170,9,97,749,2,78,879
109467,9,8,243,4,28,843,2,6,7
145907,7,97,147,7,4,295,9,11,913
145906,4,38,11,3,99,925,1,96,562
145905,4,42,874,1,69,124,1,96,562
145904,7,24,929,7,84,375,5,58,42
145903,0,28,720,9,52,776,2,54,475
145902,7,64,245,7,54,100,9,14,307
92538,4,98,276,9,91,503,2,54,330
92539,0,19,896,9,97,268,4,36,363
92537,9,51,855,4,71,875,5,76,200
107077,6,39,968,4,98,635,3,43,403
107076,9,34,462,4,26,914,2,73,151
92532,9,8,643,4,81,80,2,44,742
92533,7,97,240,7,64,653,9,11,970
107073,7,64,634,7,54,705,2,6,32
145908,9,35,309,4,62,237,2,57,369
98868,0,67,101,9,12,983,2,25,537
98869,6,43,819,1,51,477,2,31,377
110963,0,76,171,9,47,611,4,59,961
110962,4,31,78,3,25,382,1,26,652
110961,9,59,263,4,36,236,2,86,558
110960,0,67,283,9,12,869,2,25,537
110967,4,98,814,9,91,503,2,13,515
110966,4,50,615,3,69,217,1,49,227
110965,7,45,218,7,26,443,9,71,55
110964,7,64,371,7,4,443,5,50,644
1447641,9,42,163,4,87,300,1,41,111
110969,4,80,784,3,33,856,2,6,185
110968,7,97,164,7,4,853,9,11,8
1094516,7,52,80,7,16,946,9,60,497
98864,0,76,171,9,97,606,2,44,684
98865,7,52,804,7,16,628,9,60,758
90646,9,13,759,4,30,899,2,75,800
90647,0,67,434,9,12,843,2,6,370
99193,4,80,11,3,69,925,1,96,562
90642,9,52,187,7,16,923,9,71,484
99194,0,98,631,4,83,804,2,13,207
98439,7,45,245,7,4,734,9,92,647
98438,0,16,434,9,28,843,2,6,370
99197,0,8,243,9,28,843,2,6,196
98431,0,16,283,9,83,983,2,25,537
98430,9,5,542,4,64,253,2,44,541
98433,4,98,814,3,91,775,2,13,515
99196,0,68,212,5,14,462,2,44,434
98435,4,76,784,4,21,589,2,6,185
98434,0,68,35,9,14,866,9,60,648
98437,9,8,243,4,28,843,2,6,972
98436,4,31,703,3,48,120,2,85,778
100939,0,68,243,9,28,843,4,9,926
100938,0,19,21,9,97,322,4,45,221
100931,0,67,629,9,12,449,2,25,738
100930,0,32,114,9,94,162,2,16,944
100933,0,19,21,9,83,292,4,36,52
100932,7,97,147,7,4,295,9,11,150
100935,6,93,155,1,24,54,3,80,47
100934,9,8,784,4,16,263,2,6,196
100937,4,41,720,9,52,186,2,54,475
100936,4,41,720,9,52,186,2,54,475
93377,9,17,485,9,49,921,2,8,397
104035,9,98,892,4,91,928,2,13,102
104036,0,52,80,9,16,904,9,60,497
104037,9,8,983,4,9,115,2,6,196
93373,0,67,629,9,12,449,2,25,738
93372,4,41,293,3,52,165,1,77,417
104032,0,67,170,9,12,117,2,78,879
93370,7,5,13,7,64,351,9,11,446
104038,0,91,364,3,53,81,4,36,600
104039,0,67,718,4,12,869,2,25,537
93379,7,52,539,7,16,360,9,11,203
93378,7,97,539,7,4,360,9,11,203
1410842,8,68,568,0,60,894,4,18,872
85442,9,17,730,4,9,223,2,8,247
85443,8,60,992,0,60,917,4,18,620
85440,9,8,562,4,81,784,2,44,684
85441,4,50,331,3,69,566,2,48,176
85446,8,60,923,0,60,539,4,9,346
85447,0,16,283,9,1,494,4,36,363
85444,8,60,975,0,60,917,4,18,620
85445,4,40,929,7,84,76,5,58,757
85448,8,60,728,0,60,456,4,18,672
85449,8,96,905,0,45,816,4,18,51
96076,4,85,309,3,53,584,1,29,292
87358,0,91,309,9,53,848,2,6,159
87359,4,73,89,4,0,542,2,6,159
104348,0,91,364,9,53,81,4,36,600
87350,9,34,993,4,26,678,2,44,320
87351,4,76,829,9,29,722,4,9,308
87352,7,45,60,7,4,57,9,92,36
104349,0,98,814,9,64,775,2,13,515
87354,8,60,38,0,60,26,2,73,151
87355,0,17,729,9,49,557,2,8,397
87356,7,52,686,7,16,313,9,60,648
87357,9,17,485,9,49,557,2,8,397
