,km_10,km_100
102659,0,20
108434,0,32
108435,0,32
108436,0,20
108437,0,32
108430,0,32
108431,0,20
108432,0,20
108433,8,16
108438,0,20
108439,0,32
2788983,0,32
2788982,8,42
90585,0,20
89042,0,32
89043,7,84
89040,7,42
89041,4,42
89046,0,32
89047,0,32
89044,0,32
89045,8,4
90584,0,20
89048,0,32
89049,8,53
103017,0,20
103016,0,32
103015,7,41
103014,0,32
103013,0,32
103012,0,20
103011,0,32
103010,0,20
85936,0,32
85937,0,20
85934,0,20
85935,8,42
85932,0,20
85933,0,20
103019,8,4
103018,0,20
90586,0,20
87471,0,20
87470,0,20
87473,0,20
87472,8,63
87475,0,20
109740,8,63
87477,8,20
87476,0,20
87479,0,63
87478,0,32
109749,0,20
109748,0,32
88869,8,20
3187539,0,32
103321,0,20
88319,4,42
88318,0,32
88866,0,32
88315,0,32
88314,0,32
88317,0,20
88316,0,20
88311,0,20
88310,0,32
88313,0,20
88312,8,20
2483562,8,20
88864,0,32
88863,8,20
103324,0,32
1236479,0,20
88861,0,20
103326,4,84
100098,0,20
100099,0,20
100096,0,32
100097,0,20
100094,0,7
100095,0,20
100092,8,63
100093,8,42
100090,0,32
100091,0,32
107826,0,32
90422,0,32
90423,0,20
90420,0,32
90421,7,41
90426,8,16
90427,0,32
90424,8,63
90425,0,32
90428,0,32
90429,8,87
90398,0,20
90399,0,20
90390,0,20
90391,0,32
90392,0,20
90393,8,0
90394,0,20
90395,8,42
90396,8,20
90397,8,41
101329,0,20
101328,8,63
101325,8,53
101324,8,42
101323,8,53
101322,0,32
101321,0,32
101320,0,32
85169,0,32
85168,8,63
85161,0,20
85160,8,4
85163,0,32
85162,0,20
85165,0,32
85164,0,32
85167,0,32
85166,0,32
2389766,0,32
109574,0,20
109575,0,20
109572,0,20
109573,0,20
109570,0,32
109571,0,20
111630,0,32
111631,0,32
111632,0,20
111633,0,32
111634,0,20
111635,0,20
95278,0,32
95279,0,32
95271,0,32
95272,0,20
95273,0,32
95274,0,32
95275,0,32
95276,0,32
95277,0,32
94897,0,32
94896,8,20
94895,0,20
94894,8,52
94893,0,32
94892,8,42
94891,0,7
94890,8,42
94899,8,63
94898,0,20
95858,8,63
95859,0,32
92808,8,20
92809,8,42
92806,8,42
92807,0,32
92804,0,20
92805,0,20
92802,0,20
92803,0,32
92800,0,32
92801,0,20
89525,0,32
89524,0,20
89527,0,32
89526,0,32
89521,0,32
89520,8,42
89523,0,32
89522,7,11
2012233,0,20
89529,0,32
89528,8,42
110273,0,20
110272,8,87
110271,0,32
110270,0,20
110275,0,20
110274,0,32
88241,0,32
88240,0,20
88247,0,20
88246,0,20
88245,0,32
88244,8,42
105147,8,42
105146,0,20
105145,0,20
105144,0,32
105143,8,20
105142,0,32
105141,0,20
100853,0,20
105149,0,20
105148,0,32
100856,0,32
100857,0,20
93867,0,32
93866,0,32
93865,0,32
93864,0,20
93863,8,42
93862,8,4
93861,8,7
93860,8,63
100855,8,42
93869,8,42
93868,0,32
107789,0,20
107788,8,42
107783,0,32
107782,0,32
107781,0,32
107787,0,20
107785,0,20
107784,0,20
94075,0,32
94074,0,32
94077,0,20
94076,8,0
94071,8,84
94070,0,32
94073,0,32
94072,0,20
94079,0,32
94078,0,20
90985,0,20
90984,0,20
102496,0,32
90986,8,4
102490,0,32
102491,0,32
90983,0,32
102493,8,4
90989,0,20
102499,0,32
108632,0,20
108633,0,20
108630,0,20
108631,0,32
108636,2,62
108637,0,32
108634,0,20
108635,0,32
108638,0,32
108639,0,32
1321753,0,20
110706,0,20
108188,0,32
108189,8,42
108184,0,20
108185,0,20
108186,0,32
108182,0,20
108183,0,20
91165,0,7
91166,0,32
91167,8,20
91160,8,20
91161,0,20
91168,0,32
91169,0,32
106551,8,20
91293,0,32
109581,8,20
91291,0,32
109587,4,84
91297,0,32
91294,8,4
91295,0,20
106559,8,52
106558,9,41
91298,8,42
109588,7,4
858086,8,20
858085,8,0
105928,0,20
105921,8,42
105920,0,32
105923,0,32
105922,8,63
105925,8,42
105924,0,32
105927,0,32
105926,4,84
91836,0,32
91837,0,32
91834,0,32
91835,0,20
91832,0,20
91833,0,20
91830,0,20
91831,0,20
91838,0,32
91839,0,20
100258,8,20
100259,0,32
107209,0,32
100254,0,20
100255,0,32
100256,0,32
107205,0,20
100250,8,52
100251,8,42
107200,0,20
107201,0,20
107217,0,20
117858,0,32
117859,0,32
117852,8,20
117853,8,20
117850,0,20
117851,0,20
117856,8,42
117857,0,32
117854,0,20
117855,0,20
107212,0,20
93478,0,20
93479,8,42
220342,0,20
101125,0,32
101124,8,20
93476,8,42
101126,0,32
101121,8,20
93471,0,32
101123,0,20
93473,0,32
98228,0,32
98224,0,20
98225,0,32
98226,0,20
98227,7,41
98220,0,20
98221,0,32
98222,0,20
98223,0,20
85369,0,32
85368,0,20
85363,8,20
85362,0,32
85361,0,63
85360,0,32
85367,8,42
85366,8,20
85365,8,42
85364,0,20
87211,0,20
87210,0,32
87213,0,32
87212,8,53
87215,0,32
87214,8,63
87217,0,32
87216,8,42
87219,8,42
87218,0,20
2230740,0,20
799980,8,42
799981,0,20
799982,0,32
799983,0,20
799984,8,42
799985,0,32
799986,0,32
799987,0,20
3213873,8,63
3213872,0,20
3213871,0,20
1852339,0,32
621293,0,32
621294,0,20
1087888,0,32
2621064,0,32
2621066,0,20
2621067,0,20
2621060,0,20
2621062,8,4
2621063,0,32
91339,4,84
103198,7,87
103199,8,63
103192,0,32
103193,0,20
103190,0,20
103191,0,32
103196,8,42
103197,8,20
103195,8,4
103224,0,32
103225,0,20
103226,8,42
103227,8,4
103220,0,20
103221,8,4
103222,0,32
103223,8,20
103228,8,42
103229,8,0
94958,0,20
92641,0,32
111049,0,20
111048,8,42
97742,0,32
97740,0,20
97741,0,0
97746,0,20
97747,8,63
97744,0,32
97745,8,0
88104,0,32
88105,0,32
88106,0,32
88107,8,4
88100,0,32
88101,0,32
88102,0,32
88103,0,20
100755,0,32
100754,8,4
100757,0,32
100756,8,87
100751,0,32
100750,0,20
100753,8,42
100752,0,32
100759,8,42
100758,0,32
95458,0,32
95459,0,20
95450,7,87
95451,8,0
95452,0,20
95453,0,20
95454,0,20
95455,8,4
95456,8,63
95457,0,20
112802,0,20
112803,0,32
931616,0,32
91333,0,32
101118,0,32
101119,0,32
90219,0,32
90218,0,32
90215,0,32
90214,0,32
90217,8,42
90216,0,20
90211,8,4
90210,0,20
90213,0,20
90212,0,32
101110,0,20
96909,0,32
96908,0,20
101111,8,63
96903,0,32
96902,0,20
96901,0,32
96900,0,20
96907,0,32
96906,8,42
96905,0,32
96904,0,32
93402,0,32
101114,0,20
101115,8,20
101116,0,32
101117,0,32
94183,0,20
94462,0,20
94463,0,32
94460,0,32
94461,0,32
94466,8,20
94467,8,42
94464,0,20
94465,8,20
94468,8,42
94469,0,20
91218,0,32
94189,8,42
111956,0,20
94188,0,32
1619945,0,32
91216,0,32
91217,8,20
95339,0,32
95338,0,32
92109,0,32
92108,7,70
92107,8,4
92106,0,20
92105,0,20
92104,0,32
92103,0,32
92102,0,32
95333,0,32
92100,0,20
3211501,0,32
85376,0,32
111469,0,32
111468,0,32
3211502,0,32
111463,8,42
111462,8,87
111465,0,20
111464,0,20
111467,0,32
111466,0,32
110592,0,20
110593,8,63
110590,0,20
110591,0,20
110596,0,20
110597,0,20
110594,0,32
110595,0,32
110598,0,20
110599,8,0
112730,8,53
112731,8,89
112732,0,20
112733,8,4
85815,8,20
112735,0,20
112736,0,32
112737,0,32
112738,0,20
93278,0,32
93279,0,32
93276,8,42
93277,0,20
93274,0,32
93275,8,42
93272,0,32
93273,0,20
93270,8,63
93271,0,32
98028,0,32
98029,0,20
98026,0,32
98027,0,20
98024,0,32
98025,8,0
98022,0,20
98023,8,20
98020,0,32
98021,0,32
110336,0,32
110337,8,53
110334,0,32
110335,0,32
110332,0,32
110333,0,20
110330,0,32
110331,8,4
87905,0,20
110338,0,20
110339,0,32
104427,8,42
104426,0,20
104425,0,20
104424,8,0
104423,0,0
104422,0,20
104421,8,87
104420,8,42
87906,0,20
118109,0,20
118108,0,32
104429,0,32
104428,8,4
96178,0,20
96179,4,4
96172,0,32
96173,0,32
96170,0,32
96171,0,32
96176,8,63
96177,0,32
96174,0,20
96175,0,32
106373,0,32
102861,8,42
102863,0,20
102862,0,32
102865,0,32
102864,0,32
102867,0,20
102866,0,32
102869,0,32
102868,8,20
2220732,8,63
97225,0,20
97224,8,20
97227,0,32
97226,7,40
97221,0,20
97220,0,20
97223,0,32
97222,8,20
97229,0,42
97228,0,32
102285,0,20
102284,0,20
99045,0,7
102286,0,20
102281,0,20
102280,8,42
102283,0,20
102282,8,42
102289,0,20
102288,0,32
99049,0,20
99048,0,32
107428,0,20
107426,0,32
107427,0,32
107424,0,32
107425,0,32
107422,0,32
107423,0,32
107420,0,20
107421,8,42
112378,0,20
112379,0,20
105488,8,16
105489,0,32
105486,8,42
105487,0,32
105484,0,32
105485,0,20
105482,0,32
105483,8,7
105480,0,20
105481,0,20
102139,0,20
102138,8,16
102137,0,32
102136,0,32
102135,0,32
102134,0,32
102133,0,20
102132,0,20
102131,8,20
102130,0,20
112082,0,32
112083,0,32
112080,0,20
112081,0,20
112086,0,32
112087,0,20
112084,0,20
112085,8,63
112088,8,63
112089,0,20
104999,0,20
104998,0,32
104997,0,20
104996,8,42
104995,0,32
104993,0,32
104992,0,32
104991,0,32
104990,0,20
109958,0,32
109959,8,42
798255,0,20
109954,0,20
109955,0,32
109956,0,20
109957,0,20
109950,8,0
109951,0,20
109952,0,32
109953,0,20
108399,8,4
108398,8,42
108395,0,32
108394,8,4
108397,0,32
108396,4,84
108391,8,42
108390,0,32
108393,0,20
108392,0,20
91317,0,20
103423,0,7
103420,0,32
103421,0,20
103426,7,41
103427,0,20
103424,0,32
103425,0,20
2680591,0,20
103428,0,32
103429,0,32
91319,0,32
2680590,8,63
111850,0,20
111851,0,20
111856,0,32
111857,0,32
111858,0,32
111859,0,20
90035,0,20
90034,0,20
1974855,7,87
99786,0,20
99787,0,32
90031,0,20
90030,0,20
87822,0,32
87823,0,20
87820,0,32
87821,0,20
87826,0,32
87827,0,20
87824,8,20
87825,0,20
87828,0,20
87829,0,20
92746,8,42
90039,0,20
90038,8,63
109048,0,32
109049,0,32
109042,0,32
109043,0,20
109040,0,32
109041,0,20
109046,0,20
109047,8,4
109044,0,32
109045,0,32
100193,0,20
100192,8,42
100191,0,20
100190,8,20
100197,8,42
100196,0,32
100195,0,32
92661,8,42
100199,0,20
100198,8,63
92668,0,32
92669,0,32
2654756,8,20
2654754,8,0
2645639,0,32
1500655,0,20
88474,8,0
85538,0,20
85539,8,42
88475,0,32
85532,8,52
85533,0,63
85530,0,20
85531,0,20
85536,8,4
85537,2,60
85534,0,20
85535,0,20
103793,0,20
103794,0,20
103795,0,20
88472,0,32
103797,0,32
1324132,0,20
856346,0,20
856347,0,32
856345,8,20
111729,0,20
146790,0,32
2811850,0,20
87000,0,20
87001,0,20
87002,0,20
87003,0,20
87004,0,32
87005,0,20
87006,0,20
87007,8,42
87008,7,87
87009,7,40
1213431,0,32
86753,8,42
86752,0,32
86751,0,32
86750,0,20
86757,4,84
86756,8,63
86755,0,32
86754,0,20
86759,8,42
86758,8,20
1087895,8,42
86553,8,4
1087897,8,20
112526,0,32
88809,0,32
88808,0,32
88805,8,42
88804,8,42
88807,0,32
88806,0,32
88801,0,32
88800,7,41
88803,8,16
88802,0,20
89176,8,42
89177,4,84
89174,8,42
89175,8,63
89172,8,42
89173,0,20
89170,0,32
89171,0,20
96378,0,32
96379,0,32
89178,8,20
89179,0,32
625709,0,20
94202,0,20
94203,0,32
94201,0,32
94206,0,20
94207,0,32
94204,8,20
94205,0,32
94208,8,42
94209,8,42
87585,8,0
87584,0,32
87587,0,32
87586,0,20
87581,0,32
87580,0,32
87583,0,32
87582,0,32
87589,0,20
87588,8,20
118022,8,4
118023,8,42
118020,8,42
118021,8,20
118026,0,20
118027,0,32
118024,8,0
118025,0,32
118028,8,4
118029,0,0
99201,0,0
99200,0,32
99203,8,0
99202,8,0
99205,0,32
99204,0,32
99207,0,20
99206,0,0
99209,4,23
99208,0,32
104345,8,53
95559,0,0
95558,0,0
95555,0,32
2462772,8,0
95557,8,63
95556,4,45
95551,0,32
95550,0,32
95553,0,32
95552,0,32
90008,0,0
90009,0,32
90004,0,32
90005,8,0
90006,0,20
90007,8,0
90000,0,32
90001,0,32
90002,0,0
90003,8,0
121145,0,0
121147,4,45
121146,0,32
121149,0,32
121148,0,32
2804672,0,0
2804673,0,20
2804676,4,45
2804677,0,32
2804674,0,20
2804675,0,32
94787,4,23
94786,8,0
94785,0,0
94784,0,32
94783,0,32
94782,0,32
94781,0,0
94780,0,20
94789,0,20
94788,0,20
106928,4,87
106929,8,0
91669,8,0
91668,0,0
91667,0,20
91666,0,32
91665,8,42
91664,4,53
91663,0,32
91662,0,32
91661,0,32
91660,0,0
89815,0,32
89814,0,20
89817,8,16
89816,0,32
89811,0,0
89810,4,45
89813,0,32
89812,0,32
89819,4,45
89818,0,20
97845,0,32
97844,8,0
97847,0,32
97846,4,87
97841,0,32
97840,0,20
97843,0,0
97842,8,42
97849,4,4
97848,0,20
87756,0,32
87757,0,20
92318,0,32
92319,0,0
92317,0,0
92314,0,32
92315,0,0
92312,0,20
92313,0,32
92310,0,0
92311,8,0
104867,0,20
104388,0,20
104389,0,32
104382,2,83
104383,8,0
104380,0,20
104381,0,20
104386,8,0
104387,0,0
104384,0,20
104385,0,32
87750,0,32
104864,8,0
104863,0,32
104862,0,32
104368,0,0
104861,0,32
3217423,0,0
104860,0,32
106977,0,0
106976,0,0
87752,0,0
105381,4,42
96011,8,63
105383,0,20
105382,0,0
105385,0,32
105384,0,0
105387,8,63
105386,0,32
105389,0,0
105388,0,32
104868,4,24
96013,3,87
96012,0,0
96015,0,20
91633,0,20
87753,8,0
96014,0,0
96017,0,20
96016,8,0
106212,0,0
106213,8,0
104654,0,32
104655,8,16
104656,8,0
104657,0,20
